###Missing People Events###
	###Gerion###
EVTtitlecbb_gerion_notification.1;Герион Ланнистер;x
EVTDESCmissing_people.1; Наконец-то я вернулся из своего приключения, в результате которого я успешно нашёл свой фамильный меч и сокровище, оставшееся до Рока Валирии.;x
EVTOPTAmissing_people.1; Я вернулся и принёс славу своему дому!;x
EVTDESCmissing_people.2; В 291 году от завоевания Эйгона, Герион Ланнистер отправился на поиски Валирийского меча Дома Ланнистеров, Светлого Рёва, а также любых других сокровищ, которые могли пережить Рок Валирии. Но спустя почти десять лет и без известий от Гериона, Тайвин Ланнистер послал людей на поиски своего младшего брата. Они проследили его до Волантиса, но, поскольку след пропал, считалось, что Герион погиб. Однако, в Утёс Кастерли только что прибыл человек, представившийся Герионом. Прежде чем его выгнали за такое нелепое заявление, он достал своё оружие и показал, что у него есть Светлый Рёв!;x
EVTOPTAmissing_people.2; Хвала богам! Это славный день для нашего дома!;x
EVTDESCmissing_people.3; В 291 году от завоевания Эйгона, Герион Ланнистер отправился на поиски Валирийского меча Дома Ланнистеров, Светлого Рёва, а также любых других сокровищ, которые могли пережить Рок Валирии. Но спустя почти десять лет и без известий от Гериона, Тайвин Ланнистер послал людей на поиски своего младшего брата. Они проследили его до Волантиса, но, поскольку след пропал, считалось, что Герион погиб. Однако, в Утёс Кастерли только что прибыл человек, представившийся Герионом. Прежде чем его выгнали за такое смехотворное заявление, он обнажил своё оружие и показал, что у него есть Светлый Рёв!;x
EVTOPTAmissing_people.3; Клянусь богами! Это славный день для нашего дома!;x
EVTDESCmissing_people.4; В 291 году от завоевания Эйгона, Герион Ланнистер отправился на поиски Валирийского меча Дома Ланнистеров, Светлого Рёва, а также любых других сокровищ, которые могли пережить Рок Валирии. Но спустя почти десять лет и без известий от Гериона, Тайвин Ланнистер послал людей на поиски своего младшего брата. Они проследили его до Волантиса, но, поскольку след затерялся, считалось, что Герион погиб. Однако, в Утёс Кастерли только что прибыл человек, представившийся Герионом. Прежде чем его выгнали за такое нелепое заявление, он обнажил своё оружие и показал, что у него есть Светлый Рёв!;x
EVTOPTAmissing_people.4; Пропавший лев вернулся!;x
EVTOPTBmissing_people.4; Герион мёртв уже много лет!;x
	###Benjen###
EVTtitlecbb_benjen_notification.5;Бенджен Старк;x
EVTDESCmissing_people.5; Бенджен Старк, Первый Разведчик Ночного Дозора, вёл поиски за стеной, чтобы найти Уэймара Ройса, пропавшего брата Ночного Дозора. Но после того, как от поисковой группы Бенджена не было никаких вестей и были обнаружены останки Отора и Яфера Флауэрса, считалось, что Бенджен погиб за стеной. Но во время поисков в Суровом Доме вы натыкаетесь на пленника, закутанного в плащ Ночного Дозора. Вы подходите к этому пленнику и обнаруживаете, что это Бенджен Старк!;x
EVTOPTAmissing_people.5; Я вернулся!;x
EVTDESCmissing_people.6; Бенджен Старк, Первый Разведчик Ночного Дозора, вёл поиски за стеной, чтобы найти Уэймара Ройса, пропавшего брата Ночного Дозора. Но после того, как от поисковой группы Бенджена не было никаких вестей и были обнаружены останки Отора и Яфера Флауэрса, считалось, что Бенджен погиб за стеной. Но к вам подходит мужчина, снимает капюшон, и оказывается, что это Бенджен Старк! Он утверждает, что будущее Дома Старков слишком важно, чтобы его игнорировать, и обещает свою поддержку.;x
EVTOPTAmissing_people.6; Это прекрасный день для нашего Дома!;x
EVTDESCmissing_people.7; Пришло сообщение, что Бенджен Старк, Первый Разведчик Ночного дозора, считавшийся погибшим, вернулся! Он обещает свою поддержку Северу, и как только ситуация стабилизируется, вернётся в ночной дозор.;x
EVTOPTAmissing_people.7; Какой славный день!;x
EVTDESCmissing_people.8; Пришло сообщение, что Бенджен Старк, Первый Разведчик Ночного дозора, считавшийся погибшим, вернулся! Он обещает свою поддержку Северу, и как только ситуация стабилизируется, вернётся в ночной дозор.;x
EVTOPTAmissing_people.8; Какой прекрасный день для Дома Старков!;x
EVTOPTBmissing_people.8; Это может быть просто самозванец, разыгрывающий представление.;x
	###Elissa###
EVTtitlecbb_elissa_notification.13;Элисса Фарман;x
EVTDESCmissing_people.13; В 54 году от завоевания Эйгона, Элисса Фарман покинула Драконий Камень с тремя украденными драконьими яйцами. С тех пор появились сообщения о том, что она ищет команду для плавания по Закатному морю. Началась погоня, но Элиссу больше никто не видел. Так было до сегодняшнего дня! Разыскивая её в Асшае, вы узнаёте, что Элисса живёт в достатке.;x
EVTOPTAmissing_people.13; Мне пора вернуться домой.;x
EVTDESCmissing_people.14; В 54 году от завоевания Эйгона, Элисса Фарман покинула Драконий Камень с тремя украденными драконьими яйцами. С тех пор появились сообщения о том, что она ищет команду для плавания по Закатному морю. Началась погоня, но Элиссу больше никто не видел. Так было до сегодняшнего дня! Разыскивая её в Асшае, вы узнаёте, что Элисса живёт в достатке. Ваши люди помогают леди Элиссе упаковать вещи и возвращаются с ней домой.;x
EVTOPTAmissing_people.14; Это славный день для нашего дома!;x
EVTDESCmissing_people.15; Сообщается, что пропавшая леди Элисса Фарман была найдена в Асшае, живущая в богатстве, с сокровищами, которые, как она утверждает, были добыты во время её путешествий.;x
EVTOPTAmissing_people.15; Какой прекрасный день для Дома Фарман!;x
EVTDESCmissing_people.16; Сообщается, что пропавшая леди Элисса Фарман была найдена в Асшае, живущая в богатстве, с сокровищами, которые, как она утверждает, были добыты во время её путешествий.;x
EVTOPTAmissing_people.16; Леди Элисса наконец-то вернулась!;x
EVTOPTBmissing_people.16; Что за фарс, должно быть это просто самозванка!;x
	###Sandor###
EVTtitlecbb_sandor_notification.17;Сандор Клиган;x
