b_dragontooth_ridge;Крепость Гряды Драконьего Зуба;x
b_dragonglass_keep;Крепость Драконьего Стекла;x
b_dragon_port;Порт Драконьего Города;x
b_minmark;Замок Минмарк;x
b_vinmark;Город Винмарк;x
b_steel_oak;Замок Стальной Дуб;x
b_sharp_point_harbour;Гавань Острого Мыса;x
c_wolfs_den;Волчье Логово;x
d_summerhall_it;Летний Замок;x
PROV1384;Волчье Логово;x
ca_wolfs_den;Волчье Логово;x
ct_wolfs_den_desc;Построенный королем Джоном Старком для защиты устья Белого Ножа от налетчиков с моря. Волчье Логово имеет сиденье для младших отпрысков дома Старк, которые отделились в младшую ветвь. После столетий и многих войн было отдано Мандерли.;x
c_highley;Хайли;x
PROV1385;Хайли;x
c_rykkers_tower;Башня Риккера;x
PROV1386;Башня Риккера;x
b_wolfsden_2;Лютоволчья Крепость;x
RHP_REBELLION;Восстание Крысы, Ястреба и Свиньи;x
ca_jonquils_pool;Пруд Джонквиль;x
ca_jonquils_pool_desc;Согласно легенде, Флориан-Дурак первым увидел Джонквиль и ее сестер, купающихся в весеннем пруду во времена Века Героев. По рассказам, те воды обладают целебными свойствами. С ними связано название города Девичий Пруд, и постройка каменных бань домом Мутонов веками позже. За каменными банями следят святые сестры из Веры. Мужчинам запрещено входить в строение и его воды.;x











