#CODE;RUSSIAN;x
EVTDESCcbb_dynastic_rivalry.1;Во времена Вторжения Андалов андальский военачальник Вориан Випрен сражался у Вдовьего брода и убил троих сыновей Дарри, почти уничтожив их род.;x
EVTOPTAcbb_dynastic_rivalry.1;Дарри слабы! Смерть им!;x
EVTOPTBcbb_dynastic_rivalry.1;Мы отомстим своим предкам! Смерть Випренам!;x
EVTDESCcbb_dynastic_rivalry.2;Во время налета Хильмар Хитрый не только убил лорда Рейна, но и похитил их фамильный меч, Багряный Дождь;x
EVTOPTAcbb_dynastic_rivalry.2;Эти зеленоземельцы думают что лучше нас. Смерть Рейнам!;x
EVTOPTBcbb_dynastic_rivalry.2;Эти грязные железнорожденные заплатят за преступления против наших предков. Смерть Драммам!;x
EVTDESCcbb_dynastic_rivalry.3;Во времена Завоевания Дорна, рыцарь Биттли убивал членов дома Айронвуд, почти уничтожив мужскую линию;x
EVTOPTAcbb_dynastic_rivalry.3;Эти грязные Биттли, они заплатят за то что сделали. Смерть Биттли!;x
EVTOPTBcbb_dynastic_rivalry.3;Дом Айронвудов полон предателей, надо было закончить то что мы начали. Смерть Айронвудам!;x
EVTDESCcbb_dynastic_rivalry.4;Перед Восстанием Блэкфайра у единокровных братьев Эйгора Жгучего Клинка и Бриндена Кровавого Ворона были напряженные отношения. Они только ухудшились после, и браться стали заклятыми врагами.;x
EVTOPTAcbb_dynastic_rivalry.4;Подлость у них в крови, ведь они происходят от Блэквудов. Смерть Бладрэйвенам!;x
EVTOPTBcbb_dynastic_rivalry.4;Предательство у них в крови, ведь они происходят от Бракенов. Смерть Биттерстилам!;x
EVTDESCcbb_dynastic_rivalry.5;У ворот между Севером и Трезубцем всегда были напряженные отношения. Особенно между домами Фреев и Ридов;x
EVTOPTAcbb_dynastic_rivalry.5;Риды - грязные озерники и болотники. Смерть им!;x
EVTOPTBcbb_dynastic_rivalry.5;Фреи думают что они благородны и могучи, но родились они от удачи. Смерть Фреям.;x
EVTDESCcbb_dynastic_rivalry.6;Русе Болтон помог организовать предательскую Красную Свадьбу, которая окончила правление Старков. Это деяние возродило давнюю вражду между Старками и Болтонами.;x
EVTOPTAcbb_dynastic_rivalry.6;Дома Старк больше нет. Мы правим Севером. Смерть Старкам!;x
EVTOPTBcbb_dynastic_rivalry.6;Дом Болтон всегда был полон предателей, и они заплатят за свои действия. Смерть Болтонам!;x
EVTDESCcbb_dynastic_rivalry.7;Неприязнь между железнорожденными и речниками была всегда, но особенно она проявлялась между домами Грейджоев и Маллистеров;x
EVTOPTAcbb_dynastic_rivalry.7;Эти зеленоземельцы ничего не знает о настоящих воинах. Мы покажем им. Смерть Маллистерам!;x
EVTOPTBcbb_dynastic_rivalry.7;Мы отбивались от железнорожденных налетчиков веками и продолжим свое дело. Смерть Грейджоям!;x
EVTDESCcbb_dynastic_rivalry.9;Во времена Вторжения Андалов Корвин Корбрей завоевал Персты и объявил себя королем. Затем последовали столкновения между королями Корбреев и Ройсов, в одном из которых они сразились насмерть, в Битве Семи Звезд.;x
EVTOPTAcbb_dynastic_rivalry.9;Дом Ройсов никогда не был достоин титула короля Долины, их правление было слабым. Мы убивали их предков и продолжим убивать их самих. Смерть Ройсам!;x
EVTOPTBcbb_dynastic_rivalry.9;Дом Корбрей добрался до власти только потому что нападал на слабых королей. Мы убивали их предков и продолжим убивать их самих. Смерть Корбреям!;x
EVTDESCcbb_dynastic_rivalry.10;Дом Осгрей был могущественным домом Северной марки и защищал Простор от Королей Утеса. Во время вторжения в Простор Уилберт Осгрей сразил Короля Утеса, умерев сам, но отразив атаку.;x
EVTOPTAcbb_dynastic_rivalry.10;Мы остановили могущественных Ланнистеров века назад. Смерть Ланнистерам!;x
EVTOPTBcbb_dynastic_rivalry.10;Если бы не Осгреи, мы были бы Королями Утеса и Простора. Смерть Осгреям!;x
