rahlooism;Рахлуизм;x
rahlooism_DESC;Последователи Рахлуизма поклоняются Красному Рахлу, Владыке Света, Сердцу Огня, Богу Пламени и Тени. Его религия возникла в Эссосе, но по мере распространения культа в Вестеросе он приобрел некоторые черты более традиционных вестеросских верований. Его последователи более терпимы к тем, кто следует другим богам, и придают меньшее значение жертвоприношениям, чем традиционное поклонение Р'глору. Красные септоны и септы проповедуют о дне, когда легендарный герой Азор Ахай возродится и поведет их против Великого Иного и его слуг, ибо ночь темна и полна ужасов.;x
rahlooism_FEATURES;§Y*§! Может стать «избранным» или «избранником» Красного Рахлу и получить доступ к таинственным способностям защиты и исцеления;x
GOD_RED_RAHLOO;Красный Рахлу;x
rahlooism_opinion;Мнение Рахлуизма;x

mossovy_gods;Старые боги Моссовии;x
mossovy_gods_DESC;Старые боги — это безымянные природные духи леса. Говорят, они обитают в темных лесах Моссовии и отгоняют демонов.;x
mossovy_gods_FEATURES;§Y*§! Может стать оборотнем;x
mossovy_gods_opinion;Мнение Старых богов Моссовии;x

the_seven_originalist;Оригиналистская вера в Семерых;x
the_seven_originalist_DESC;Традиционная религия андалов. Семеро — это единый бог с семью аспектами: Отец, Мать, Воин, Дева, Кузнец, Старица и Неведомый, — но обычно им поклоняются так, как будто это семь отдельных богов. Священников Семерых называют септонами или септами, а богам поклоняются в семигранных храмах, называемых септами. Оригиналистское течение веры учит, что инцест — особенно тяжкий грех, который нельзя терпеть.;x
the_seven_originalist_FEATURES;§Y*§! Может получать и даровать рыцарское звание, а также брать оруженосцев (даже если оруженосец исповедует другую религию)\n§Y*§! Может проводить турниры\n§Y*§! Дети от наложниц считаются незаконнорожденными бастардами;x
the_seven_originalist_opinion;Мнение оригиналистской веры в Семерых;x

GOD_MOON;Луна;x
GOD_GELENEI;Геленей;x

pentoshi_religion;Боги Пентоса;x
pentoshi_religion_DESC;Жители Пентоса поклоняются многим богам, и трудно определить, кто из их пантеона самый популярный.;x
THE_TESTAMENTS_OF_PENTOS;Пророчества Пентоса;x
GOD_THE_HOUSEHOLD_IDOL;Домашний идол;x
pentoshi_religion_opinion;Мнение пантеона Пентоса;x

GOD_MOONMOTHER;Лунная Матерь;x
myrish_religion;Боги Мира;x
myrish_religion_DESC;Жители Мира поклоняются многим богам и божествам. Многие из богов связаны с морем и моряками.;x
THE_TESTAMENTS_OF_MYR;Песни Мирта;x
GOD_MOONMOTHER;Лунная Мать;x
myrish_religion_opinion;Мнение пантеона Мира;x
GOD_PATTERN;Создатель узоров;x
giants_old_gods;Старые боги гигантов;x
giants_old_gods_DESC;Старые боги — это безымянные природные духи, которым поклонялись Первые люди, а до них — Дети Леса. За Стеной им поклоняются у подножий чардрев — священных деревьев чардрева, на которых вырезан лик бога.;x
giants_old_gods_opinion;Мнение Старых богов Гигантов;x

GOD_THE_EMPEROR;Император;x

create_originalist_papacy_dec;Установить оригиналистского Верховного септона;x
create_originalist_papacy;Установить оригиналистского Верховного септона;x
create_originalist_papacy_dec_desc;Как оригиналистский последователь Единых Семерых, мы должны иметь истинного Верховного септона, который полностью следует доктринам и учениям богов, не искажая их в угоду светским правителям.;x
EVTDESC39703A;Поскольку древний центр Веры в Семерых находится в наших руках, мы передали его Верховному септону, который следует оригиналистскому учению богов и учредил праведное духовенство.;x
EVTDESC39703B;Древний центр Веры в Семерых находится в руках оригиналистов. Поэтому [From.GetTitledFirstName] счел нужным создать оригиналистского Верховного септона, заявив, что это покончит со скандальными извращениями учений Семерых, которые долгое время допускали Наиблагочестивейшие.;x
EVTOPTA_SOA_4200;[From.Religion.GetRandomGodNameCap] благ!;x
EVTOPTB_SOA_4200;[FromFrom.Religion.GetRandomGodNameCap], спаси нас!;x
EVTOPTC_SOA_4200;Перебранка глупцов меня не касается;x

the_seven_DESC;Традиционная религия андалов. Семеро — это единый бог с семью аспектами: Отец, Мать, Воин, Дева, Кузнец, Старица и Неведомый, — но обычно им поклоняются так, как будто это семь отдельных богов. Священников Семерых называют септонами или септами, а богам поклоняются в семигранных храмах, называемых септами. Ревностные последователи Семерых могут почитать один аспект превыше остальных.;x
