#CODE;RUSSIAN;x
WIKIPEDIA_LINK;§YСсылка на ПЛИОпедию§W;x
WIKIPEDIA_LINK_DESC;Открывает в браузере 'ПЛИОпедию' для этого персонажа;x
WIKIPEDIA_LINK_MISSING;§YСтраница этого персонажа отсутствует на ПЛИОпедии§W;x
WIKIPEDIA_LINK_DISABLED;Ссылки на ПЛИОпедию отключены;x
##LINK FOR VALYRIAN STEEL IMAGES##
W_L_450998;https://www.dropbox.com/s/r1o1docw9xqdw3j/reforgable%20valyrian%20steel%20DO%20NOT%20REMOVE.png?dl = 0;x
##TARGARYEN##
W_L_77015;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%B3%D0%BE%D0%BD_III_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD;x
W_L_77013;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%B3%D0%BE%D0%BD_II_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD;x
W_L_77020;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%B3%D0%BE%D0%BD_IV_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD;x
W_L_77000;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%B3%D0%BE%D0%BD_I_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD;x
W_L_60650496;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%B3%D0%BE%D0%BD_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD_(%D1%81%D1%8B%D0%BD_%D0%AD%D0%B9%D0%BD%D0%B8%D1%81%D0%B0);x
W_L_182496;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%B3%D0%BE%D0%BD_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD_(%D1%81%D1%8B%D0%BD_%D0%AD%D0%B9%D1%80%D0%B8%D1%81%D0%B0_II);x
W_L_780496;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%B3%D0%BE%D0%BD_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD_(%D1%81%D1%8B%D0%BD_%D0%91%D0%B5%D0%B9%D0%BB%D0%BE%D0%BD%D0%B0);x
W_L_77053;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%B3%D0%BE%D0%BD_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD_(%D1%81%D1%8B%D0%BD_%D0%93%D0%B5%D0%B9%D0%BC%D0%BE%D0%BD%D0%B0);x
W_L_500496;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%B3%D0%BE%D0%BD_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD_(%D1%81%D1%8B%D0%BD_%D0%94%D0%B6%D0%B5%D0%B9%D1%85%D0%B5%D0%B9%D1%80%D0%B8%D1%81%D0%B0_I);x
W_L_77043;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%B3%D0%BE%D0%BD_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD_(%D1%81%D1%8B%D0%BD_%D0%A0%D0%B5%D0%B9%D0%B3%D0%B0%D1%80%D0%B0);x
W_L_125009;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%B3%D0%BE%D0%BD_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD_(%D1%81%D1%8B%D0%BD_%D0%A0%D0%B5%D0%B9%D0%B3%D0%B0%D1%80%D0%B0);x
W_L_77034;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%B3%D0%BE%D0%BD_V_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD;x
W_L_77025;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%B3%D0%BE%D1%80_%D0%A0%D0%B8%D0%B2%D0%B5%D1%80%D1%81;x
W_L_77131;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%BB%D0%BE%D1%80_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD;x
W_L_77132;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%BB%D0%BE%D1%80%D0%B0_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD;x
W_L_77058;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%BB%D0%B8%D0%BA%D1%81_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD;x
W_L_60520496;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%BC%D0%BE%D0%BD_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD_(%D1%81%D1%8B%D0%BD_%D0%94%D0%B6%D0%B5%D0%B9%D1%85%D0%B5%D0%B9%D1%80%D0%B8%D1%81%D0%B0_I);x
W_L_77142;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%BC%D0%BE%D0%BD_(%D0%BC%D0%B5%D0%B9%D1%81%D1%82%D0%B5%D1%80);x
W_L_77022;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%BC%D0%BE%D0%BD_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD_(%D1%81%D1%8B%D0%BD_%D0%92%D0%B8%D0%B7%D0%B5%D1%80%D0%B8%D1%81%D0%B0_II);x
W_L_77014;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%BC%D0%BE%D0%BD%D0%B4_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD;x
W_L_77001;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%BD%D0%B0%D1%80_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD;x
W_L_77004;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D0%BD%D0%B8%D1%81_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD;x
W_L_60670496;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D1%80%D0%B5%D1%8F_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD;x
W_L_77033;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D1%80%D0%B8%D0%BE%D0%BD_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD;x
W_L_77064;https://7kingdoms.ru/wiki/%D0%AD%D0%B9%D1%80%D0%B8%D0%BE%D0%BD_%D0%A2%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%B5%D0%BD_(%D0%BE%D1%82%D0%B5%D1%86_%D0%AD%D0%B9%D0%B3%D0%BE%D0%BD%D0%B0_I);x
