#CODE;RUSSIAN;x

###Blackfyre Rebellion Relateed Rules###

RULE_GROUP_BLACKFYRE_REBELLION;Восстание Блэкфайра;x
RULE_BLACKFYRE_REBELLION_TITLE_EVENTS;События титулов;x
RULE_BLACKFYRE_REBELLION_TITLE_EVENTS_OPTION_ON;Вкл;x
RULE_BLACKFYRE_REBELLION_TITLE_EVENTS_ON_DESC;Деймон Блэкфайр будет награждать титулами своих сторонников после завоевания трона.;x
RULE_BLACKFYRE_REBELLION_TITLE_EVENTS_OPTION_OFF;Выкл;x
RULE_BLACKFYRE_REBELLION_TITLE_EVENTS_OFF_DESC;Деймон Блэкфайр не будет награждать своих сторонников.;x

RULE_BLACKFYRE_REBELLION_DAENERYS;Решение о Дейнерис;x
RULE_BLACKFYRE_REBELLION_DAENERYS_OPTION_ON;Вкл;x
RULE_BLACKFYRE_REBELLION_DAENERYS_ON_DESC;Деймон Блэкфайр будет решать что делать со своей единокровной сестрой Дейенерис Таргариен после завоевания трона.;x
RULE_BLACKFYRE_REBELLION_DAENERYS_OPTION_OFF;Выкл;x
RULE_BLACKFYRE_REBELLION_DAENERYS_OFF_DESC;Деймон Блэкфайр не будет беспокоиться о Дейенерис Таргариен.;x

###Faegon Related Rules###

RULE_GROUP_FAEGON;фЭйгон;x
RULE_FAEGON;Юный Гриф;x
RULE_FAEGON_OPTION_ON;Вкл;x
RULE_FAEGON_ON_DESC;Юный Гриф - Блэкфайр по линии Серры Блэкфайр, дочери Мейлиса «Чудовища» Блэкфайра.;x
RULE_FAEGON_OPTION_OFF;Выкл;x
RULE_FAEGON_OFF_DESC;Юный Гриф не будет Блэкфайром.;x

RULE_REACH_SUPPORTERS;Сторонники с Простора;x
RULE_REACH_SUPPORTERS_OPTION_ON;Вкл;x
RULE_REACH_SUPPORTERS_ON_DESC;Сторонники Юного Гриффа в Просторе выступят за него.;x
RULE_REACH_SUPPORTERS_OPTION_OFF;Выкл;x
RULE_REACH_SUPPORTERS_OFF_DESC;Сторонники Юного Гриффа в Просторе не будут выступать за него.;x

RULE_DORNISH_ALLIANCE;Альянс с Дорном;x
RULE_DORNISH_ALLIANCE_OPTION_ON;Вкл;x
RULE_DORNISH_ALLIANCE_ON_DESC;Эйгон получит предложение руки и сердца от Арианны Мартелл.;x
RULE_DORNISH_ALLIANCE_OPTION_OFF;Выкл;x
RULE_DORNISH_ALLIANCE_OFF_DESC;Эйгон не получит брачного союза с Дорном.;x

RULE_TYREK_PUPPET;Тирек Нянюшка;x
RULE_TYREK_PUPPET_OPTION_ON;Вкл;x
RULE_TYREK_PUPPET_OPTION_ON_DESC;Эйгон получит событие после завоевания трона, позволяющее ему отдать Тиреку Утес Кастерли и верховную власть Запада.;x
RULE_TYREK_PUPPET_OPTION_OFF;Выкл;x
