#CODE;RUSSIAN;x
plot_replace_castellan_title;[Root.GetTitledFirstNameWithDynasty] долж[Root.GetNaEn] уйти с поста [From.Liege.GetMyCastellanName];x
plot_replace_castellan_desc;[From.GetTitledFirstNameWithDynasty] считает, что [From.GetSheHe] будет лучше служить как [Root.GetJobTitle], чем [Root.GetTitledFirstNameWithDynasty];x
plot_replace_chancellor_title;[Root.GetTitledFirstNameWithDynasty] долж[Root.GetNaEn] уйти с поста [From.Liege.GetMyChancellorName];x
plot_replace_chancellor_desc;[From.GetTitledFirstNameWithDynasty] считает, что [From.GetSheHe] будет лучше служить как [Root.GetJobTitle], чем [Root.GetTitledFirstNameWithDynasty];x
plot_replace_marshal_title;[Root.GetTitledFirstNameWithDynasty] долж[Root.GetNaEn] уйти с поста [From.Liege.GetMyMarshalName];x
plot_replace_marshal_desc;[From.GetTitledFirstNameWithDynasty] считает, что [From.GetSheHe] будет лучше служить как [Root.GetJobTitle], чем [Root.GetTitledFirstNameWithDynasty];x
plot_replace_treasurer_title;[Root.GetTitledFirstNameWithDynasty] долж[Root.GetNaEn] уйти с поста [From.Liege.GetMyTreasurerName];x
plot_replace_treasurer_desc;[From.GetTitledFirstNameWithDynasty] считает, что [From.GetSheHe] будет лучше служить как [Root.GetJobTitle], чем [Root.GetTitledFirstNameWithDynasty];x
plot_replace_spymaster_title;[Root.GetTitledFirstNameWithDynasty] долж[Root.GetNaEn] уйти с поста [From.Liege.GetMySpymasterName];x
plot_replace_spymaster_desc;[From.GetTitledFirstNameWithDynasty] считает, что [From.GetSheHe] будет лучше служить как [Root.GetJobTitle], чем [Root.GetTitledFirstNameWithDynasty];x
plot_replace_councillor_title;[Root.GetTitledFirstNameWithDynasty] долж[Root.GetNaEn] уйти с поста Советника;x
plot_replace_councillor_desc;[From.GetTitledFirstNameWithDynasty] считает, что [From.GetSheHe] будет лучшим Советником, чем [Root.GetTitledFirstNameWithDynasty];x
opinion_council_sponsor;Поддерживает мое членство в Совете;x
opinion_former_council_sponsor;Поддерживал[_] мое членство в Совете;x
opinion_rival_council_candidate;Претендует на моё место в Совете;x
opinion_rival_council_sponsor;Поддерживал[_] конкурента на мое место в Совете;x
opinion_rejected_council_candidate;Отказал[_] моему кандидату в месте на Совете;x
opinion_approved_council_candidate;Принял[_] моего кандидата в Совет;x
opinion_replaced_council_candidate;Несправедливо уволил[_] члена Совета;x
opinion_rejected_rival_council_candidate;Поддержал[_] моего кандидата в Совет;x
opinion_sponsor_betrayed_me;Не поддержал[_] моего кандидата в Совет;x
