#CODE;RUSSIAN;x
c_dosh_khaleen;Дош Кхалин;x
CRONE;Дош Кхалин;x
CRONE_FOA;Кхалиси;x
k_dothraki;Дотракия;x
e_khalasar;Дотракийское море;x
e_khalasar_adj;Дотракийск;x
k_dothraki;Дотракия;x
k_dothraki_adj;Дотракийск;x
k_ifeqevron;Ифекеврон;x
k_ifeqevron_adj;Ифекеврон;x
nomadic_emperor_dothraki;Кхал;x
nomadic_emperor_female_dothraki;Кхалиси;x
nomadic_emperor_foa_dothraki;Великий Кхал;x
nomadic_emperor_foa_female_dothraki;Кхалиси;x
nomadic_emperor_title_ruler_consort_dothraki;Кхал;x
nomadic_emperor_title_ruler_consort_female_dothraki;Кхалиси;x
nomadic_emperor_title_queen_mother_female_dothraki;Дош Кхалин;x
nomadic_empire_dothraki;Кхаласар;x
nomadic_empire_of_dothraki;Кхаласар;x
nomadic_title_prince_dothraki;Кхалакка;x
nomadic_title_prince_female_dothraki;Кхалакки;x
nomadic_title_prince_AGOT_dothraki;Кхалакка;x
nomadic_title_prince_AGOT_female_dothraki;Кхалакки;x
nomadic_king_dothraki;Ко;x
nomadic_king_female_dothraki;Ка;x
nomadic_king_foa_dothraki;Мой Ко;x
nomadic_king_foa_female_dothraki;Моя Ка;x
nomadic_king_title_ruler_consort_dothraki;Ко;x
nomadic_king_title_ruler_consort_female_dothraki;Ка;x
nomadic_kingdom_dothraki;Кхас;x
nomadic_kingdom_of_dothraki;Кхас;x
nomadic_duke_dothraki;Ко;x
nomadic_duke_female_dothraki;Ка;x
nomadic_duke_foa_dothraki;Мой Ко;x
nomadic_duke_foa_female_dothraki;Моя Ка;x
nomadic_duke_title_ruler_consort_dothraki;Ко;x
nomadic_duke_title_ruler_consort_female_dothraki;Ка;x
nomadic_duchy_dothraki;Кхас;x
nomadic_duchy_of_dothraki;Кхас;x
nomadic_count_dothraki;Ко;x
nomadic_count_female_dothraki;Ка;x
nomadic_count_foa_dothraki;Мой Ко;x
nomadic_count_foa_female_dothraki;Моя Ка;x
nomadic_count_title_ruler_consort_dothraki;Ко;x
nomadic_count_title_ruler_consort_female_dothraki;Ка;x
nomadic_county_dothraki;Кхас;x
nomadic_county_of_dothraki;Кхас;x
nomadic_baron_dothraki;Ко;x
nomadic_baron_female_dothraki;Ка;x
nomadic_baron_foa_dothraki;Мой Ко;x
nomadic_baron_foa_female_dothraki;Моя Ка;x
nomadic_baron_title_ruler_consort_dothraki;Ко;x
nomadic_baron_title_ruler_consort_female_dothraki;Ка;x
nomadic_barony_dothraki;Кхас;x
nomadic_barony_of_dothraki;Кхас;x
tribal_emperor_dothraki;Кхал;x
tribal_emperor_dothraki;Кхалиси;x
tribal_emperor_foa_dothraki;Великий Кхал;x
tribal_emperor_foa_female_dothraki;Кхалиси;x
tribal_emperor_title_ruler_consort_dothraki;Кхал;x
tribal_emperor_title_ruler_consort_female_dothraki;Кхалиси;x
tribal_emperor_title_queen_mother_female_dothraki;Дош Кхалин;x
tribal_empire_dothraki;Великий Кхаласар;x
tribal_empire_of_dothraki;Великий Кхаласар;x
tribal_title_prince_dothraki;Кхалакка;x
tribal_title_prince_female_dothraki;Кхалакки;x
tribal_title_prince_AGOT_dothraki;Кхалакка;x
tribal_title_prince_AGOT_female_dothraki;Кхалакки;x
tribal_king_dothraki;Кхал;x
tribal_king_female_dothraki;Кхалиси;x
tribal_king_foa_dothraki;Великий Кхал;x
tribal_king_foa_female_dothraki;Кхалиси;x
tribal_king_title_ruler_consort_dothraki;Кхал;x
tribal_king_title_ruler_consort_female_dothraki;Кхалиси;x
tribal_king_title_queen_mother_female_dothraki;Дош Кхалин;x
tribal_kingdom_dothraki;Кхаласар;x
tribal_kingdom_of_dothraki;Кхаласар;x
tribal_duke_dothraki;Ко;x
tribal_duke_female_dothraki;Ка;x
tribal_duke_foa_dothraki;Мой Ко;x
tribal_duke_foa_female_dothraki;Моя Ка;x
tribal_duke_title_ruler_consort_dothraki;Ко;x
tribal_duke_title_ruler_consort_female_dothraki;Ка;x
tribal_duchy_dothraki;Кхас;x
tribal_duchy_of_dothraki;Кхас;x
tribal_count_dothraki;Ко;x
tribal_count_female_dothraki;Ка;x
tribal_count_foa_dothraki;Мой Ко;x
tribal_count_foa_female_dothraki;Моя Ка;x
tribal_count_title_ruler_consort_dothraki;Ко;x
tribal_count_title_ruler_consort_female_dothraki;Ка;x
tribal_county_dothraki;Кхас;x
tribal_county_of_dothraki;Кхас;x
tribal_baron_dothraki;Ко;x
tribal_baron_female_dothraki;Ка;x
tribal_baron_foa_dothraki;Мой Ко;x
tribal_baron_foa_female_dothraki;Моя Ка;x
tribal_baron_title_ruler_consort_dothraki;Ко;x
tribal_baron_title_ruler_consort_female_dothraki;Ка;x
tribal_barony_dothraki;Кхас;x
tribal_barony_of_dothraki;Кхас;x
emperor_dothraki;Кхал;x
emperor_female_dothraki;Кхалиси;x
emperor_foa_dothraki;Великий Кхал;x
emperor_foa_female_dothraki;Кхалиси;x
emperor_title_ruler_consort_dothraki;Кхал;x
emperor_title_ruler_consort_female_dothraki;Кхалиси;x
emperor_title_queen_mother_female_dothraki;Дош Кхалин;x
#empire_of_dothraki;Великий Кхаласар;x
#empire_dothraki;Великий Кхаласар;x
king_dothraki;Кхал;x
king_female_dothraki;Кхалиси;x
king_foa_dothraki;Великий Кхал;x
king_foa_female_dothraki;Кхалиси;x
king_title_ruler_consort_dothraki;Кхал;x
king_title_ruler_consort_female_dothraki;Кхалиси;x
king_title_queen_mother_female_dothraki;Дош Кхалин;x
#kingdom_dothraki;Кхаласар;x
#kingdom_of_dothraki;Кхаласар;x
title_prince_dothraki;Кхалакка;x
title_prince_female_dothraki;Кхалакки;x
title_prince_AGOT_dothraki;Кхалакка;x
title_prince_AGOT_female_dothraki;Кхалакки;x
duke_dothraki;Ко;x
duke_female_dothraki;Ка;x
duke_foa_dothraki;Мой Ко;x
duke_foa_female_dothraki;Моя Ка;x
duke_title_ruler_consort_dothraki;Ко;x
duke_title_ruler_consort_female_dothraki;Ка;x
#duchy_dothraki;Кхас;x
#duchy_of_dothraki;Кхас;x
count_dothraki;Ко;x
count_female_dothraki;Ка;x
count_foa_dothraki;Мой Ко;x
count_foa_female_dothraki;Моя Ка;x
count_title_ruler_consort_dothraki;Ко;x
count_title_ruler_consort_female_dothraki;Ка;x
#county_dothraki;Кхас;x
#county_of_dothraki;Кхас;x
emperor_job_castellan_dothraki;Кхал Акатаки;x
emperor_job_chancellor_dothraki_group;Астолатак;x
job_castellan_dothraki;Кхал Акатаки;x
job_marshal_dothraki;Дотрак Атаки;x
job_chancellor_dothraki_group;Астолатак;x
job_treasurer_dothraki_group;Чератак;x
job_spymaster_dothraki_group;Фонолатак;x
job_physician_dothraki_group;Коалак;x
nomadic_job_castellan_dothraki;Кхал Акатаки;x
nomadic_job_marshal_dothraki;Дотрак Атаки;x
nomadic_job_chancellor_dothraki_group;Астолатак;x
nomadic_job_treasurer_dothraki_group;Чератак;x
nomadic_job_spymaster_dothraki_group;Фонолатак;x
nomadic_job_physician_dothraki_group;Коалак;x
tribal_job_castellan_dothraki;Кхал Акатаки;x
tribal_job_marshal_dothraki;Дотрак Атаки;x
tribal_job_chancellor_dothraki_group;Астолатак;x
tribal_job_treasurer_dothraki_group;Чератак;x
tribal_job_spymaster_dothraki_group;Фонолатак;x
tribal_job_physician_dothraki_group;Коалак;x
d_dothraki_domain;Дотракийское море;x
city_duke_dothraki_domain_culture;Территория;x
city_duke_foa_dothraki_domain_culture;Территория;x
city_duchy_dothraki_domain_culture;Территория;x
city_duchy_of_dothraki_domain_culture;Территория;x
duke_dothraki_domain_culture;Территория;x
duke_foa_dothraki_domain_culture;Территория;x
duchy_dothraki_domain_culture;Территория;x
duchy_of_dothraki_domain_culture;Территория;x
city_count_dothraki_domain_culture;Дотракийская территория;x
city_count_foa_dothraki_domain_culture;Дотракийская территория;x
city_county_dothraki_domain_culture;Дотракийская территория;x
city_county_of_dothraki_domain_culture;Дотракийская территория;x
count_dothraki_domain_culture;Дотракийская территория;x
count_foa_dothraki_domain_culture;Дотракийская территория;x
county_dothraki_domain_culture;Дотракийская территория;x
county_of_dothraki_domain_culture;Дотракийская территория;x
city_baron_dothraki_domain_culture;Дотракийская территория;x
city_baron_foa_dothraki_domain_culture;Дотракийская территория;x
city_barony_dothraki_domain_culture;Дотракийская деревня;x
city_barony_of_dothraki_domain_culture;Дотракийская деревня;x
baron_dothraki_domain_culture;Дотракийская территория;x
baron_foa_dothraki_domain_culture;Дотракийская территория;x
barony_dothraki_domain_culture;Дотракийский лагерь;x
barony_of_dothraki_domain_culture;Дотракийский лагерь;x
dothraki_domain;Дотракийская территория;x
temple_baron_dothraki_domain_culture;Дотракийская территория;x
temple_baron_foa_dothraki_domain_culture;Дотракийская территория;x
temple_barony_dothraki_domain_culture;Дотракийская святыня;x
temple_barony_of_dothraki_domain_culture;Дотракийская святыня;x
opinion_bloodrider;Кровный всадник;x
d_vaes_dothrak;Ваэс Дотрак;x
c_vaes_dothrak;Ваэс Дотрак;x
b_vaes_dothrak;Ваэс Дотрак;x
b_vaes_dothrak2;Ваэс Дотрак;x
b_vaes_dothrak3;Ваэс Дотрак;x
b_vaes_dothrak4;Ваэс Дотрак;x
b_vaes_dothrak5;Ваэс Дотрак;x
b_vaes_dothrak6;Ваэс Дотрак;x
c_rhaesh_karlinat;Рхаэш Карлинат;x
b_rhaesh_karlinat;Рхаэш Карлинат;x
b_rhaesh_karlinat2;Рхаэш Карлинат;x
b_rhaesh_karlinat3;Рхаэш Карлинат;x
b_rhaesh_karlinat4;Рхаэш Карлинат;x
c_rhaesh_tehin;Рхаэш Техин;x
b_rhaesh_tehin;Рхаэш Техин;x
b_rhaesh_tehin2;Рхаэш Техин;x
b_rhaesh_tehin3;Рхаэш Техин;x
b_rhaesh_tehin4;Рхаэш Техин;x
d_northern_steppe;Северная степь;x
c_vaes_lotar;Ваэс Лотар;x
b_vaes_lotar;Ваэс Лотар;x
b_vaes_lotar2;Ваэс Лотар;x
b_vaes_lotar3;Ваэс Лотар;x
c_rhaesh_eveth;Рхаэш Эветх;x
b_rhaesh_eveth;Рхаэш Эветх;x
