#CODE;RUSSIAN;x
skin_decision;Сдирать живьем кожу с персонажа [Root.GetTitledFirstName];x
drown_decision;Топить пленника;x
skin_decision_desc;Болтоны славятся своими пытками, [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] может узнать это на своей шкуре. Мучительная смерть, несомненно будет предупреждением нашим врагам.;x
drown_decision_desc;Утонувший Бог благосклонно смотрит на жертвоприношения. [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] будет связан[Root.GetEndA] и оставлен[Root.GetEndA] на песке во время отлива, Утонувший Бог во время прилива заберет [Root.GetHerHis] на дно моря.;x
TOOLTIPINCREASETYRANY1;Ваш уровень тирании вырос на один пункт.\n;x
TOOLTIPINCREASETYRANY2;Ваш уровень тирании вырос на два пункта.\n;x
EVTDESC509128;Болтоны имеют давнюю традицию снятия кожи со своих врагов, [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] может узнать это на своей шкуре, таким образом мы дадим [From.GetHerHim] умереть жуткой смертью и заставим наших врагов бояться нас.;x
EVTOPTA509128;Да, мы так и поступим;x
EVTOPTB509128;Нет, я дарую [From.GetHerHim] быструю смерть;x
EVTDESC50028;В вашем Роду есть прекрасная традиция пыток, и [FromFrom.GetTitledFirstName] не избежал[FromFrom.GetEndA] этой участи! Когда вы снимали кожу живьем с н[FromFrom.GetHerHis], жуткие крики были слышны во всем замке. Зато теперь страх наших врагов рбеспечен. а [FromFrom.GetOnlyDynastyName] поделил[FromFrom.GetLasLsya] отличной кожей...;x
EVTOPTA50028;Это научит их.;x
EVTDESC50029;Дверь вашей сырой клетки открывается, в нее заходит палач с жуткой улыбкой на лице. Он принес с собой набор ржавых, но при этом смертельно острых лезвий, и произносит '[From.GetTitledFirstName] приказал[From.GetEndA] снять с вас кожу живьем, как предупреждение врагам Дома [From.GetOnlyDynastyName]'. Мучительная долгая смерть...;x
EVTOPTA50029;Нет! Дайте мне умереть быстро!;x
flayed;Снятая Кожа.;x
flayed_desc;Этот персонаж встретил свою кончину в страшных муках, когда с него снимали кожу.;x
