#CODE;RUSSIAN;x
#events;;x
EVTDESC65030;Я чувствую себя очень плохо, меня ничто не радует и не веселит. Я нахожусь в самой глубокой, самой черной яме печали и бесполезности, чувствуя, как будто я никогда не смогу выбраться из нее и задаваясь вопросом, почему [This.Religion.GetRandomGodName] заставляет нас проходить через это...;x
EVTDESC65032;Мой [This.Religion.GetRandomGodName], почему ты оставил меня? Я был[GetEndA] проклят[GetEndA] лихорадкой, адской головной болью, и теперь я кашляю кровью. Я думаю, [Root.Religion.GetRandomGodName] решил наказать меня за мои грехи!;x
EVTDESC65033;[This.Religion.GetRandomGodName] исцелял людей, подобных мне. Если бы я просто был[GetEndA] более набожн[GetOyYm] и честно пояка[GetLasLsya] в грехах, Он мог бы исцелить меня тоже.;x
EVTOPTA65033;Прости меня, [This.Religion.GetRandomGodName], ибо я согрешил...;x
EVTOPTB65036;Я поблагодарю [This.Religion.GetRandomGodName] в уединении;x
EVTOPTC65049;[This.Religion.GetRandomGodName] исцелит меня!;x
EVTTOOLTIP65054;[This.Religion.GetRandomGodName] отвечает на молитвы [Root.GetFirstName];x
EVTOPTB65053;[This.Religion.GetRandomGodName] справедливо наказывает меня за мои грехи;x
EVTDESC65054;[This.Religion.GetRandomGodName] ответил на мои молитвы! Я исцелен[GetEndA] от своей болезни и могу искупить своих грехи, пока не поздно.;x
EVTDESC65055;Почему я бол[GetSoftNaEn], [From.GetRootRelation], это [This.Religion.GetRandomGodName] наказывает меня? Я ведь не сделал[GetEndA] ничего плохого?;x
EVTOPTA65055;[This.Religion.GetRandomGodName] должно быть наказывает меня!;x
EVTDESC65056;Мой [From.GetRootRelation] [From.GetFirstName] очень бол[GetSoftNaEn]. [From.GetSheHe] бредит и начал спрашивать, может [This.Religion.GetRandomGodName] наказывает [From.GetHerHim].;x
EVTOPTD65056;[This.Religion.GetRandomGodName] исцелит тебя!;x
EVTDESC73010;Я читаю [Root.Religion.GetScriptureName], и там говорится, что смерть это не то, чего истинный верующий должен бояться.;x
#events;;x
#modifiers, traits
true_knight;Истинный рыцарь;x
true_knight_desc;Отвага и отсутствие смертных грехов дает истинному рыцарю уважение церкви.;x
crusader_rhllor;Поборник Рглора;x
crusader_rhllor_desc;Этот человек сражался за своего Бога.;x
#religion names
westerosi_religion;Боги Вестероса;x
westerosi_religion_FEATURES;§Y*§! Эта религия традиционно против рабства;x
the_seven;Семибожие;x
the_seven_DESC;Традиционная религия андалов. Это монотеистическая религия, бог которой имеет семь воплощений – Отец, Мать, Воин, Дева, Кузнец, Старица, и Неведомый – но, зачастую их воспринимают как разных сущностей. Священники Семибожия называются септонами и септами, службы проходят в семисторонних храмах называемых септами.;x
the_seven_FEATURES;§Y*§! Можно получать и даровать рыцарство, и взять оруженосца (даже если у оруженосца иная религия)\)\n§Y*§! Можно проводить турниры\n§Y*§! Дети от любовниц считаются незаконными бастардами;x
GOD_FATHER;Отец;x
GOD_MOTHER;Мать;x
GOD_WARRIOR;Воин;x
GOD_MAIDEN;Дева;x
GOD_SMITH;Кузнец;x
GOD_CRONE;Старица;x
GOD_THE_STRANGER;Неведомый;x
GOD_SEVEN;Семеро;x
old_gods;Старые Боги;x
old_gods_DESC;Старые Боги - это безымянные духи природы которым поклоняются Первые люди, а до них Дети Леса. Свои молитвы они совершают в богорощах, в сердце которых растёт чародрево, в стволе которого вырезан божественный лик.;x
GOD_THE_GODS;Боги;x
GOD_THE_OLD_GODS;Старые Боги;x
wildling_religion;Старые Боги Одичалых;x
wildling_religion_FEATURES;§Y*§! Можно приносить узников в жертву Богам;x
beyond_wall_old_gods;Старые Боги За Стеной;x
beyond_wall_old_gods_DESC;Старые Боги - это безымянные духи природы, которым поклоняются Первые люди, а до них Дети Леса. За Стеной, у подножья чардрев, молятся Старым Богам одичалые.;x
mountain_old_gods;Старые Боги Гор;x
mountain_old_gods_DESC;Старые Боги - это безымянные духи природы, которым поклоняются Первые люди, а до них Дети Леса. В Лунных Горах еще остались кланы, которые произошли от Первых Людей, и которые до сих пор поклоняются Древним Богам.;x
mountain_old_gods_FEATURES;§Y*§! Можно использовать пленников как наложниц;x
thenn_rel;Тенны;x
thenn_rel_DESC;Тенны считают себя последними из Первых Людей, большинство из них говорит на старом языке и знают только несколько слов общего языка. Теннов возглавляет магнар, который для его людей считается больше богом, чем человеком, в их долине тенны живут по своим законам и имеют своих лордов, поэтому некоторые считают общество Теннов более сложным, чем у остального вольного народа. Тенны - свирепые воины, из-за своей веры в магнара как в своего бога, они абсолютно послушны и более дисциплинированы, чем прочий вольный народ. Они часто лучше оснащены, чем большинство одичалых, с бронзовыми шлемами, топорами из бронзы и колотого камня, короткими колющими копьями с листовидными головками, рубашками, сшитыми из бронзовых дисков и простыми неукрашенными щитами из черной вареной кожи с бронзовыми оправами и выступами.;x
GOD_THE_MAGNAR;Магнар;x
drowned_god_group;Боги Железнорожденных;x
drowned_god;Утонувший Бог;x
drowned_god_DESC;Железнорожденные поклоняются Утонувшему Богу, который велит им грабить и убивать, а после смерти они отправятся в его покои, где им будут служить русалки. Обряд посвящения в эту веру представляет собой ритуальное утопление, что символизирует девиз этой религии: 'То, что мертво, умереть не может'.;x
drowned_god_FEATURES;§Y*§! Могут использовать пленников как наложниц (известные у железнорожденных как 'морские жены')\n§Y*§! Дети морских жен считаются законными, но исключаются из последовательности, если они не указаны иначе\n§Y*§! Независимые правители могут свободно вторгаться к соседям\n§Y*§! Могут приносить пленников в жертву Утонувшему Богу\n§Y*§! Верховный правитель избирается на Вече;x
GOD_THE_DROWNED_GOD;Утонувший Бог;x
storm_god;Штормовой Бог;x
storm_god_DESC;В мифах железнорожденных, Штормовой Бог является антагонистом Утонувшего Бога. Он символизирует интриги, ярость и разброд в обществе жлезнорожденных. Его культ редок и таинственен.;x
GOD_STORM_GOD;Штормовой Бог;x
essos_religion;Восточные Боги;x
essos_group;Восточные Боги;x
valyrian_rel_group;Валирийские Боги;x
valyrian_rel;Валирийская религия;x
valyrian_rel_DESC;Старая религия Древней Валирии. Но в день Рока она была уничтожена вместе со всеми валирийцами, лишь только дом Таргариенов до сих пор её исповедует.;x
valyrian_rel_FEATURES;§Y*§! Могут организовать браки между близкими родственниками\n§Y*§! Имеют §G+5§! отношений с другими религиями из-за своей религиозной терпимости\n§Y*§! Могут выбрать другую религиозную группу как свою новую веру и получить §G+10§! отношений с ее членами;x
GOD_BALERION;Балерион;x
GOD_MERAXES;Мераксес;x
GOD_VHAGAR;Вхагар;x
GOD_URRAX;Урракс;x
GOD_SYRAX;Сиракс;x
rhllor;Рглор;x
rhllor_DESC;Красные жрецы поклоняются Рглору, Владыке Света, Огненному Сердцу, Богу Пламени и Тени. Его религия является крупнейшей в мире, весьма распространенной в Эссосе, а жрецы, по слухам, обладают чудодейственной силой. Вера Рглора запрещает почитание ложных богов и ждет дня, когда легендарный герой Азор Ахай возродится и поведет их против Великого Иного и его слуг, ибо ночь темна и полна ужасов.;x
rhllor_FEATURES;§Y*§! Можно стать 'избранным' или 'под покровительством' Рглора, и таким образом получить доступ к таинственным способностям защиты и исцеления;x
GOD_RHLLOR;Рглор;x
GOD_GOD_OF_LIGHT;Владыка Света;x
GOD_THE_HOLY_FIRE;Священный Огонь;x
THE_FIRE;Книги Огня;x
black_goat;Культ Черного Козла;x
black_goat_DESC;Мрачный, зловещий и грязный культ народа Квохора. Черный Козел требует ежедневной жертвенной крови от своих последователей. Животных и узников постоянно приводят на кровавые алтари.;x
black_goat_FEATURES;§Y*§! Можно приносить пленников в жертву Черному Козлу;x
GOD_THE_BLACK_GOAT;Черный Козел;x
trios;Триос;x
trios_DESC;Триос - это трёхголовый бог Тироша.;x
GOD_TRIOS;Триос;x
GOD_THE_DRUNKEN_GOD;Пьяный Бог;x
gods_lorath;Боги Лората;x
gods_lorath_DESC;Боги которым поклоняются жители Вольного города Лорат;x
GOD_LORATH;Боги Лората;x
moonsingers;Лунные певцы;x
moonsingers_DESC;Лунные певцы – это древняя религия западного Эссоса, но их последователи были изгнаны валирийцами. Последние смогли укрыться в Браавосе, где владеют самым большим храмом, поскольку являются основателями города.;x
moonsingers_FEATURES;§Y*§! Традиционная религия против рабства\n§Y*§! Имеют §G+5§! отношений с другими религиями из-за своей религиозной терпимости\n§Y*§! Могут выбрать другую религиозную группу как свою новую веру и получить §G+10§! отношений с ее членами;x
GOD_MANY_FACED_GOD;Многоликий Бог;x
bearded_priests;Бородатые священники;x
bearded_priests_DESC;Бородатые священники Норвоса поклоняются тайному богу, имя которого раскрывается только жрецам храма. Эти Бородатые священники запрещают стричь свои волосы, носят закрытые капюшоны и традиционно женятся на своих топорах.;x
GOD_THE_AXE;Топор;x
bearded_priest;Бородатый жрец;x
bearded_priest_desc;Этот человек - Бородатый жрец;x
ibben_rel;Иббенийские Боги;x
gods_ibben;Боги Иббена;x
gods_ibben_DESC;Боги Иббена - боги, которым поклоняется население Иббена.;x
GOD_IBBEN;Боги Иббена;x
asshai_rel;Асшай;x
shadowbinders;Заклинатели теней;x
shadowbinders_DESC;Заклинатели теней;x
shadowbinder;Заклинатель теней;x
shadowbinder_desc;Этот человек - заклинатель теней;x
GOD_SHADOW;Тень;x
ghiscar_rel;Гискарские Боги;x
harpy;Гарпия;x
harpy_DESC;Гарпия - это древний бог Гискарийской империи, до сих пор являющийся важным символом для своего народа.;x
GOD_HARPY;Гарпия;x
sarnor_rel;Сарнорские Боги;x
gods_sarnor;Боги Сарнора;x
gods_sarnor_DESC;Боги Сарнора - боги, которым поклоняется население королевства Сарнор;x
GOD_SARNOR;Боги Сарнора;x
sarnor_rel;Сарнорийская;x
bone_mountains_rel;Гиркунийская;x
gods_bone_mountains;Боги Гиркуна;x
gods_bone_mountains_DESC;Боги Гиркуна -  боги, которым поклоняются народы Костяных Гор;x
gods_bone_mountains_FEATURES;§Y*§! Можно приносить пленников в жертву богам;x
GOD_BONE_MOUNTAINS;Боги Гиркуна;x
qarth_rel;Квартийские Боги;x
qarth_warlocks;Колдуны;x
qarth_warlocks_DESC;Колдуны Кварта, Синие тени. Легенды утверждают, что они владеют многими странными силами, могут видеть будущее и жить в течение тысяч лет благодаря тому, что принимают Вечернюю Тень.;x
GOD_UNDYING;Бессмертные;x
yi_ti_rel;И-Ти;x
yiti_gods;Боги И-Ти;x
yiti_gods_DESC;В Золотой Империи И-Ти поклоняются тысячам разных богов. Главным среди них является Дева-из-Света, которая была женой Льва Ночи и родила Бога-на-Земле, основателя и первого правителя Великой Империи Зари.;x
GOD_MAIDEN_LIGHT;Дева-из-Света;x
lion_night;Лев Ночи;x
lion_night_DESC;Лев Ночи;x
GOD_LION_NIGHT;Лев Ночи;x
bakkalon;Баккалон;x
bakkalon_DESC;Баккалон, Бледное дитя - это дух смерти, солдаты часто избирают его своим покровителем.;x
corsair_group;Боги Корсаров;x
corsair;Корсар;x
corsair_DESC;У корсаров один бог - нажива.;x
corsair_FEATURES;§Y*§! Можно использовать пленных как наложниц\n§Y*§! Традиционная рабовладельческая религия\n§Y*§! Вассалы могут отказаться служить из-за слабого наследника;x
pirate_group;Пиратские Боги;x
pirate;Пират;x
pirate_DESC;У пиратов один бог - нажива.;x
pirate_FEATURES;§Y*§! Можно использовать пленных как наложниц\n§Y*§! Традиционная рабовладельческая религия\n§Y*§! Вассалы могут отказаться служить из-за слабого наследника;x
GOD_BAKKALON;Баккалон;x
GOD_THE_PALE_CHILD;Бледное дитя;x
THE_SOLDIER;Солдат;x
many_faced_god;Многоликий Бог;x
many_faced_god_DESC;Безликие Браавоса утверждают, что есть один бог, которому поклоняются все - бог смерти, у которого много лиц. В Квохоре он - Черный Козел. В И-Ти - Лев Ночи. В Вестеросе - Неведомый. Всем его ликам поклоняются в их храме, в Черно-Белом Доме.;x
GOD_MANY_FACED_GOD;Многоликий Бог;x
rhoynar_pagan;Матерь-Ройна;x
rhoynar_pagan_DESC;Река Ройна - величайшая река западного Эссоса, на чьих берегах поднялся ройнарский народ. Ройнары поклоняются ей как Матери-Ройне и говорят, что ее сыновья, Крабий Король и Речной Старец сражаются друг с другом за господство над всей жизнью под водами.;x
rhoynar_pagan_FEATURES;§Y*§! Традиционная религия против рабства;x
GOD_MOTHER_RHOYNE;Матерь-Ройна;x
GOD_OLD_MAN_RIVER;Речной Старец;x
GOD_CRAB_KING;Крабий Король;x
nath_pagan;Владыка Гармонии;x
nath_pagan_DESC;Владыка Гармонии.;x
nath_pagan_FEATURES;§Y*§! Традиционные пацифисты\n§Y*§! Традиционная религия против рабства;x
nath_pagan_ahimsa_tooltip;Этот закон нарушает наатийскую веру ненасилия;x
GOD_LORD_HARMONY;Владыка Гармонии;x
jogos_rel_group;Боги Джогос Нхая;x
jogos_pagan;Лунные Певцы Джогос Нхая;x
jogos_pagan_DESC;Кочевые отряды Джогос Нхай управляется джатом, или военачальником, и лунным певцом, который объединяет роли жреца, целителя и судьи. Отряды Джогос Нхаи не воюют друг с другом, так как боги запрещают им проливать кровь своих людей. Вместо этого, в ритуалах, освященных богами, молодые люди выезжают, чтобы украсть коз, лошадей и собак из других отрядов, в то время как девушки отправляются на похищение мужей.;x
jogos_pagan_FEATURES;§Y*§! Кочевым лунным певцам запрещено воевать друг с другом. Только неженатые мужчины могут быть похищены, в то время как происходит набег\n§Y*§! Кочевые лунные певцы могут предлагать друг другу дипломатическую защиту;x
GOD_JOGOS;Боги Джогос Нхая;x
dothraki_rel_group;Дотракийские Боги;x
dothraki_pagan;Великий Жеребец;x
dothraki_pagan_DESC;Дотракийцы верят в Великого Жеребца, который следит за миром. Согласно их легендам, первый человек выехал из Чрева Мира под Матерью Гор, на первой лошади. Дотракийцы считают, что звезды - это стадо лошадей, скачущих по небу, и что, когда мертвого дотракийца сжигают, его дух приссоединяется к ним.;x
GOD_GREAT_STALLION;Великий Жеребец;x
the_other_group;Иные;x
the_other;Иные;x
the_other_DESC;Красные жрецы утверждают, что существует другой бог, равный Рглору и противоположный ему - Великий Иной, и что таинственные существа, которые живут за Стеной, являются его слугами.;x
GOD_THE_OTHER;Иные;x
GOD_LORD_DARKNESS;Владыка Тьмы;x
GOD_ICE;Бог Льда;x
