hfhcanibaldesc;Мой народ и семья всегда занимались людоедством, несмотря на то, что чужаки не одобряли это. Я достиг(ла) совершеннолетия и мне дан выбор. Должен(а) ли я продолжить давнюю традицию или откажусь от нее?;x
canibalaccept;Я продолжу наш обычай;x
canibaldecline;Мне все равно на обычаи;x
take_chloe_wife;Взять Хлоину в жены;x
take_chloe_wife_desc;Взять свою вторую половинку, Хлоину, в жены;x
adopt_children_maxchloe;Усыновить ребёнка;x
adopt_children_maxchloe_desc;Усыновить ребёнка, чтобы он продолжил ваше наследние;x
renounce_cannibalism_icelaker;Отказаться от людоедства Ледяного Озера;x
renounce_cannibalism_icelaker_desc;Отказаться от обычая людоедства Ледяного Озера, подвергнувшись отвращению со стороны большинства клановцев, но получив одобрение тех, кто разделяет ваши идеи;x
adopt_cannibalism_icelaker;Принять людоедство Ледяного Озера;x
adopt_cannibalism_icelaker_desc;Принять древний обычай людоедства вашего народа, подвергнувшись отвращению со стороны большинства людей, но получив одобрение со стороны клановцев;x
the_threadbare;Оборванец;x
marcher;Марочная;x
cargyll;Кровь Каргиллов;x
cargyll_desc;Дом золотого гуся отмечен своим боевым мастерством, и часто хвалится своими сыновьями и потомками, принявшими рыцарский образ жизни;x
icelaker;Кланы Ледяного Озера;x
icelaker_opinion;Мнение Кланов Ледяного Озера;x
bearman;Медвежья;x
bearman_opinion;Медвежье мнение;x
woodsman;Лесная;x
woodsman_opinion;Лесное мнение;x
fingerman;Пальцевая;x
fingerman_opinion;Пальцевое мнение;x
barrowman;Курганная;x
barrowman_opinion;Курганное мнение;x
krakenman;Кракенская;x
krakenman_opinion;Кракенское мнение;x
bronzeman;Бронзовая;x
bronzeman_opinion;Бронзовое мнение;x
wineman;Винная;x
wineman_opinion;Винное мнение;x
count_woodsman;Господин;x
duke_woodsman;Господин;x
