#CODE;RUSSIAN;x
kingsguard;Королевский гвардеец;x
kingsguard_desc;Этот персонаж дал клятву охранять королевскую семью ценой своей собственной жизни.;x
EVTDESCkingsguard.2;Увы, один из рыцарей Королевской гвардии умер. [Root.GetTitle] охраняется исключительно Семью Мечами – вам нужно подобрать замену.;x
EVTDESCkingsguard.2B;Увы, один из рыцарей Королевской гвардии умер. [From.GetTitle] охраняется исключительно Семью Мечами - как Регент, вы должны выбрать замену;x
EVTOPTAkingsguard.2;Привести ко мне самых лучших и доблестных рыцарей королевства!;x
EVTOPTBkingsguard.2;Привести ко мне рыцарей, которым я могу доверять больше всех!;x
EVTOPTCkingsguard.2;Привести ко мне рыцарей из величайших домов!;x
EVTOPTDkingsguard.2;Привести ко мне сыновей Верховных Лордов!;x
EVTOPTEkingsguard.2;Я не могу выбрать сейчас.;x
EVTOPTFkingsguard.2;Есть несколько достойных рыцарей, но нужно выбрать одного из них;x
EVTDESCkingsguard.3;Лучшие рыцари королевства собрались по вашему зову в землю [Root.Location.GetName]. Вы должны выбрать самого достойного в Королевскую Гвардию.;x
EVTDESCkingsguard.3B;Лучшие рыцари королевства собрались по вашему зову в землю [Root.Location.GetName]. [FromFrom.GetTitledFirstNameNoRegnal] долж[FromFrom.GetNaEn] получить самого достойного в Королевскую Гвардию .;x
EVTOPTAkingsguard.3;[KG_1.GetTitledFirstNameWithDynasty], шаг вперед!;x
EVTOPTBkingsguard.3;[KG_2.GetTitledFirstNameWithDynasty], шаг вперед!;x
EVTOPTCkingsguard.3;[KG_3.GetTitledFirstNameWithDynasty], шаг вперед!;x
EVTDESCkingsguard.4;Лучшие рыцари королевства прибыли по вашему зову в землю [Root.Location.GetName]. Вы тщательно отсеивали всех кого посчитали коварными и ненадежными. Все те, кто остался не вызывают ничего кроме доверия. Теперь Вы должны выбрать самого достойного для службы в Королевской гвардии;x
EVTDESCkingsguard.4B;Лучшие рыцари королевства прибыли по вашему зову в землю [Root.Location.GetName]. Вы тщательно отсеивали всех кого посчитали коварными и ненадежными. Все те, кто остался не вызывают землю кроме доверия. Теперь [FromFrom.GetTitledFirstNameNoRegnal] долж[FromFrom.GetNaEn] получить самого достойного для службы в Королевской гвардии .;x
EVTDESCkingsguard.5;Много сыновей величайших домов собрались по вашему зову в землю [Root.Location.GetName]. После изучения всех, вы считаете, что нашли лучшего кандидата для Королевской гвардии.;x
EVTDESCkingsguard.5B;Много сыновей величайших домов собрались по вашему зову в землю [Root.Location.GetName]. После изучения всех, вы считаете, что [FromFrom.GetTitledFirstNameNoRegnal] получит лучшего кандидата для Королевской гвардии.;x
EVTDESCkingsguard.6;Величайшие Лорды и Леди Вестероса отправили своих сыновей и братьев в землю [Root.Location.GetName] искать чести вступить в Вашу Королевскую гвардию. Через некоторое время Вы считаете, что определили лучших воинов среди них.;x
EVTDESCkingsguard.7;Величайшие Лорды и Леди Вестероса отправили своих сыновей и братьев в землю [Root.Location.GetName], чтобы те смогли снискать честь войти в Королевскую гвардию. Немало нашлось достойных рыцарей в королевстве, но Королевских стражей должно быть семь.;x
EVTDESCkingsguard.7B;Величайшие Лорды и Леди Вестероса отправили своих сыновей и братьев в землю [Root.Location.GetName], чтобы [FromFrom.GetTitledFirstNameNoRegnal] предоставил[FromFrom.GetEndA] кому-то честь войти в Королевскую гвардию. Немало нашлось достойных рыцарей в королевстве, но Королевских стражей должно быть семь.;x
EVTDESCkingsguard.9;[From.GetTitledFirstNameWithDynasty] преклонил[From.GetEndA] колено. '[Root.PrimaryTitle.GetFOA], - произносит [From.GetSheHe], - Нет большей чести, чем служба вам в Королевской гвардии.';x
EVTDESCkingsguard.9B;Увы, один из рыцарей Королевской гвардии умер. [Root.GetTitle] охраняется Семью Мечами - и поэтому Регент, [FromFromFrom.GetFirstNameWithDynasty], выбрал[FromFromFrom.GetEndA] замену, это [From.GetTitledFirstNameWithDynasty], который преклонил колено и клянется в верности.;x
EVTDESCkingsguard.9C;[From.GetTitledFirstNameWithDynasty] преклоняет колени и становится возле трона. '[Root.PrimaryTitle.GetFOA],- произносит [From.GetSheHe], - Это великая честь служить в Королевской гвардии. [Root.TopLiege.GetTitle] будет гордиться мной';x
EVTDESCkingsguard.9D;[From.GetTitledFirstNameWithDynasty] преклоняет колени и становится возле трона. 'Как приказывает [Root.TopLiegePrimaryTitle.GetFOA],' произносит [From.GetSheHe], - 'Я отрекаюсь от своего наследства, чтобы служить в Королевской гвардии.';x
EVTTOOLTIPkingsguard.11;отреагировать на известие...;x
EVTDESCkingsguard.10;[From.GetTitledFirstNameWithDynasty] преклонил колено. 'Примите мои извинения, [Root.PrimaryTitle.GetFOA], -говорит [From.GetSheHe], - я ценю ваше предложение, но я никогда не видел ничего хорошего в белых одеяниях.';x
EVTDESCkingsguard.11;Когда стюард сообщил вам, что [From.GetRootRelation] [From.GetFirstName] искал вас, вы не знали чего ожидать. Конечно, вы не думали найти [From.GetHerHis] одетым в белый плащ! '[From.TopLiege.GetTitledFirstNameNoRegnal] выбрал[From.TopLiege.GetEndA] меня для службы в Королевской гвардии!' - говорит [FromFrom.GetSheHe] радостно.;x
EVTDESCkingsguard.11B;Когда стюард сообщил вам, что [From.GetRootRelation] [From.GetFirstName] искал вас, вы не знали чего ожидать. Конечно, вы не думали найти [From.GetHerHis] одетым в белый плащ! '[From.TopLiege.GetTitledFirstNameNoRegnal] назвал[From.TopLiege.GetEndA] меня Рыцарем Королевской гвардии. Так распорядился Регент [FromFromFrom.GetFirstNameWithDynasty]!' - говорит [FromFrom.GetSheHe] счастливо.;x
EVTDESCkingsguard.11C;[From.GetTitledFirstNameWithDynasty] был назначен в Королевскую гвардию. Так распорядился [From.TopLiege.GetTitledFirstNameNoRegnal].;x
EVTOPTAkingsguard.11;Дом [Root.GetOnlyDynastyName] гордится, [From.GetTitledFirstName].;x
EVTOPTBkingsguard.11;ЧТО?! Почему мне не сообщили об этом?;x
EVTOPTCkingsguard.11;Будем надеяться, что это мудрый выбор;x
EVTDESCkingsguard.12;[From.GetTitledFirstNameWithDynastyNoRegnal], [GetFromFromVsFromRelation] новоиспечённого Белого рыцаря по имени [FromFrom.GetTitledFirstName], смотрел[From.GetEndA] с гордостью на то, как новый рыцарь вашей Королевской гвардии приносил клятву верности своим мечом;x
