EVTtitlembs_finding.1;Семья найдена?;x
EVTDESCmbs_finding.1;Вы идете по своим делам в [Root.Capital.GetName], когда вас останавливает незнакомец. Он задает вам ряд вопросов о вашем рождение и вашей матери. В конце разговора незнакомец раскрывает себя как члена дома Старк, и поднимает свой капюшон, показывая что его внешность сильно напоминает вашу. Затем он говорит вам что верит, что вы бастард лорда Брандона Старка, старшего сына Рикарда Старка, лорда Винтерфелла и Хранителя Севера. Он просит вас вернуться с ним в его дом признанным членом дома Старк.;x
EVTOPTAmbs_finding.1;Мой отец Брандон Старк??;x
EVTtitlembs_finding.2;Снежинка Брандона;x
EVTOPTAmbs_finding.2;Новый член дома Старк!;x
EVTDESCmbs_finding.2A;Вы идете по своим делам в [From.Capital.GetName] и сталкиваетесь с незнакомцем, который останавливает ваши поиски. [From.GetBoyGirl] имеет отличительные серые глаза и каштановые волосы Старков. Вы обращаетесь к ней и ведете в таверну, где задаете ряд вопросов о ней и ее рождении. Она подтверждает что она бастард, никогда не знавшая своего отца и что ее мать, скромная дочь фермера, знала только, что он был юным лордом с хорошей лошадью. Спросив про ее возраст, вы вырисовываете четкую картину. Когда она заканчивает, вы поднимаете свой капюшон и, со слезами на глазах, рассказываете что она ваша [From.GetRootRelation] и что ее отцом был лорд Брандон Старк, ваш старший сын, сейчас, к сожалению, похороненный в крипте под Винтерфеллом. Вы просите [From.GetHerHim] поехать с вами в [Root.Capital.GetName] где [From.GetSheHe] будет признана членом дома Старк.;x
EVTDESCmbs_finding.2B;Вы идете по своим делам в [From.Capital.GetName] и сталкиваетесь с незнакомцем, который останавливает ваши поиски. [From.GetBoyGirl] имеет отличительные серые глаза и каштановые волосы Старков. Вы обращаетесь к ней и ведете в таверну, где задаете ряд вопросов о ней и ее рождении. Она подтверждает что она бастард, никогда не знавшая своего отца и что ее мать, скромная дочь фермера, знала только, что он был юным лордом с хорошей лошадью. Спросив про ее возраст, вы вырисовываете четкую картину. Когда она заканчивает, вы поднимаете свой капюшон и, со слезами на глазах, рассказываете что она ваша [From.GetRootRelation] и что ее отцом был лорд Брандон Старк, ваш старший брат, сейчас, к сожалению, похороненный в крипте под Винтерфеллом. Вы просите [From.GetHerHim] поехать с вами в [Root.Capital.GetName] где [From.GetSheHe] будет признана членом дома Старк.;x
EVTDESCmbs_finding.2C;Вы идете по своим делам в [From.Capital.GetName] и сталкиваетесь с незнакомцем, который останавливает ваши поиски. [From.GetBoyGirl] имеет отличительные серые глаза и каштановые волосы Старков. Вы обращаетесь к ней и ведете в таверну, где задаете ряд вопросов о ней и ее рождении. Она подтверждает что она бастард, никогда не знавшая своего отца и что ее мать, скромная дочь фермера, знала только, что он был юным лордом с хорошей лошадью. Спросив про ее возраст, вы вырисовываете четкую картину. Поднимая своей капюшон, вы рассказываете, что ее описание совпадает с историями, которые вы слышали, взрослея, о вашем дяде Брандоне, старшем сыне Рикарда Старка, лорда Винтерфелла и Хранителя Севера, и говорите что верите, что она дочь Брандона, ваша кузина. Вы просите [From.GetHerHim] поехать с вами в [Root.Capital.GetName] где [From.GetSheHe] будет признана членом дома Старк.;x
EVTDESCmbs_finding.2D;Вы идете по своим делам в [From.Capital.GetName] и сталкиваетесь с незнакомцем, который останавливает ваши поиски. [From.GetBoyGirl] имеет отличительные серые глаза и каштановые волосы Старков. Вы обращаетесь к ней и ведете в таверну, где задаете ряд вопросов о ней и ее рождении. Она подтверждает что она бастард, никогда не знавшая своего отца и что ее мать, скромная дочь фермера, знала только, что он был юным лордом с хорошей лошадью. Спросив про ее возраст, вы вырисовываете четкую картину. Поднимая своей капюшон, вы рассказываете, что ее описание совпадает с историями, которые вы слышали, взрослея, о вашем дяде Брандоне, старшем сыне Рикарда Старка, лорда Винтерфелла и Хранителя Севера, и говорите что верите, что она дочь Брандона, ваша кузина. Вы просите [From.GetHerHim] поехать с вами в [Root.Capital.GetName] где [From.GetSheHe] будет признана членом дома Старк.;x
EVTDESCmbs_finding.2E;Вы идете по своим делам в [From.Capital.GetName] и сталкиваетесь с незнакомцем, который останавливает ваши поиски. [From.GetBoyGirl] имеет отличительные серые глаза и каштановые волосы Старков. Вы обращаетесь к ней и ведете в таверну, где задаете ряд вопросов о ней и ее рождении. Она подтверждает что она бастард, никогда не знавшая своего отца и что ее мать, скромная дочь фермера, знала только, что он был юным лордом с хорошей лошадью. Спросив про ее возраст, вы вырисовываете четкую картину. Поднимая своей капюшон, вы рассказываете, что ее описание совпадает с вашим собственным отцом Брандоном Старком, старшем сыне Рикарда Старка, лорда Винтерфелла и Хранителя Севера, и говорите что верите, что она дочь Брандона, ваша сестра. Вы просите [From.GetHerHim] поехать с вами в [Root.Capital.GetName] где [From.GetSheHe] будет признана членом дома Старк.;x
