ca_mbs_wildling_barracks;Рекруты Вольного Народа;x
ca_mbs_wildling_barracks_desc;Вольный Народ за Стеной известен тем, что собирает могучие полчища грозных воинов. Из-за нехватки кузнецов к северу от Стены большинство воинов Вольного Народа имеют лёгкие доспехи и оружие, сделанное из камня, дерева и бронзы, такие как топоры и цепы, закалённые в огне копья и пики, а также луки из дерева и рога.;x
ca_mbs_thenn_barracks;Рекруты Теннов;x
ca_mbs_thenn_barracks_desc;Тенны, пожалуй, самые организованные из Вольного Народа. Благодаря этому, а также своей способности выплавлять бронзу, Тенны более хорошо вооружены и бронированы, чем большинство одичалых, с бронзовыми шлемами, топорами, короткими копьями с листовидными наконечниками, рубахами, сшитыми бронзовыми дисками, и простыми, без украшений, щитами из чёрной варёной кожи с бронзовыми ободками и выступами.;x
ca_mbs_nightswatch_barracks;Казармы Стены;x
ca_mbs_nightswatch_barracks_desc;Земли, окружающие Стену, недостаточно богаты, чтобы поддерживать большие силы кавалерии, а это означает, что многие из тех, кто удерживает Стену, должны сражаться пешком, часто используя луки, чтобы максимизировать свою сильную оборонительную сторону.;x
ca_mbs_northman_barracks;Казармы Северян;x
ca_mbs_northman_barracks_desc;Северяне происходят от Первых Людей, причём Андалы имеют здесь гораздо меньшее влияние, чем в остальной части Вестероса. В результате войны на Севере обычно меньше полагаются на тяжёлую кавалерию, чем в остальных Семи Королевствах. Вместо этого основная сила северных армий обычно исходит от их мощной тяжёлой пехоты и пикинёров.;x
ca_mbs_skagos_barracks;Казармы Скагоса;x
ca_mbs_skagos_barracks_desc;Камнерождённые Скагоса считаются немногим лучше одичалых, и они сражаются так же, как и Вольный Народ за Стеной, мало полагаясь на кавалерию, но часто используя тяжёлые доспехи.;x
ca_mbs_hill_clans_barracks;Казармы Горных Кланов;x
ca_mbs_hill_clans_barracks_desc;Горные кланы - это грозный воинственный народ, закалённый набегами Железнорождённых, одичалых и их собственными межклановыми распрями. В бою чемпионы кланов сражаются с огромными двуручными мечами или топорами, а сами одевают кольчуги. Члены клана также известны тем, что разводят косматых, низкорослых лошадей, на которых некоторые из них ездят в бой.;x
ca_mbs_wolfswood_barracks;Казармы Волчьего Леса;x
ca_mbs_wolfswood_barracks_desc;Волчий лес - опасное место, и поэтому, кто строит в нём свои дома, - опытные лесные жители, искусные в охоте на зверей и выслеживании добычи. В результате, во время войны они служат разведчиками и опытными лучниками, охотясь на людей так же, как на волков или кабанов.;x
ca_mbs_rills_barracks;Казармы Родников;x
ca_mbs_rills_barracks_desc;Родники - это ландшафт пологих холмов, лугов и ручьёв, идеально подходящий для разведения лошадей. Этот регион был известен разведением лучших лошадей на Севере от Перешейка с тех пор, как им правили короли Дома Райдер в Век Героев. В результате, во время войны рекруты из Родников часто выставляют значительно больше кавалерии, чем обычно для Севера.;x
ca_mbs_white_harbour_barracks;Казармы Белой Гавани;x
ca_mbs_white_harbour_barracks_desc;Хотя конные копейщики не редкость в северных армиях, огромное влияние Андальской культуры, принесённой в Белую Гавань домом Мандерли, означает, что этот регион уделяет гораздо больше внимания рыцарству и тяжёлой кавалерии, чем остальной Север. В результате рекруты из этого региона обычно могут похвастаться более крупными отрядами тяжёлой конницы, чем другие из остальной части Севера.;x
ca_mbs_crannogman_barracks;Казармы Перешейка;x
ca_mbs_crannogman_barracks_desc;Жители Перешейка - это талантливые охотники и воины. Несмотря на их невысокий рост и несколько примитивный образ жизни, они оказались печально известными “трудными” для завоевания людьми, используя партизанскую тактику и орудуя сетями, бронзовыми ножами и лягушачьими копьями в бою.;x
ca_mbs_valeman_barracks;Казармы Долины;x
ca_mbs_valeman_barracks_desc;Долина была тем местом, где Андалы впервые закрепились в Вестеросе, твёрдо установив и традиции рыцарства и конного боя. В результате этого и естественно возвышенной местности гор Луны, война в Долине, как правило, в значительной степени зависит от комбинации пикинёров, способных удерживать узкие горные проходы Долины, и тяжёлой кавалерии, способной нанести решающий удар против врага, действуя как молот на “наковальне” пикинёров.;x
ca_mbs_sisterman_barracks;Казармы Трёх Сестёр;x
ca_mbs_sisterman_barracks_desc;Население Трёх Сестёр имеет наследие пиратов, контрабандистов и вредителей. Их тощие островки не подходят для лошадей и тяжёлой пехоты, как остальная часть Долины. Вместо этого, когда Сестринцы идут на войну, они полагаются на лучников и лёгкую пехоту, столь же эффективную на суше, как и на море, сражаясь на кораблях.;x
ca_mbs_vale_islander_barracks;Казармы Островов Долины;x
ca_mbs_vale_islander_barracks_desc;Жители небольших островов у берегов Долины - народ выносливый, привыкший к жестоким штормам Узкого моря. Их тощие островки не подходят для лошадей и тяжёлой пехоты, в отличие от остальной части Долины. Вместо этого, когда жители Галечного острова, Ведьминого острова и Сосцов идут на войну, они полагаются на лучников и лёгкую пехоту, столь же эффективную на суше, как и на море, сражаясь на кораблях.;x
ca_mbs_runestone_barracks;Казармы Рунного Камня;x
ca_mbs_runestone_barracks_desc;После битвы Семи Звёзд дом Ройс преклонил колено перед домом Аррен, завершив завоевание Долины Андалами. Однако продолжающееся правление дома Ройсов обеспечило сохранение наследия Первых Людей, несмотря на то, что регион перенял многие Андальские традиции. В результате, во время войны ополчение из рунного камня часто выставляло значительно больше тяжёлой пехоты, чем обычное ополчение в Долине.;x
ca_mbs_eastwald_barracks;Казармы Восточных Пустошей;x
ca_mbs_eastwald_barracks_desc;После битвы Cеми Звёзд дом Хантер преклонил колено перед домом Аррен, тем самым завершив завоевание Долины Андалами. Тем не менее, продолжающееся правление дома Хантер гарантировало, что область Длинный Лук продолжала обучать опытных лучников, несмотря на то, что регион принял многие Андальские традиции рыцарства и тяжёлой кавалерии. В результате, во время войны рекруты из Длинного Лука, часто выставляют значительно больше лучников, чем другие лорды Долины.;x
ca_mbs_the_bite_barracks;Бараки Горных Кланов;x
ca_mbs_the_bite_barracks_desc;Кланы Лунных гор - это дикий и страшный народ. Даже те, кто соглашается на объединение в ополчение, сражаются традиционными для своего народа способами, в основном пешком, а их чемпионы облачены в доспехи и броню, добытые в ходе набегов.;x
ca_mbs_riverman_barracks;Казармы Речных земель;x
ca_mbs_riverman_barracks_desc;Речные земли окончательно пали перед андальскими захватчиками после поражения дома Мадд, что прочно закрепило андальские традиции рыцарства и конного боя. Вследствие этого, а также из-за наличия естественных препятствий в виде бродов и мостов на Трезубце и реке Черноводной, война в Речных землях обычно, в значительной степени, опирается на сочетание пикинёров, способных удерживать переправы через реки, и тяжёлой кавалерии, способной нанести решающий удар по противнику, выступая в роли молота на наковальне пикинёров.;x
ca_mbs_blackwood_barracks;Казармы долины Чернолесья;x
ca_mbs_blackwood_barracks_desc;Долгое правление дома Блэквудов гарантировало, что наследие Первых Людей и Старых Богов осталось в Чернолесье, и этот регион, на протяжении всей своей истории, мог похвастаться многими знаменитыми лучниками. В результате, во время войны рекруты из Чернолесья часто выставляют значительно больше лучников, чем другие лорды Речных земель.;x
ca_mbs_stonehedge_barracks;Казармы Стоунхеджа;x
ca_mbs_stonehedge_barracks_desc;Долгое правление дома Бракен обеспечило, что регион вокруг Стоунхеджа имеет репутацию места, где разводят лучших лошадей на Трезубце. В результате этого, во время войны ополченцы из Стоунхеджа часто выставляют значительно больше кавалерии, чем другие земли Речных земель.;x
ca_mbs_crownlander_barracks;Казармы Королевских земель;x
ca_mbs_crownlander_barracks_desc;Королевские земли вокруг Королевской Гавани заполнены множеством деревень и небольших городов, которые снабжают столицу. Жителям Королевских земель может не хватать воинской репутации как у других регионов Вестероса, но эти богатые земли способны поддержать значительное количество рыцарей и мелких лордов. В результате этого, во время войны ополчение Королевских земель имеет возможность выставлять множество отрядов тяжёлой кавалерии, которую поддерживает легковооружённая пехота, набранная из Королевской Гавани, а также из окрестных городков и деревень.;x
ca_mbs_crackclaw_barracks;Казармы Расколотой Клешни;x
