#CODE;RUSSIAN;x
make_military;Преобразовать в Военное Командование;x
# make_military_named;Преобразовать в Военное Командование;x
make_military_desc;Преобразовать в Военное Командование;x
unmake_military;Преобразовать в Обычное Владение;x
# unmake_military_named;Преобразовать в Обычное Владение;x
unmake_military_desc;Преобразовать в Обычное Владение;x
EVTDESC_MMC_10;[From.GetName] будет преобразован в военное командование. Это может вызвать недовольство некоторых членов вашей династии и вассалов.;x
EVTOPT_A_MMC_10;Преобразовать [From.GetName] в военное командование.;x
EVTOPT_B_MMC_10;Нет.;x
EVTDESC_MMC_25.1;[FromFrom.GetName] будет преобразован обратно в обычное владение.;x
EVTDESC_MMC_25.2;[FromFrom.GetName] будет преобразован обратно в обычное владение. Это очень обрадует [From.GetBestName].;x
EVTOPT_A_MMC_25;Преобразовать [FromFrom.GetName] в обычное владение.;x
EVTOPT_B_MMC_25;Преобразовать [FromFrom.GetName] в обычное владение.;x
EVTOPT_C_MMC_25;Нет.;x
TOOLTIP_MMC_convert_regular;[target_unmake_military.GetName] будет преобразован в обычное владение.;x
TOOLTIP_MMC_convert_military;[target_make_military.GetName] будет преобразован в военное командование.;x
TOOLTIP_MMC_unmake_military;Должно быть временным военным командованием.;x
TOOLTIP_MMC_make_military;Не должно быть военным командованием.;x
