EVTDESCmore_bloodlines.1;Не просто так на гербе Мормонтов изображен медведь: меня уже долгое время посещают яркие сны, в которых я охочусь за добычей в теле великого зверя леса, а теперь из-за деревьев вышел белый медведь. Необычайно послушный, он, похоже искал меня и как будто узнал когда нашел…;x
EVTOPTAmore_bloodlines.1;Я оборотень, и буду носить шкуру медведя как свою собственную!;x
EVTOPTBmore_bloodlines.1;Я не зверь!;x
EVTDESCmore_bloodlines.2;Не просто так на гербе Мормонтов изображен медведь: меня уже долгое время посещают яркие сны, в которых я охочусь за добычей в теле великого зверя леса, а теперь из-за деревьев вышел бурый медведь. Необычайно послушный, он, похоже искал меня и как будто узнал когда нашел…;x
EVTOPTAmore_bloodlines.2;Я оборотень, и буду носить шкуру медведя как свою собственную!;x
EVTOPTBmore_bloodlines.2;Я не зверь!;x
EVTDESCmore_bloodlines.3;Не просто так на гербе Блэквудов изображены вороны: меня уже долгое время посещают яркие сны, в которых я лечу на иссиня-черных крыльях. Сегодня крупный ворон приземлился за моим окном и попытался забраться внутрь. Необычайно послушный, он, похоже искал меня и как будто узнал когда нашел…;x
EVTOPTAmore_bloodlines.3;Я оборотень, и буду носить шкуру ворона как свою собственную!;x
EVTOPTBmore_bloodlines.3;Я не зверь!;x
EVTDESCmore_bloodlines.4;Меня уже долгое время посещают яркие сны, сны о листьях и камне, сны о прошлом и еще не наступившем будущем. Есть ли в эти снах смысл? В моем роду крепка древняя кровь Первых людей, народа, который разговаривал с Детьми Леса. Возможно эти сны послания от самих Старых Богов?;x
EVTOPTAmore_bloodlines.4;Я принимаю дар Старых Богов!;x
EVTOPTBmore_bloodlines.4;Лучше не задерживаться во снах;x
EVTDESCmore_bloodlines.5;Ты носишь кровь многих легендарных охотников, и трепет погони за добычей всегда привлекал тебя. Примешь ли ты зов своих предков и станешь совершенным охотником?;x
EVTOPTAmore_bloodlines.5;Охота в моей крови;x
EVTOPTBmore_bloodlines.5;Охота скучное дело;x
EVTDESCmore_bloodlines.6;Твой род долгое время был связан с чародейством, колдунством и темной магией. Последуешь ли ты за своими предками и станешь учиться тайнам магии?;x
EVTOPTAmore_bloodlines.6;Я раскрою тайны этого мира;x
