cata;Кот;x
cata_desc;Маленький кот всегда сопровождает этого персонажа;x
goat;Козел;x
goat_desc;Козел всегда сопровождает этого персонажа;x
vulture;Стервятник;x
vulture_desc;Крупный стервятник, похоже, всегда сопровождает этого персонажа;x
lion;Лев;x
lion_desc;Могучий лев всегда сопровождает этого персонажа;x
lizardlion;Львоящер;x
lizardlion_desc;Львоящер всегда сопровождает этого персонажа;x
crane;Журавль;x
crane_desc;Крупный журавль, похоже, всегда сопровождает этого персонажа;x
bat;Летучая мышь;x
bat_desc;Летучую мышь часто видно около этого персонажа;x
great_bat;Огромная летучая мышь;x
great_bat_desc;Огромная летучая мышь, как говорят, часто сопровождает этого персонажа. Люди утверждают что она достаточно большая чтобы унести маленького ребенка...;x
deer;Олень;x
deer_desc;Величественный олень всегда сопровождает этого персонажа;x
hrakkar;Храккар;x
hrakkar_desc;Храккар, один из могучих белых львов Дотракийского Моря, всегда сопровождает этого персонажа;x
mammoth;Мамонт;x
mammoth_desc;Могучий мамонт с ледяного севера за Стеной всегда сопровождает этого персонажа;x
unicorn_MBS;Единорог;x
unicorn_MBS_desc;Скагосский единорог, крупное, похожее на козла создание, с длинным острым рогом на голове, всегда сопровождает этого персонажа;x
walrus;Морж;x
walrus_desc;Морж всегда сопровождает этого персонажа;x
great_ape;Горилла;x
great_ape_desc;Соторийская горилла из темных южных лесов Йина, размером с великана, всегда рядом с этим персонажем;x
panda;Панда;x
panda_desc;Панда, страшный и опасный зверь, как говорят, обитающий в самых дальних итийских джунглях, всегда сопровождает этого персонажа;x
fox_mbs;Лиса;x
fox_mbs_desc;Лиса всегда сопровождает этого персонажа;x
owl;Сова;x
owl_desc;Сова всегда следует за этим персонажем.;x
rabbit;Кролик;x
rabbit_desc;Кролик всегда следует за этим персонажем.;x
badger;Барсук;x
badger_desc;Барсук всегда следует за этим персонажем.;x
squirrel;Белка;x
squirrel_desc;Белка всегда следует за этим персонажем.;x
aurochs;Тур;x
aurochs_desc;Тур всегда следует за этим персонажем.;x
rat;Крыса;x
rat_desc;Крыса всегда следует за этим персонажем.;x
greenseer;Избранный Зеленовидец;x
greenseer_desc;Этот персонаж зеленовидец, избранник Старых Богов, способный надевать шкуру любого зверя, который плавает, летает, или ползает, смотреть глазами чардрев, и видеть истину, скрытую под землей. Только один из тысячи рождает оборотнем, и только один оборотень из тысячи рождается зеленовидцем;x
greenseer_weirwood;Един с чардревом;x
greenseer_weirwood_desc;Этот персонаж решил сесть на трон из живых корней чардрева, став единым с ними, чтобы поддерживать свою жизнь, пока не появится новый зеленовидец. Он[GetEndA] не умрет от возраста или болезней, но будет медленно терять свою личность и не сможет сойти со своего трона;x
EVTDESCskinchanger.41;Вчера, пока я был снаружи, я заметил кота, следующего за мной. Он выглядел брошенным и одиноким, бедное существо должно быть проголодалось. Я мог почти чувствовать это...;x
EVTOPTAskinchanger.41;Может быть я должен завтра вернуться, и посмотреть там ли он еще.;x
EVTDESCskinchanger.42;Вчера, пока я был снаружи, я заметил крупного горного козла, следующего за мной. Он выглядел брошенным и одиноким, бедное существо должно быть проголодалось. Я мог почти чувствовать это...;x
EVTOPTAskinchanger.42;Может быть я должен завтра вернуться, и посмотреть там ли он еще.;x
EVTDESCskinchanger.43;Вчера, пока я был снаружи, я заметил крупного оленя, следующего за мной. Он выглядел брошенным и одиноким, бедное существо должно быть проголодалось. Я мог почти чувствовать это...;x
EVTOPTAskinchanger.43;Может быть я должен завтра вернуться, и посмотреть там ли он еще.;x
EVTDESCskinchanger.44;Вчера, пока я был снаружи, я заметил лису, следующую за мной. Она выглядела брошенной и одинокой, бедное существо должно быть проголодалось. Я мог почти чувствовать это...;x
EVTOPTAskinchanger.44;Может быть я должен завтра вернуться, и посмотреть там ли оно еще.;x
EVTDESCskinchanger.45;Вчера, пока я был снаружи, я заметил сову, следующую за мной. Она выглядела брошенной и одинокой, бедное существо должно быть проголодалось. Я мог почти чувствовать это...;x
EVTOPTAskinchanger.45;Может быть я должен завтра вернуться, и посмотреть там ли оно еще.;x
EVTDESCskinchanger.46;Вчера, пока я был снаружи, я заметил кролика, следующего за мной. Она выглядела брошенной и одинокой, бедное существо должно быть проголодалось. Я мог почти чувствовать это...;x
EVTOPTAskinchanger.46;Может быть я должен завтра вернуться, и посмотреть там ли оно еще.;x
EVTDESCskinchanger.47;Вчера, пока я был снаружи, я заметил барсука, следующего за мной. Она выглядела брошенной и одинокой, бедное существо должно быть проголодалось. Я мог почти чувствовать это...;x
EVTOPTAskinchanger.47;Может быть я должен завтра вернуться, и посмотреть там ли оно еще.;x
EVTDESCskinchanger.48;Вчера, пока я был снаружи, я заметил белку, следующую за мной. Она выглядела брошенной и одинокой, бедное существо должно быть проголодалось. Я мог почти чувствовать это...;x
EVTOPTAskinchanger.48;Может быть я должен завтра вернуться, и посмотреть там ли оно еще.;x
EVTDESCskinchanger.49;Вчера, пока я был снаружи, я заметил тура, следующего за мной. Она выглядела брошенной и одинокой, бедное существо должно быть проголодалось. Я мог почти чувствовать это...;x
EVTOPTAskinchanger.49;Может быть я должен завтра вернуться, и посмотреть там ли оно еще.;x
EVTDESCskinchanger.50;Вчера, пока я был снаружи, я заметил крысу, следующую за мной. Она выглядела брошенной и одинокой, бедное существо должно быть проголодалось. Я мог почти чувствовать это...;x
EVTOPTAskinchanger.50;Может быть я должен завтра вернуться, и посмотреть там ли оно еще.;x
