#CODE;RUSSIAN;x
### More Bloodlines: Titles
b_gormon_point;Пик Гормона;x
b_peakesbridge;Мост Пиков;x
b_firemeadow;Огненный Луг;x
b_seadragonwatch1;Логово Серого Волка;x
b_seadragonwatch2;Корабельный Дозор;x
b_seadragonwatch3;Скорбь Брандона;x
b_drakedwelling;Логово Дрейка;x
b_dragon_hall;Дрейкхолл;x
b_drakesdale;Дрейкдейл;x
b_snow;Снежный Замок;x
b_sky;Небесный Замок;x
d_skane;Скейн;x
c_skane;Скейн;x
b_skaggswatch;Дозор Скаггов;x
b_skane;Скейн;x
c_the_gates_of_the_moon;Лунные Врата;x
b_the_gates_of_the_moon;Лунные Врата;x
b_the_gates_of_the_moon_town;Гейтстон;x
b_the_gates_of_the_moon_sept;Врат;x
c_oldtown_city;Город Старомест;x
b_oldtown_city_walls;Ворота Староместа;x
b_oldtown_city;Староместа;x
b_oldtown_ragpickers_wynd;улицы Старьевщиков;x
b_oldtown_thieves_market;Воровского рынка;x
b_oldtown_docklands;гавани Староместа;x
b_oldtown_sailors_sept;Порта;x
b_oldtown_seven_shrines;Седьмица;x
b_oldtown_guildhalls;строений гильдий Староместа;x
c_oldtown;Высокая Башня;x
b_oldtown;Черная Крепость;x
b_oakmere;Хранилища Высокой Башни;x
b_hapsford;Маяк Высокой Башни;x
b_mbs_oldtown_new;гавани Острова Битв;x
c_kl_city;Королевская Гавань;x
b_kl_dragon_gate;Драконьи ворота;x
b_kl_kings_gate;Королевские ворота;x
b_kl_baelor_sept;Великая септа Бейлора;x
b_kl_flea_bottom;Блошиный Конец;x
b_kl_dragon_pit;Драконье Логово;x
b_kl_cobblers_square;Сапожная площадь;x
b_kl_dockyards;пристаней Королевской Гавани;x
c_kings_landing;Красный Замок;x
b_red_keep;Твердыня Мейгора;x
b_rk_tower_hand;Башня Десницы;x
b_rk_kitchen_keep;Кухонный Замок;x
b_rk_sept;Красного Замка;x
b_rk_maidenvault;Девичий Склеп;x
b_rk_black_cells;Каменные мешки;x
D_BLACKWATER_MOUTH;Устье Черноводной;x
c_iron_holt;Железная Роща;x
b_iron_holt;Железная Роща;x
d_saltcliffe;Соленый Утес;x
c_shield_row;Стена Щитов;x
b_shield_row_mbs;Стена Щитов;x
c_hangmyre;Висельная Трясина;x
b_hangmyre_mbs;Висельная Трясина;x
c_grey_garden;Серый Сад;x
b_grey_garden_mbs;Серый Сад;x
c_tower_of_glimmering;Башня Мерцания;x
b_tower_of_glimmering_mbs;Башня Мерцания;x
c_nettlebank;Крапивный Берег;x
b_nettlebank_mbs;Крапивный Берег;x
d_orkmont;Оркмонт;x
c_faroar_mbs;Фароар;x
b_faroar_mbs;Фароар;x
c_corpse_lake;Мертвое Озеро;x
b_corpse_lake_mbs;Мертвое Озеро;x
c_stonehouse;Каменный Дом;x
b_stonehouse_mbs;Каменный Дом;x
d_old_wyk;Старый Вик;x
d_seastone_isles;Черная Волна;x
c_saltford;Соленый Брод;x
b_saltford_mbs;Соленый Брод;x
b_ironmaker_mbs;Крепость Айронмейкеров;x
b_hardstone_mbs;Гольцы;x
b_hammerhome_temple_mbs;Хаммергрейв;x
c_hoare_castle;Замок Хоаров;x
b_hoare_castle_mbs;Замок Хоаров;x
b_hoareton_mbs;Чейнтон;x
b_hoaregrave_mbs;Блэкгрейв;x
b_hoare_soundship_mbs;Саундшип;x
c_morne;Морн;x
b_morne_mbs;Морн;x
b_morne_sept_mbs;Праведной Девы;x
b_morne_town_mbs;Солнечного Дозора;x
b_morne_new_mbs;Скорбь Галладона;x
d_cotf_mbs;Пещеры Детей Леса;x
c_e_wolfwood;Черная Роща;x
b_e_wolfwood_mbs_keep;Вересковый Острог;x
b_e_wolfwood_mbs_temple;Остров Чардрев;x
b_e_wolfwood_mbs_croft;Деревня Фермеров;x
b_e_wolfwood_mbs_keep_2;Лесной Дозор;x
k_oldcastleTK;Старый Замок;x
k_blackpoolTK;Черная Заводь;x
d_blackmont;Блэкмонт;x
c_slaynemouth;Пасть Слейна;x
b_slaynemouth;Хранитель Слейна;x
b_slaynemouth1;Штормовый Дозор;x
c_gulltower_mbs;Чаячья Башня;x
b_gulltower_mbs;Чаячья Башня;x
b_gullsept_mbs;Осгрейв;x
b_gulltower_mbs_1;Шеттхолл;x
b_gull_tower;Крепость Чаячьего Города;x
c_westwatch_mbs;Западный Дозор-у-Моста;x
b_westwatch_mbs;Западный Дозор-у-Моста;x
d_claw_isle;Клешня;x
d_driftmark;Дрифтмарк;x
d_widowswatch;Вдовий Мыс;x
b_higharden_7_mbs;Залы Зеленорукого;x
k_carcosa;Каркоса;x
