ca_winterfell_throne;Трон Лютоволка;x
ca_winterfell_throne_desc;Высокое седалище дома Старк, которое лорды Винтерфелла занимали с тех времен, когда называли себя Королями Зимы. Камень трона холоден, гладок после бесчисленного количества Королей Зимы. Резные головы лютоволков рычат по концам массивных рукояток. Хоть и не такой красивый как другие престолы Вестероса, трон представляет власть лордов Винтерфелла и наследние дома Старк, которое идет к Веку Героев;x
ca_iron_throne;Железный Трон;x
ca_iron_throne_desc;Железный Трон это седалище Владыки Семи Королевств, выкованное по приказу Эйгона I после его Завоевания. Это холодное, жёсткое и внушительное сиденье, сделанное из мечей побежденных Эйгоном и его сестрами. Тысяча клинков, из которых состоит трон, были раскалены в пламени Балериона Черного Ужаса и ковались пятьдесят пять дней. Он неудобен, а его спина зазубрена стальными лезвиями, из-за чего откинуться назад невозможно. Эйгон I сделал это намеренно, сказав, что королю не должно сидеться легко. Действительно, считается, что трон может отвергнуть того, кто на нем сидит, ранив его одним из множества зазубренных лезвий, которые использовались в постройке. Только Владыка Семи Королевств и его десница имеют право восседать на троне, и когда король вершит дела, только он, его семья, и его совет имеют право сидеть, все остальные должны стоять или преклоняться. Когда король восседает на вершине Железного Трона, с Королевской гвардией у подножия, он излучает силу и авторитет;x
ca_iron_dragonstone;Железный Трон;x
ca_iron_oldtown;Железный Трон;x
ca_iron_harrenhal;Железный Трон;x
ca_driftwood_throne;Плавниковый Трон;x
ca_driftwood_throne_desc;Плавниковый Трон - высокое сиденье лордов Веларионов из Дрифтмарка. Согласно легенде, трон был подарен Королем Мерлингов как часть заключения пакта с Веларионами. Отслеживая свое происхождение из Валирии, Веларионы являются авторитетным домом. Несмотря на то что их владения малы, стратегическая позиция позволяет им контролировать Черноводный залив и значительную часть Узкого моря, так же как и торговлю, текущую сквозь них - это сделало Веларионов богатыми и могущественными, и многие признали силу Лорда Приливов;x
ca_seastone_throne;Морской Трон;x
ca_seastone_throne_desc;Морской Трон - древний трон Железных Островов, сделанный из цельного куска камня чернильно-черного цвета, исполненного в виде гигантского кракена. Легенды гласят, что он был найден на берегах Старого Вика Первыми людьми когда они пришли на Железные Острова. Среди наиболее преданных последователей Утонувшего Бога считается, что только набожный железнорожденный может сидеть на Морском Троне. Странный трон из черного камня представляет власть и право править Железными Островами, показывает значительный авторитет правителя;x
ca_eyrie_throne;Резной Трон Орлиного Гнезда;x
ca_eyrie_throne_desc;Лорды Аррены из Долины долгое время восседали на большом троне из чардрева такого же белого цвета как снег, покрывающий Копье Гиганта. Поскольку чардрево не гниет, трон может легко относиться к строительству самого Орлиного Гнезда тысячелетия тому назад. Так как Долина была первым королевством Вестероса, которое завоевали андалы, использование трона, вырезанного из священного сердце-дерева могло быть умышленным ходом дома Аррен дабы показать что Семеро, а не Старые Боги, держат власть над их землями, но кто может сейчас сказать наверняка. Одно известно точно: лорд Орлиного Гнезда владеет огромной властью и заслуживает уважения;x
ca_golden_gallery;Золотая Галерея и Зал Героев;x
ca_golden_gallery_desc;Седалище дома Ланнистер со времен Века Героев, выстроенное поверх величайших известных золотных рудников Вестероса, Утес Кастерли - дом многих сокровищ. Величайшие из них содержатся в огромных пещерах под названием Золотая Галерея и Зал Героев. Галерея знаменита по всем Семи Королевствам своими великолепными драгоценностями и золотыми узорами на ее стенах. Зал Героев это место, где хоронят Ланнистеров и их родственников, и где, в дорогих доспехах, сотни рыцарей, лордов и королей Ланнистеров несут вечную стражу. Величественность этих комнат в Вестеросе несравненна, она подтверждает силу и авторитет тех, кто правит Утесом Кастерли;x
ca_sunspear_throne;Троны-Близнецы Солнечного Копья;x
ca_sunspear_throne_desc;В сердце Старого Дворца Солнечного Копья, под позолоченным куполом Башни Солнца, находится тронный зал принцев Дорна. В центре зала, на возвышении, стоят два трона, практически одинаковые: на спинке одного изображено копье Мартеллов в золоте, на другом пылающее солнце Ройны, которое пришло с мачт кораблей Нимерии, когда они прибыли в Дорн.\n\nЭти троны-близнецы - могущественный символ достижений принцев Нимерос-Мартеллов из Дорна, а также заметное напоминание, что в Дорне женщина стоит наравне с мужчиной;x
ca_oaken_throne_1;Дубовый Трон;x
ca_oaken_throne_1_desc;Веками короли-Гарднеры из Простора правили с Дубового трона, живого престола, который рос в стволе дуба, посаженного в центре Хайгардена самим Гартом Зеленоруким. Тем не менее, во время правления Гарта Седобородого, Хайгарден был разграблен дорнийцами, а Дубовый трон был изрублен в куски и сожжен - бесславное деяние для людей Простора. Теперь, все что осталось это иссохшие, мертвые корни;x
ca_oaken_throne_2;Дубовый Трон;x
ca_oaken_throne_2_desc;Веками короли-Гарднеры из Простора правили с Дубового трона, живого престола, который рос в стволе дуба, посаженного в центре Хайгардена самим Гартом Зеленоруким. Тем не менее, во время правления Гарта Седобородого, Хайгарден был разграблен дорнийцами, а Дубовый трон был изрублен в куски и сожжен - бесславное деяние для людей Простора. Должен был появиться поистине мудрый и умный правитель чтобы восстановить Дубовый трон, и тот кто сделал это проявил себя бесспорным лордом Хайгардена и истинным наследником Гарта Зеленорукого;x
ca_riverrun_throne;Высокое Сиденье Риверрана;x
ca_riverrun_throne_desc;Высокое сиденье лордов Риверрана расположено на возвышении, в центре Великого чертога, окруженного знаменами, которые заявляют о могуществе Риверрана и подчеркивают власть величайших коренных речных лордов;x
ca_storm_throne;Трон Штормовых Королей;x
ca_storm_throne_desc;В сердце Великого чертога Штормового Предела веками, или тысячелетиями, стоит трон Штормовых королей и лордов Штормового Предела, стойкий символ силы и авторитета для всех штормовиков;x
ca_mermans_court;Чертог Водяного;x
ca_mermans_court_desc;В сердце Нового Замка Белой Гавани находится Чертог Водяного. Его стены, потолки и пол сделаны из досок и украшены изображениями самых разных морских созданий. В одном конце зала вход, а в другом большой удобный трон на возвышении;x
ca_harlaw_throne;Высокое Сиденье Харлоу;x
ca_harlaw_throne_desc;В сердце Великого чертога Десяти Башен находится высокое сиденье лордов Харлоу. Над ним держатся две скрещенные серебряные косы, настолько огромные, что даже великан с трудом поднял бы их;x
ca_frey_throne;Высокое Сиденье Переправы;x
ca_frey_throne_desc;В сердце Великого чертога Близнецов находится высокое сиденье лордов Переправы из черного дуба, спинка которого была вырезана в форме двух башен, соединенных мостом;x
ca_griffin_throne;Сиденье Грифонов;x
ca_griffin_throne_desc;В сердце Великого чертога Грифоньего Гнезда, на возвышении, находится Сиденье Грифонов, окруженное знаменами, которые заявляют о могуществе лордов Коннингтонов;x
ca_bolton_throne;Высокое Сиденье Дредфорта;x
