#CODE;RUSSIAN;x
empire_free_folk;Королевство;x
empire_of_free_folk;Королевство;x
emperor_free_folk;Верховный король;x
emperor_female_free_folk;Королева;x
emperor_foa_free_folk;Мой король;x
emperor_foa_female_free_folk;Моя королева;x
king_foa_free_folk;Мой король;x
king_foa_female_free_folk;Моя королева;x
duchy_free_folk;Вождество;x
duchy_of_free_folk;Вождество;x
duke_free_folk;Великий Вождь;x
duke_female_free_folk;Великая Предводительница;x
duke_foa_free_folk;Вождь;x
county_free_folk;Вождество;x
county_of_free_folk;Вождество;x
count_free_folk;Вождь;x
count_female_free_folk;Предводительница;x
count_foa_free_folk;Вождь;x
barony_free_folk;Владение;x
barony_of_free_folk;Владение;x
baron_free_folk;Вождь;x
baron_female_free_folk;Предводительница;x
baron_foa_free_folk;Вождь;x
MAGNAR;Магнар;x
MAGNAR_FOA;Магнар;x
#duke_thenn;Магнар;x
#duke_foa_thenn;Магнар;x
#count_thenn;Магнар;x
#count_foa_thenn;Магнар;x
duchy_giant;Вождество;x
duchy_of_giant;Вождество;x
duke_giant;Великий Вождь;x
duke_female_giant;Великая Предводительница;x
duke_foa_giant;Вождь;x
county_giant;Вождество;x
county_of_giant;Вождество;x
count_giant;Вождь;x
count_female_giant;Предводительница;x
count_foa_giant;Вождь;x
