#CODE;RUSSIAN;x
e_dorne;Дорн;x
e_dorne_adj;Дорнийск;x
k_dorne;Дорн;x
k_dorne_adj;Дорнийск;x
d_brokenarm;Перебитая Рука;x
c_sunspear;Солнечное Копье;x
b_speartower;Солнечное Копье;x
b_theshadowtown;Теневой Город;x
b_watergardens;Водные Сады;x
b_towerofthesun;Ковчег Песков;x
b_threefoldgate;Тройные Ворота;x
b_oldpalace;Старый Дворец;x
b_sunnysept;Солнечная;x
c_lemonwood;Лимонная Роща;x
b_lemonwood;Лимонная Роща;x
b_sourton;Соуртон;x
b_oldlordsmanor;Дворец Старых Лордов;x
b_millerstown;Город Мельников;x
b_stinkwater;Стоячий Пруд;x
b_deadglade;Мертвая Поляна;x
c_plankytown;Дощатый Город;x
b_bloodspill;Кровавый Пролив;x
b_longdike;Длинная Плотина;x
b_tribunal;Трибунал;x
b_vipersnest;Змеиное Гнездо;x
b_plankytown;Дощатый Город;x
c_spotswood;Крапчатый Лес;x
b_olivegrove;Оливковая роща;x
b_greystoke;Серый Розжиг;x
b_thornford;Торнфорд;x
b_whitecliff;Белый Утёс;x
b_spotswood;Крапчатый Лес;x
d_vaith;Вейт;x
c_godsgrace;Дар Богов;x
b_godsgrace;Дар Богов;x
b_rhoynestear;Слеза Ройны;x
b_dunstables;Данстейблс;x
b_orangewood;Апельсиновый лес;x
b_santon;Сантон;x
b_waterfoot;Подножье Моря;x
c_saltshore;Солёный берег;x
b_saltshore;Солёный берег;x
b_bayswater;Морской Залив;x
b_seashellshall;Чертог Морских раковин;x
b_saltmarket;Солёный рынок;x
b_seacourt;Суд Моря;x
c_reddunes;Красные Дюны;x
b_reddunes;Вейт;x
b_whiskerville;Вискервиль;x
b_ferry;Ферри;x
b_vaith;Край Дюн;x
b_holdbytheriver;Держатель-у-Реки;x
c_scorchedrock;Выжженная Скала;x
b_sandwall;Песчаная Стена;x
b_oldglory;Старая Слава;x
b_deserthearth;Сердце Пустыни;x
b_lastoasis;Последний Оазис;x
d_ghosthills;Призрачные Холмы;x
c_ghosthills;Призрачный Холм;x
b_ghosthill;Призрачный Холм;x
b_sevengraces;Семь Благодатей;x
b_nymercairn;Нимеркаирн;x
b_hallsofthedead;Залы Мертвых;x
b_barrows;Курганы;x
c_thescourge;Плеть;x
b_cronetower;Башня Старицы;x
b_scourgeford;Брод Плети;x
b_maidentower;Башня Девы;x
b_mothertower;Башня Матери;x
b_sunburst;Солнечная Вспышка;x
c_thetor;Тор;x
b_amber;Амбер;x
b_bushmills;Бушмиллс;x
b_sharkshore;Акулий берег;x
b_thetor;Тор;x
b_septondunes;Дюн;x
b_sandgate;Песчаные ворота;x
c_ghastongrey;Серая крепость;x
b_ghastongrey;Серая крепость;x
b_greyport;Серая гавань;x
d_brimstone;Серноводная;x
c_nymerwell;Нимервелл;x
b_saltmines;Солёные Копи;x
b_dustyrock;Пыльная Скала;x
b_silentwatcher;Тихий Сторож;x
b_wellofnymeria;Колодец Нимерии;x
c_greatdesert;Великая Пустыня;x
b_scimitar;Скимитар;x
b_drywell;Высохший Колодец;x
b_sandford;Песчаный Брод;x
c_hellholt;Адов Холм;x
b_hellholt;Адов Холм;x
b_brimstone;Серноводная;x
b_fiendshand;Адовы Врата;x
b_bloodbridge;Кровавый Мост;x
b_jackalsden;Логово Шакала;x
b_tidmarsh;Тидмарш;x
c_sandstone;Песчаник;x
