#CODE;RUSSIAN;x
e_new_valyria;Новая Валирия;x
e_new_valyria_adj;Валирийск;x
e_aurions_host;Валирия;x
e_aurions_host_adj;Валирийск;x
e_braavos;Браавос;x
e_braavos_adj;Браавосийск;x
e_three_sons;Три Сына;x
e_three_daughters;Три Дочери;x
e_three_daughters_adj;Триархия;x
k_braavos;Браавос;x
k_braavos_adj;Браавосийск;x
d_braavos;Браавос;x
d_braavos_adj;Браавосийск;x
d_braavosiancoastlands;Браавосийские острова;x
d_coastlands;Браавосское побережье;x
d_east_braavosiancoastlands;Моррогос;x
d_sweetwater;Пресноводный;x
c_braavos;Браавос;x
b_braavos;Браавос;x
b_sealordpalace;Дворец Морского Владыки;x
b_titan;Браавосский Титан;x
b_arsenal;Арсенал;x
b_purpleharbor;Пурпурная Гавань;x
b_ragmansharbor;Мусорная Заводь;x
b_templemoonsingers;Лунные Певцы;x
c_themarshes;Топи;x
b_themarshes;Топи;x
b_themarshescastle;Топи;x
b_themarshestemple;Топи;x
c_braavosishore;Лунный Мост;x
b_braavosishore;Лунный Мост;x
b_braavosishorecastle;Лунный Мост;x
b_braavosishoretemple;Лунный Мост;x
c_malaqovos;Малаквовос;x
b_malaqovos;Малаквовос;x
b_malaqovoscastle;Малаквовос;x
b_malaqovostemple;Малаквовос;x
c_freneros;Фрэнерос;x
b_freneros;Фрэнерос;x
b_freneroscastle;Фрэнерос;x
b_frenerostemple;Фрэнерос;x
c_braavosianhills;Холмы Дейрвес;x
b_braavosianhills;Холмы Дейрвес;x
b_braavosianhillscastle;Холмы Дейрвес;x
b_braavosianhillstemple;Холмы Дейрвес;x
c_prestaynos;Пристейнос;x
b_prestaynos;Пристейнос;x
b_prestaynoscastle;Пристейнос;x
b_prestaynostemple;Пристейнос;x
c_braavosian_fields;Железная Гавань;x
b_braavosian_fields;Железная Гавань;x
b_braavosian_fieldscastle;Железная Гавань;x
b_braavosian_fieldstemple;Железная Гавань;x
k_tyrosh;Тирош;x
k_tyrosh_adj;Тирошийск;x
d_tyrosh;Тирош;x
c_tyrosh;Тирош;x
b_tyrosh;Тирош;x
b_tyroshharbor;Тирошийская гавань;x
b_bleedingtower;Кровавая башня;x
b_fountaindrunkengod;Фонтан Пьяного бога;x
b_templeoftrios;Храм Триоса;x
b_zernosh;Зернош;x
b_dynelos;Динелос;x
c_tyroshilanding;Земли Тироша;x
b_tyroshilanding;Земли Тироша;x
b_tyroshilanding_castle;Земли Тироша;x
b_tyroshilanding_temple;Земли Тироша;x
d_tyroshi_lands;Тирошийские спорные земли;x
c_kylos;Килос;x
b_kylos;Килос;x
b_kylos_castle;Килос;x
b_kylos_temple;Килос;x
c_disputedpeninsula;Вилибош;x
b_disputedpeninsula;Вилибош;x
b_disputedpeninsula_castle;Вилибош;x
b_disputedpeninsula_temple;Вилибош;x
c_vysosplains;Равнины Висоса;x
b_vysosplains;Равнины Висоса;x
b_vysosplains_castle;Равнины Висоса;x
b_vysosplains_temple;Равнины Висоса;x
k_pentos;Пентос;x
k_pentos_adj;Пентосийск;x
d_pentos;Пентос;x
d_pentos_adj;Пентосийск;x
c_pentos;Пентос;x
b_pentos;Пентос;x
b_olynos;Олинос;x
d_prince_pentos;Пентос;x
d_prince_pentos_adj;Пентосийск;x
PRINCEDOM_OF;Принципат;x
b_princespalace;Дворец Принца;x
b_pentosharbor;Гавань Пентоса;x
b_spicertowers;Башни Специй;x
b_sunrisegate;Восточные Врата;x
b_redtemplepentos;Пентос;x
c_sunriseroad;Восточный путь;x
b_sunriseroad;Восточный путь;x
b_sunriseroad_castle;Восточный путь;x
b_sunriseroad_temple;Восточный путь;x
c_thegreatarm;Великая Рука;x
b_thegreatarm;Великая Рука;x
b_thegreatarm_castle;Великая Рука;x
b_thegreatarm_temple;Великая Рука;x
d_nontelos;Нонтелос;x
c_princesshore;Побережье Принца;x
b_princesshore;Побережье Принца;x
b_princesshore_castle;Башня Принца;x
b_princesshore_temple;Побережье Принца;x
c_berylos;Берилос;x
b_berylos;Берилос;x
b_berylos_castle;Берилос;x
b_berylos_temple;Берилос;x
c_littlerhoyne;Малая Ройна;x
b_littlerhoyne;Малая Ройна;x
b_littlerhoyne_castle;Малая Ройна;x
b_littlerhoyne_temple;Малая Ройна;x
d_velvet_hills;Бархатные Холмы;x
c_velvetmarch;Бархатный Путь;x
b_velvetmarch;Бархатный Путь;x
b_velvetmarch_castle;Бархатный Путь;x
b_velvetmarch_temple;Бархатный Путь;x
c_velvetpeak;Бархатный Пик;x
b_velvetpeak;Бархатный Пик;x
b_velvetpeak_castle;Бархатный Пик;x
b_velvetpeak_temple;Бархатный Пик;x
c_fareyes;Далекие Очи;x
b_fareyes;Далекие Очи;x
b_fareyes_castle;Далекие Очи;x
b_fareyes_temple;Далекие Очи;x
d_pentoshi_flatlands;Равнины Пентоса;x
c_amenos;Аменос;x
b_amenos;Аменос;x
b_amenos_castle;Аменос;x
b_amenos_temple;Аменос;x
c_arkon;Ар Кон;x
b_arkon;Ар Кон;x
b_arkon_castle;Ар Кон;x
b_arkon_temple;Ар Кон;x
c_mylonos;Милонос;x
b_mylonos;Милонос;x
b_mylonos_castle;Милонос;x
b_mylonos_temple;Милонос;x
c_nontelos;Нонтелос;x
b_nontelos;Нонтелос;x
b_nontelos_castle;Нонтелос;x
b_nontelos_temple;Нонтелос;x
c_lakeofmyrth;Миртское озеро;x
b_lakeofmyrth;Миртское озеро;x
b_lakeofmyrth_castle;Миртское озеро;x
b_lakeofmyrth_temple;Миртское озеро;x
c_samal;Самал;x
b_samal;Самал;x
b_samal_castle;Самал;x
b_samal_temple;Самал;x
c_ghoyan_drohe;Гойан Дроэ;x
b_ghoyan_castle;Замок Гойан;x
b_ghoyan_drohe;Гойан Дроэ;x
b_ghoyan_drohe_temple;Гойан Дроэ;x
b_sar_moyhan;Сар Мойан;x
b_gholuru;Голхуру;x
k_myr;Мир;x
k_myr_adj;Мирийск;x
d_myr;Мир;x
c_myr;Мир;x
b_myr;Мир;x
b_myrishharbor;Гавань Мира;x
b_redtemplemyr;Мир;x
b_vyrelos;Вирелос;x
b_lace_tower;Кружевная Башня;x
b_green_gate;Зеленые Врата;x
b_nymolis;Нимолис;x
c_bayofmyr;Накес Эмбар;x
b_bayofmyr;Накес Эмбар;x
b_bayofmyr_castle;Накес Эмбар;x
b_bayofmyr_temple;Накес Эмбар;x
d_myrish_hinterlands;Переход Дочерей;x
c_plainsofmyr;Ринлос;x
b_plainsofmyr;Ринлос;x
b_plainsofmyr_castle;Ринлос;x
b_plainsofmyr_temple;Ринлос;x
c_latnyr;Латнир;x
b_latnyr;Латнир;x
b_latnyr_castle;Латнир;x
b_latnyr_temple;Латнир;x
c_vymolys;Вимолис;x
b_vymolys;Вимолис;x
b_vymolys_castle;Вимолис;x
b_vymolys_temple;Вимолис;x
d_myrish_disputed_lands;Мирийские спорные земли;x
c_forestofmyr;Киос;x
b_forestofmyr;Киос;x
b_forestofmyr_castle;Киос;x
b_forestofmyr_temple;Киос;x
c_myrwater;Воды Мира;x
b_myrwater;Воды Мира;x
b_myrwater_castle;Воды Мира;x
b_myrwater_temple;Воды Мира;x
c_drelyia;Дрелийа;x
b_drelyia;Дрелийа;x
b_drelyia_castle;Дрелийа;x
b_drelyia_temple;Дрелийа;x
d_myrish_flatlands;Равнины Мира;x
c_lortyrbay;Залив Лортир;x
b_lortyrbay;Залив Лортир;x
b_lortyrbay_castle;Залив Лортир;x
b_lortyrbay_temple;Залив Лортир;x
c_longlake;Длинное Озеро;x
b_longlake;Длинное Озеро;x
b_longlake_castle;Длинное Озеро;x
b_longlake_temple;Длинное Озеро;x
c_byloth;Билот;x
b_byloth;Билот;x
b_byloth_castle;Билот;x
b_byloth_temple;Билот;x
c_nymyrelor;Ни Мирелор;x
b_nymyrelor;Ни Мирелор;x
b_nymyrelor_castle;Ни Мирелор;x
b_nymyrelor_temple;Ни Мирелор;x
c_greenlace;Зеленые Кружева;x
b_greenlace;Зеленые Кружева;x
b_greenlace_castle;Зеленые Кружева;x
b_greenlace_temple;Зеленые Кружева;x
k_lys;Лис;x
k_lys_adj;Лисенийск;x
d_lys;Лис;x
c_lys;Лис;x
b_lys;Лис;x
b_lyseneharbor;Гавань Лиса;x
b_pleasuregardens;Сады Удовольствий Лиса;x
b_redtemplelys;Лис;x
b_tear_tower;Башня Слезы;x
b_numys;Нумис;x
b_lentorys;Ленторис;x
c_dyrenohill;Холм Дирено;x
b_dyrenohill;Холм Дирено;x
b_dyrenohill_castle;Холм Дирено;x
b_dyrenohill_temple;Холм Дирено;x
c_lyseneforest;Моргош;x
b_lyseneforest;Моргош;x
b_lyseneforest_castle;Моргош;x
b_lyseneforest_temple;Моргош;x
d_lysene_disputed_lands;Лисенийские спорные земли;x
c_disputedforest;Спорный Лес;x
b_disputedforest;Спорный Лес;x
b_disputedforest_castle;Спорный Лес;x
b_disputedforest_temple;Спорный Лес;x
c_mesylosh;Месилош;x
b_mesylosh;Месилош;x
b_mesylosh_castle;Месилош;x
b_mesylosh_temple;Месилош;x
c_silkhead;Шелковая Голова;x
b_silkhead;Шелковая Голова;x
b_silkhead_castle;Шелковая Голова;x
b_silkhead_temple;Шелковая Голова;x
k_norvos;Норвос;x
k_norvos_adj;Норвосск;x
d_norvos;Норвос;x
d_norvos_adj;Норвосск;x
d_hills_of_norvos;Холмы Норвоса;x
d_the_west_road;Западная Дорога;x
d_bearded_priests;Бородатые жрецы;x
BEARDED_PRIEST;Верховный Жрец;x
BEARDED_PRIEST_FOA;Ваше Святейшество;x
c_norvos;Норвос;x
b_norvos;Норвос;x
b_lowernorvos;Нижний Норвос;x
b_noom;Нум;x
b_narrah;Наррах;x
b_nyel;Ниэл;x
b_beardedtemple;Норвос;x
c_noyne;Нойна;x
b_noyne;Нойна;x
