#CODE;RUSSIAN;x
e_iron_isles;Железные острова;x
e_iron_isles_adj;Железнорожденн;x
k_iron_isles;Железные острова;x
k_iron_isles_adj;Железнорожденн;x
Iking;Железный Король;x
Iking_female;Железная Королева;x
Iking_old_ironborn;Верховный король;x
Iking_female_old_ironborn;Верховная королева;x
Iking_FOA;Ваша Милость;x
d_pyke;Пайк;x
d_great_wyk;Большой Вик;x
d_seastone_isles;Острова Морского камня;x
d_harlaw;Харлоу;x
c_pyke;Пайк;x
c_lordsport;Лордспорт;x
c_saltcliffe;Соленый Утес;x
c_hammerhorn;Хаммерхорн;x
c_pebbleton;Пебблтон;x
c_sealskin_point;Тюленья Шкура;x
c_old_wyk;Старый Вик;x
c_orkmont;Оркмонт;x
c_blacktyde;Черная Волна;x
c_ten_towers;Десять Башен;x
c_stonetree;Стоунтри;x
c_volmark;Волмарк;x
c_iron_holt;Железная Роща;x
c_nettlemont;Неттлмонт;x
b_pyke;Пайк;x
b_iron_acton;Железная Роща;x
b_seagrave;Сигрейв;x
b_brodsworth;Бродсворт;x
b_krakenrock;Скала Кракена;x
b_lordsport_keep;Лордспорта;x
b_lordsport;Лордспорт;x
b_axfirth;Аксферт;x
b_silver_cove;Серебрянная бухта;x
b_salt_end;Соленый край;x
b_saltford;Соленый брод;x
b_serpents_mouth;Змеиные уста;x
b_hammerhorn;Хаммерхорн;x
b_hardstone_hill;Фароар;x
b_galleywood;Вороний Шпиль;x
b_hornhaven;Сигнальная Гавань;x
b_pebbleton;Замок Пебблтон;x
b_fishbourne;Расселина;x
b_herringby;Пебблтон;x
b_sproutside;Спраутсайд;x
b_sealskin_point;Тюленья Шкура;x
b_faroar;Мертвое Озеро;x
b_wynd_point;Виндпоинт;x
b_naggas_hill;Холм Нагги;x
b_stoneton;Камнелом;x
b_seastone_point;Холм Морского камня;x
b_portbone;Порт Костей;x
b_orkwatch;Орквоч;x
b_nettlebank;Крапивный Берег;x
b_pinehole;Пайнхол;x
b_littleport;Замок Черная Волна;x
b_blackcove;Черная бухта;x
b_ten_towers;Десять Башен;x
b_harlaw_hill;Харлоухолл;x
b_kinscythe;Кинсайт;x
b_stonetree;Стоунтри;x
b_grey_cove;Серая бухта;x
b_volmark;Волмарк;x
b_shield_row;Щитовой ряд;x
b_great_harbour;Большая Гавань;x
b_hangmyre;Висельная Трясина;x
b_stonehouse;Каменный Дом;x
b_lonely_light;Одинокий Свет;x
b_grey_garden;Серый Сад;x
b_tower_of_glimmering;Башня Мерцания;x
b_harridan_hill;Ведьмин Холм;x
c_lonely_light;Одинокий Свет;x
b_lonely_harbour;Одинокая Гавань;x
b_drumm_tower;Башня Драммов;x
b_codd_hall;Коддхолл;x
b_hoare_castle;Замок Хоаров;x
b_blackblood;Чёрная Кровь;x
b_ironkeep;Железная Крепость;x
b_oaken_shore;Дубовый Берег;x
b_oldwood;Старое Древо;x
b_moonport;Лунный порт;x
