#CODE;RUSSIAN;x
e_north;Север;x
e_north_adj;Северн;x
k_north;Север;x
k_north_adj;Северн;x
e_first_men;Первые люди;x
e_first_men_adj;Первых людей;x
d_northclans;Северные кланы;x
C_NORTH_ROAD;Северная дорога;x
c_crowsedge;Край Стервятников;x
b_burley;Барли;x
b_wullseat;Усадьба Вуллов;x
b_bucketon;Бакетон;x
b_coldcove;Холодная бухта;x
c_arrendell;Арренделл;x
b_wolfscroft;Волчий хутор;x
b_arwoodtower;Башня Арвуд;x
b_knottheartglen;Долина Ноттов;x
c_pinesend;Пайнсенд;x
b_firmont;Фирмонт;x
b_harclay;Харклей;x
b_treesedge;Триседж;x
b_highwoodhall;Хайвудхолл;x
c_shadowmoor;Тенистое Болото;x
b_moorhold;Моорхолд;x
b_darkwood;Темный Лес;x
b_highheath;Высокая пустошь;x
d_lasthearth;Последний Очаг;x
c_lasthearth;Последний Очаг;x
b_lasthearth;Последний Очаг;x
b_woodhaven;Вудхэвен;x
b_fellber;Феллбер;x
b_northwold;Северная Пустошь;x
c_aylesvale;Вершина;x
b_aylestor;Вершина;x
b_lakehold;Белая Роща;x
b_deepcroft;Дипкрофт;x
c_lastriver;Последняя река;x
b_northpost;Северный пост;x
b_ashkeep;Пепельная застава;x
b_snowmelthall;Зал Талого снега;x
c_lonelyhills;Одинокие холмы;x
b_loftyfort;Возвышенный форт;x
b_longlaketown;Длинное озеро;x
b_umberleigh;Амберли;x
d_karhold;Кархолд;x
c_karhold;Кархолд;x
b_karhold;Кархолд;x
b_barbleton;Барблтон;x
b_eastharbor;Восточная Гавань;x
b_snowdell;Снежная Лощина;x
b_greyclifftower;Серокаменная башня;x
c_sealshore;Тюлений берег;x
b_fisherhall;Фишерхолл;x
b_wintrackpost;Винтрек;x
c_eastmelt;Истмелт;x
b_karlspost;Карлспост;x
b_eastmelt;Истмелт;x
c_bearisland;Медвежий Остров;x
b_bearislandhall;Крепость Мормонтов;x
b_woodfootwatch;Дозор Вудфутов;x
b_bearstone;Медвежий Камень;x
b_bearwood;Межвежий Лес;x
d_skagos;Скагос;x
c_kingshouse;Королевский Дом;x
b_kingshouse;Королевский Дом;x
b_snowrow;Метель;x
c_deepdown;Недра;x
b_deepdown;Недра;x
b_weirrocks;Чаркамни;x
c_driftwoodhall;Плавниковый Чертог;x
b_driftwoodhall;Плавниковый Чертог;x
b_blizzardbarrow;Вьюжный Курган;x
c_skane;Скейн;x
b_skane;Скейн;x
b_lonely_hall;Одинокий Зал;x
d_rills;Родники;x
c_rills;Родники;x
b_highbrooktower;Башня Высокого ручья;x
b_coldbrooke;Колдбрук;x
b_runletfort;Ручейковый форт;x
b_manehall;Грива;x
c_seadragonpoint;Мыс Морского Дракона;x
b_seadragonwatch;Дозор Морского Дракона;x
b_dragonport;Порт Дракона;x
c_bluehills;Черная Заводь;x
b_firsenfort;Черная Заводь;x
b_bluetower;Лазурная башня;x
c_stonyshore;Каменный берег;x
b_reaverswatch;Дозор Разорителей;x
b_anglerage;Энглрейдж;x
c_witheredheath;Увядшая пустошь;x
b_skysmeet;Скайсмит;x
b_wetrocks;Сырые Камни;x
b_red_barrow;Багряный Курган;x
c_blazewatercoast;Родниковая Переправа;x
b_saltspearkeep;Родниковая Переправа;x
b_thesalt;Соль;x
b_brightrill;Светлый Родник;x
d_wolfswood;Волчий лес;x
c_deepwood;Темнолесье;x
b_deepwoodmotte;Темнолесье;x
b_frostypoint;Морозный Мыс;x
b_shadythicket;Тенистая Чаща;x
b_wulfhall;Волчий Чертог;x
c_blackgrove;Железный Холм;x
b_blackgrove;Железный Холм;x
b_copsetor;Копсетор;x
c_kingsgrove;Королевская роща;x
b_tumbledown_tower;Башня-Развалюха;x
b_brierscroft;Шиповник;x
b_harclayhall;Харклейхолл;x
c_wolfswood;Волчий лес;x
b_forestrefuge;Лесной Приют;x
b_croftersclearing;Вырубка Дровосека;x
b_wolfwoodhide;Укрытие Волчьего леса;x
c_acorngrove;Желудевая роща;x
b_grovefort;Дубрава;x
b_weirskags;Чароскагс;x
d_barrowlands;Курганы;x
c_barrowton;Барроутон;x
b_highbarrow;Барроухолл;x
b_barrowton;Барроутон;x
b_godshill;Годшилл;x
b_harwoodshold;Владение Харвудов;x
b_brownbarrow;Бурый Курган;x
c_torrhenssquare;Торрхенов Удел;x
b_torrhenssquare;Торрхенов Удел;x
b_henslaketon;Хенслейктон;x
b_eastedgebarrens;Восточные Пустоши;x
c_spearmouth;Златотравье;x
b_spearmouth;Златотравье;x
b_lowbarrow;Златотравье;x
b_goldgrass;Златотравье;x
b_bentbarrow;Гнутый Курган;x
c_fever;Горячка;x
b_dunfort;Сумеречный форт;x
b_feverreef;Дрожащий Риф;x
d_winterfell;Винтерфелл;x
c_winterfell;Винтерфелл;x
b_winterfell;Винтерфелл;x
b_wintertown;Зимний городок;x
b_winterwood;Зимний лес;x
b_whitegate;Белые врата;x
b_coldstream;Морозный ручей;x
b_brandonburgh;Город Брандона;x
c_castlecerwyn;Сервин;x
b_castlecerwyn;Сервин;x
b_theeagletower;Орлиная башня;x
c_dawnforest;Рассветный лес;x
b_glencastle;Лощина;x
b_childrenscopse;Роща Детей;x
c_kingscourse;Королевский тракт;x
b_wayfarerswatch;Дозор Путника;x
b_travelton;Тревелтон;x
b_southerway;Саусервэй;x
d_dreadfort;Дредфорт;x
c_dreadfort;Дредфорт;x
b_dreadfort;Дредфорт;x
b_weeping;Рыдальница;x
b_windygrove;Продуваемая Роща;x
b_fleischerskeep;Крепость Флейшера;x
b_boltongate;Врата Болтонов;x
c_weepingbay;Рыдальный залив;x
b_rangersrefuge;Приют следопыта;x
b_gancliff;Ганклифф;x
c_sheepsheadhills;Бараньи Лбы;x
b_shepherdshearth;Очаг Пастуха;x
b_brokenbranchhead;Сломаная Ветвь;x
c_overton;Овертон;x
b_thenarrowseerstower;Башня смотрителя;x
b_overton;Овертон;x
b_weeperford;Рыдальный Брод;x
d_whiteharbor;Белая Гавань;x
c_whiteharbor;Белая Гавань;x
b_newcastle;Новый Замок;x
b_whiteharbor;Белая Гавань;x
b_wolfsden;Волчье Логово;x
b_septofsnow;Снежная;x
b_hardmead;Хардмид;x
b_alethorp;Алеторп;x
c_whiteknife;Белый Нож;x
b_whitecreekcastle;Твердыня Белого залива;x
b_chalkchildsseat;Трон Меловых Детей;x
b_brokersbrook;Брокерсбрук;x
c_ethering;Этеринг;x
b_ethersfort;Этерсфорт;x
b_etherington;Этерингтон;x
b_ethersgrove;Этерсгроув;x
c_whitford;Уитфорд;x
b_fordswatch;Фордсвоч;x
b_whitfordtown;город Уитфорд;x
b_waterley;Уотерлей;x
c_oldcastle;Старый Замок;x
b_oldcastle;Старый Замок;x
b_bitesmouthtown;Кусачий город;x
b_thetooth;Зуб;x
d_hornwood;Сломанная Ветка;x
c_hornwood;Хорнвуд;x
b_castlehornwood;Замок Хорнвуд;x
b_hunterslodge;Домик охотника;x
b_hightree;Высокое дерево;x
b_manvers;Манверс;x
b_bullstone;Бычий Камень;x
c_ramsgate;Бараньи Ворота;x
b_ramsgate;Бараньи Ворота;x
b_fleecemarket;Шерстяной рынок;x
b_thebrokenbranchsmouth;Устье Сломанной Ветки;x
c_widowswatch;Вдовий Дозор;x
b_widowswatch;Вдовий Дозор;x
b_westraton;Вестратон;x
b_isfield;Исфилд;x
b_jaw_hill;Холм Челюсти;x
d_theneck;Перешеек;x
c_greywaterwatch;Сероводье;x
b_greywaterwatch;Сероводье;x
b_thegreydun;Серый форт;x
b_thesunkgrove;Затонувшая роща;x
b_reedhall;Ридхолл;x
c_moatcailin;Ров Кейлин;x
b_childrenstower;Детская башня;x
b_gatehousetower;Привратная башня;x
b_drunkardstower;Пьяная башня;x
b_elkstone;Элкстоун;x
c_greycrann;Грейкранн;x
b_tammscrannog;Плавучий остров Тамма;x
b_floathold;Флоутхолд;x
c_churwell;Чурвелл;x
b_churwellcrannog;Плавучий остров Чурвелл;x
b_churwellford;Чурвеллфорд;x
c_silvereed;Сильверид;x
b_fendun;Фендун;x
b_toirnsbog;Болото Тоирна;x
d_flintsfinger;Кремневый Палец;x
c_flintsfinger;Кремневый Палец;x
b_flintsfinger;Кремневый Палец;x
b_flintsthumb;Большой Палец;x
c_capekraken;Мыс Кракена;x
b_greencliffe;Гринклифф;x
b_ringrock;Скальный Обод;x
c_flintcliffs;Кремневые Утесы;x
b_clifftower;Скальная башня;x
b_arrowgrassroad;Луговая дорога;x
b_sallybrook;Саллибрук;x
c_flintkeep;Каменный Холм;x
b_flintkeep;Каменный Холм;x
b_brinmore;Бринмор;x
b_woodend;Вуденд;x
b_cray_fort;Крэй;x
#duke_hill_clansman;Ничего;x
#duke_female_hill_clansman;Ничего;x
#count_hill_clansman;Ничего;x
#count_female_hill_clansman;Ничего;x
#baron_hill_clansman;Ничего;x
#baron_female_hill_clansman;Ничего;x
b_thorpe;Торп;x
d_stonyshore;Каменный Берег;x
d_grey_gliffs;Серые скалы;x
c_grey_hold;Грейхолд;x
d_oldcastle;Старый Замок;x
c_oldcastle;Старый Замок;x
b_oldcastle;Старый Замок;x
c_blackpool;Чёрная Заводь;x
b_blackpool;Чёрная Заводь;x
b_blacktown;Чёрный город;x
b_waterford2;Проточье;x
b_longhouse;Длинный Дом;x
b_shoreguard;Стража побережья;x
b_southsnow;Югоснежье;x
b_oldcliff;Старый утёс;x

