#CODE;RUSSIAN;x
e_vale;Горы и Долина;x
e_vale_adj;Долинск;x
k_vale;Долина;x
k_vale_adj;Долинск;x
B_MIDLOR_KEEP;Крепость Мидлор;x
d_the_sisters;Сестры;x
c_sweetsister;Милая Сестра;x
b_sisterton;Систертон;x
b_breakwater;Волнолом;x
b_crably;Крэбли;x
c_longsister;Длинная Сестра;x
b_starsea_beacon;Маяк Морская Звезда;x
b_gimbleton;Гимблтон;x
c_littlesister;Малая Сестра;x
b_havenry;Хэйвенри;x
b_blackhaven_a;Чёрный Приют;x
d_the_bite;Пасть;x
c_bite_coast;Тяжкий Дол;x
b_blackmund_tower;Башня Блэкмунд;x
b_biteport;Порт Пасть;x
b_sunnyvale;Солнечная Долина;x
c_scorched_vale;Выжженная Долина;x
b_blackholm;Блэкхолм;x
b_alchebarge;Алхебарж;x
b_darkcroft;Дарккрофт;x
c_crows_barrens;Воронья Пустошь;x
b_stonekyme;Стоунким;x
b_potterby;Поттерби;x
b_rockle;Рокл;x
c_moonsgrey;Серые Луны;x
b_renwick;Ренвик;x
b_menaskham;Менаскхэм;x
b_horcrag;Хоркрэг;x
d_the_fingers;Персты;x
c_pebble;Галечный;x
b_pebb;Пебб;x
c_the_paps;Сосцы;x
b_elseham;Элсехем;x
b_woodhull;Лесной Остов;x
c_wycliffe;Уиклифф;x
b_scarle_keep;Крепость Скарл;x
c_midlor_point;Мыс Мидлор;x
b_baelskeep;Бейлскип;x
c_sunset_keep;Крепость Восхода;x
b_sunset_keep;Крепость Восхода;x
d_northweald;Северная Пустошь;x
c_newkeep;Новая Крепость;x
b_newkeep;Новая Крепость;x
b_wiskyme;Уискайм;x
b_wickby;Викби;x
c_coldwater_burn;Стылые Воды;x
b_coldwater_burn;Стылые Воды;x
b_rosesk;Розеск;x
b_rosvale;Розвейл;x
c_snakewood;Змеиный Лес;x
b_snakewood_seat;Седалище Змеиного Леса;x
b_bycopse;Байкопс;x
b_woodvale;Лесная Долина;x
d_strongsong;Суровая Песнь;x
c_strongsong;Суровая Песнь;x
b_strongsong;Суровая Песнь;x
b_belham;Белхам;x
b_blackford;Чёрный Брод;x
c_darkmoor;Камешек;x
b_burning_heath;Камешек;x
b_timmeton;Тимметон;x
c_crown_crag;Гряда Короны;x
b_the_crown;Корона;x
b_egenford;Игенфорд;x
b_highcliff_watch;Дозор Высокой Скалы;x
d_the_giants_lance;Копье Гиганта;x
c_the_eyrie;Орлиное Гнездо;x
b_the_eyrie;Орлиное Гнездо;x
b_stone;Каменная Крепость;x
b_snow;Сегхилл;x
b_sky;Харботтл;x
b_the_gates_of_the_moon;Лунные Врата;x
c_hearts_home;Дом Сердец;x
b_hearts_home;Дом Сердец;x
b_creek_castle;Замок Ручьев;x
b_wingpass;Крылатый Перевал;x
c_bloody_gate;Кровавые Врата;x
b_bloody_gate;Кровавые Врата;x
c_grey_glen;Серая Лощина;x
b_grey_glen;Серая Лощина;x
b_greypool;Грейпул;x
b_greymund;Греймунд;x
c_redfort;Редфорт;x
b_redfort;Редфорт;x
b_horton;Хортон;x
