#CODE;ENGLISH;x
GREAT_EMPIRE_OF;Великая Империя;x
THE_GREAT;Велик;x
e_dawn;Империя Зари;x
e_dawn_adj;Зарийск;x
e_yi_ti;И-Ти;x
e_yi_ti_adj;Итийск;x
k_daiyang;Дайян;x
d_daiyang;Дайян;x
c_daiyang;Дайян;x
b_shengan_castle;Шэнъань;x
b_daiyang_city1;Западный Дайян;x
b_daiyang_temple;Дайян;x
b_daiyang_city2;Восточный Дайян;x
b_daiyang_castle1;Дайян;x
b_daiyang_castle2;Дайян;x
b_daiyang_castle3;Дайян;x
c_nianshui;Няньшуй;x
b_nianshui_castle;Няньшуй;x
b_nianshui_city1;Няньшуй;x
b_nianshui_temple;Няньшуй;x
b_nianshui_city2;Няньшуй;x
c_dongping;Дунпин;x
b_dongping_castle;Дунпин;x
b_dongping_city1;Дунпин;x
b_dongping_temple;Дунпин;x
b_dongping_city2;Дунпин;x
c_tingyun;Тинъюнь;x
b_tingyun_castle;Тинъюнь;x
b_tingyun_city1;Тинъюнь;x
b_tingyun_temple;Тинъюнь;x
b_tingyun_city2;Тинъюнь;x
d_jiege;Цзегэ;x
c_jiege;Цзегэ;x
b_jiege_castle1;Цзегэ;x
b_jiege_city1;Цзегэ;x
b_jiege_temple;Цзегэ;x
b_jiege_city2;Цзегэ;x
b_jiege_castle2;Цзегэ;x
b_jiege_castle3;Цзегэ;x
c_suhong;Сухун;x
b_suhong_castle;Сухун;x
b_suhong_city1;Сухун;x
b_suhong_temple;Сухун;x
b_suhong_city2;Сухун;x
c_daxing;Дасин;x
b_daxing_castle;Дасин;x
b_daxing_city1;Дасин;x
b_daxing_temple;Дасин;x
b_daxing_city2;Дасин;x
c_nanchuan;Наньчуань;x
b_nanchuan_castle;Наньчуань;x
b_nanchuan_city1;Наньчуань;x
b_nanchuan_temple;Наньчуань;x
b_nanchuan_city2;Наньчуань;x
d_hengyin;Хэнъинь;x
c_hengyin;Хэнъинь;x
b_hengyin_castle1;Хэнъинь;x
b_hengyin_city1;Хэнъинь;x
b_hengyin_temple;Хэнъинь;x
b_hengyin_city2;Хэнъинь;x
b_hengyin_castle2;Хэнъинь;x
b_hengyin_castle3;Хэнъинь;x
c_pingluo;Пинло;x
b_pingluo_castle;Пинло;x
b_pingluo_city1;Пинло;x
b_pingluo_temple;Пинло;x
b_pingluo_city2;Пинло;x
