#CODE;RUSSIAN;x
emperor_summer_islander;Верховный король;x
emperor_female_summer_islander;Верховная королева;x
emperor_foa_summer_islander;Ваша Милость;x
emperor_foa_female_summer_islander;Ваша Милость;x
emperor_title_ruler_consort_summer_islander;Верховный король;x
emperor_title_ruler_consort_female_summer_islander;Королева;x
emperor_title_queen_mother_female_summer_islander;Королева-Мать;x
empire_of_summer_islander;Великое Королевство;x
emperor_title_prince_summer_islander;Принц;x
emperor_title_prince_female_summer_islander;Принцесса;x
king_summer_islander;Король;x
king_female_summer_islander;Королева;x
king_title_ruler_consort_summer_islander;Король;x
king_title_ruler_consort_female_summer_islander;Королева;x
kingdom_of_summer_islander;Королевство;x
king_foa_summer_islander;Ваша Милость;x
king_foa_female_summer_islander;Ваша Милость;x
title_prince_summer_islander;Принц;x
title_prince_female_summer_islander;Принцесса;x
title_queen_mother_summer_islander;Королева-Мать;x
duke_summer_islander;Принц;x
duke_female_summer_islander;Принцесса;x
duke_title_ruler_consort_summer_islander;Принц;x
duke_title_ruler_consort_female_summer_islander;Принцесса;x
duchy_of_summer_islander;Княжество;x
duke_foa_summer_islander;Мой принц;x
duke_foa_female_summer_islander;Моя принцесса;x
LP_king_summer_islander;Принц;x
LP_king_female_summer_islander;Принцесса;x
LP_king_title_ruler_consort_summer_islander;Принц;x
LP_king_title_ruler_consort_female_summer_islander;Принцесса;x
LP_kingdom_of_summer_islander;Княжество;x
LP_king_foa_summer_islander;Мой принц;x
LP_king_foa_female_summer_islander;Моя принцесса;x
duke_naathi;Принц;x
duke_female_naathi;Принцесса;x
duke_title_ruler_consort_naathi;Принц;x
duke_title_ruler_consort_female_naathi;Принцесса;x
duchy_of_naathi;Княжество;x
duke_foa_naathi;Мой принц;x
duke_foa_female_naathi;Моя принцесса;x
job_physician_summer_rel_group;Целитель;x
family_palace_baron_summer_islander;Принц;x
family_palace_baron_female_summer_islander;Принцесса;x
family_palace_baron_foa_summer_islander;Ваше Превосходительство;x
city_duke_summer_islander;Принц;x
city_duke_female_summer_islander;Принцесса;x
city_duchy_summer_islander;Город;x
city_duchy_of_summer_islander;Город;x
city_king_summer_islander;Великий Принц;x
city_king_female_summer_islander;Принцесса;x
city_kingdom_summer_islander;Княжество;x
city_kingdom_of_summer_islander;Княжество;x
e_summer_sea;Летнее Море;x
k_summer_islands;Летние Острова;x
k_summer_islands_adj;Летнеостровитян[GetKaIn];x
d_walano;Валано;x
d_last_lament;Прощальный Плач;x
d_tall_trees_valley;Город Высоких Деревьев;x
d_sweet_lotus_vale;Долина Сладкого Лотоса;x
d_west_jhala;Западная Джала;x
d_parrot_bay;Бухта Попугаев;x
d_indigo_straits;Индиговый пролив;x
d_red_flower_vale;Долина Алых Цветов;x
d_golden_head;Золотая Голова;x
d_the_three_exiles;Три Изгнанника;x
d_moluu;Молуу;x
d_omburu;Омбуру;x
c_lotus_port;Лотосовый Порт;x
c_ambershore;Янтарный Берег;x
c_jalabuxon;Джалабуксон;x
c_isle_of_women;Остров Женщин;x
c_last_lament;Прощальный Плач;x
c_lotus_valley;Долина Лотоса;x
c_stonehead;Каменная Голова;x
c_mantisleaf;Джхахар;x
c_tall_trees_town;Город Высоких Деревьев;x
c_the_citrus_coves;Цитрусовые Рощи;x
c_kone_forest;Лес Коне;x
c_koj;Кодж;x
c_isle_of_birds;Остров Птиц;x
c_ebonhead;Эбеновая Голова;x
c_sweetwater;Пресноводье;x
c_lotus_hills;Лотусовые Холмы;x
c_doquu;Докуу;x
c_bloodwood;Кровавый Лес;x
c_golden_mountains;Золотые Горы;x
c_parrotshore;Берег Попугаев;x
c_the_bones;Кости;x
c_xon;Ксон;x
c_ebonhills;Эбеновые Холмы;x
c_indigoshore;Берег Индиго;x
c_kalalula;Калалула;x
c_scarlethead;Алая Голова;x
c_red_flower_bay;Бухта Алых Цветов;x
c_jhalavale;Долина Джала;x
c_highgrove;Высокая Роща;x
c_rotu_forest;Лес Роту;x
c_goldenheart;Златосерд;x
c_tamarinu;Тамарину;x
c_lizard_head;Голова Ящера;x
c_the_singing_stones;Поющие Камни;x
c_golden_exile;Золотой Изгнанник;x
c_little_exile;Малый Изгнанник;x
c_orange_exile;Оранжевый Изгнанник;x
c_moluu;Молуу;x
c_isle_of_love;Остров Любви;x
c_fragrant_isle;Благоуханный Остров;x
c_qetzalu;Кветзалу;x
c_heartvale;Сердечная Долина;x
c_naked_forest;Обнаженный Лес;x
c_smiling_cliffs;Улыбчивые Скалы;x
c_xhala;Ксала;x
c_cape_omburu;Мыс Омбуру;x
b_summer_palace;Летний Дворец;x
b_lotus_port;Лотосовый Мыс;x
b_the_summer_temple;Лето;x
b_summervine;Летнее Вино;x
b_sweet_harbour;Сладкая Гавань;x
b_redfletcher;Красный Флетчер;x
b_fair_hill;Ясный Холм;x
b_whorestown;Город Шлюх;x
b_last_keep;Прощальная Крепость;x
b_last_lament;Прощальный Плач;x
b_ardor;Ардор;x
b_lilac_hill;Лиловая Роща;x
b_xhon_orchard;Ксонула;x
b_stonehead;Каменная Голова;x
b_lumbersloft;Бревенчатая Вершина;x
b_tall_tree_hall;Зал Высоких Деревьев;x
b_tall_trees_town;Город Высоких Деревьев;x
b_the_trees;Деревья;x
b_noj;Нодж;x
b_treecross;Деревянный Крест;x
b_kone_keep;Крепость Коне;x
b_kojalu;Коджалу;x
b_koj_harbour;Гавань Кодж;x
b_the_arrows;Стрелы;x
b_tucano;Тукано;x
b_blackfletcher;Чёрный Флетчер;x
b_the_birds;Птицы;x
b_ebon_rock;Эбеновая Скала;x
b_ebonhead;Эбеновая Голова;x
b_the_vales;Долины;x
b_sweet_keep;Сладкая Крепость;x
b_lemonfield;Лимонное Поле;x
b_taqhalo;Таквало;x
b_valeswatch;Дозор Долины;x
b_kojhanu;Коджану;x
b_doqunon;Доквунон;x
b_far_harbour;Далекая Гавань;x
b_blood_keep;Кровавая Крепость;x
b_kilipulo;Килипуло;x
b_the_sea;Море;x
b_featherbush;Чаща Перьев;x
b_isle_of_quivers;Остров Дрожи;x
b_moparulu;Мопарулу;x
b_parrotport;Порт Попугаев;x
b_the_parrots;Попугаи;x
b_great_bone;Великая Кость;x
b_green_bone;Зеленая Кость;x
b_summer_bone;Летняя Кость;x
b_tower_of_xon;Башня Ксон;x
b_azurulon;Азурулон;x
b_ebonwatch;Эбеновый Дозор;x
b_shorestower;Береговая Башня;x
b_inhula_bay;Залив Инула;x
b_the_straits;Проливы;x
b_kalapool;Калапул;x
b_scarletcave;Алая Пещера;x
b_red_palace;Красный Дворец;x
b_summercove;Летняя Бухта;x
b_the_flowers;Цветы;x
b_petal_hill;Холм Лепестков;x
b_sunshadow;Солнечная Тень;x
b_grovesfort;Лесной Форт;x
b_haljuno;Халджуно;x
b_ambercross;Янтарный Крест;x
b_rotuxon;Ротуксон;x
b_lumberscross;Древесный Крест;x
b_golden_lodge;Золотой Домик;x
b_hearthaven;Сердечная Гавань;x
b_the_goldenhearts;Златосерды;x
b_bownulu;Бонулу;x
