#CODE;RUSSIAN;x
EVTDESC38321;Раздавать то, что может пригодиться в будущем - не самое лучшее решение. Я больше не §Yщедр[This.GetAyaYy]§!.;x
EVTDESC38322;Иногда полезно не только брать, но и давать. Я больше не §Yжадн[This.GetAyaYy]§!.;x
wonder_library;Великая библиотека;x
wonder_library_desc;Книги редки и дороги, каждый экземпляр делается вручную, но они также и драгоценны, ведь их страницы содержат знания о прошлом и настоящем. Этот маяк знаний может хранить тысячи книг и множество уютных комнат для их прочтения.;x
String_Library;Библиотека;x
String_library;библиотека;x
String_Drama;пьеса;x
String_Poetry;поэма;x
String_Architecture;трактат по архитектуре;x
String_Philosophy;философский трактат;x
String_History;сочинения по истории;x
String_Astronomy;трактат по астрономии;x
String_Medical;трактат по анатомии;x
String_aDrama;пьеса;x
String_aPoetry;поэма;x
String_anArchitecture;трактат по архитектуре;x
String_aPhilosophy;философский трактат;x
String_aHistory;сочинения по истории;x
String_anAstronomy;трактат по астрономии;x
String_aMedical;трактат по анатомии;x
String_ADrama;Пьеса;x
String_APoetry;Поэма;x
String_AnArchitecture;Трактат по архитектуре;x
String_APhilosophy;Философский трактат;x
String_AHistory;Сочинения по истории;x
String_AnAstronomy;Трактат по астрономии;x
String_AMedical;Трактат по анатомии;x
String_Writer;писатель;x
String_Poet;поэт;x
String_Architect;архитектор;x
String_Philosopher;философ;x
String_Historian;историк;x
String_Astronomer;астроном;x
String_Medic;врач;x
String_greek;грече;x
String_roman;рим;x
String_Euripedes;Эврипид;x
String_Sophocles;Софокл;x
String_Aristophanes;Аристофан;x
String_Philemon;Филемон;x
String_Aeschylus;Эсхил;x
String_Archilochus;Архилох;x
String_Alcman_of_Sparta;Алкман Спартанский;x
String_Theocritus;Феокрит;x
String_Sappho;Сафо;x
String_Asclepiades_of_Samos;Асклепиад Самосский;x
String_Hermodorus_of_Salamis;Гермодор Саламинский;x
String_Vitruvius;Витрувий;x
String_Rabirius;Рабирий;x
String_Cocceius_Auctus;Кокцей Авкт;x
String_Plato;Платон;x
String_Aristotle;Аристотель;x
String_Pythagoras;Пифагор;x
String_Thales_of_Mileto;Фалес Милетский;x
String_Zeno_of_Elea;Зенон Элейский;x
String_Herodotus;Геродот;x
String_Thucydides;Фукидид;x
String_Polybius;Полибий;x
String_Strabo;Страбон;x
String_Hypatia_of_Alexandria;Гипатия Александрийская;x
String_Ptolemy;Птолемей;x
String_Aristarchus_of_Samos;Аристарх Самосский;x
String_Hippocrates_of_Kos;Гиппократ Косский;x
String_Virgil;Вергилий;x
String_s;s;x
String_politely;вежливо;x
antiquity_book_poetry;Утраченная поэзия;x
antiquity_book_play;Утраченная пьеса;x
antiquity_book_medicine;Утраченная книга по медицине;x
antiquity_book_philosophy;Книга по античной философии;x
