#CODE;RUSSIAN;x
#RULER_FEAT_ _NAME; ;x
#RULER_FEAT_ _DESC; ;x
#RULER_FEAT_ _PROGRESS; ;x
RULER_FEAT_obritarated_NAME;Обритерация;x
RULER_FEAT_obritarated_DESC;Захватите все округа Ободритии!\nЗахватите и удерживайте следующие округа как Целария:\n * Велиград\n * Дымин\n *  Росток\n * Вологощ;x
RULER_FEAT_obritarated_PROGRESS;Округов захвачено;x
RULER_FEAT_stone_defenses_NAME;Каменная защита!;x
RULER_FEAT_stone_defenses_DESC;Постройте как можно больше крепостей в стране.;x
RULER_FEAT_stone_defenses_PROGRESS;Крепостей в стране;x
RULER_FEAT_lord_slayer_NAME;Убийца лордов!;x
RULER_FEAT_lord_slayer_DESC;Убейте как можно больше лордов соседних земель.;x
RULER_FEAT_lord_slayer_PROGRESS;Лордов убито;x
RULER_FEAT_repeating_history_NAME;Повторение истории;x
RULER_FEAT_repeating_history_DESC;Создайте империю такого же размера, как Александр Великий.;x
RULER_FEAT_repeating_history_PROGRESS;Округов в Вашей стране;x
RULER_FEAT_namesake_NAME;Во имя его;x
RULER_FEAT_namesake_DESC;Во время кампании Александра Великого, не менее 20 городов были названы в его честь;x
RULER_FEAT_namesake_PROGRESS;Городов вне Македонии;x
RULER_FEAT_it_is_how_you_use_it_NAME;Вот, как это делается!;x
RULER_FEAT_it_is_how_you_use_it_DESC;Вы не можете вести войны без армий. Стройте и улучшайте гарнизоны в своём домене, чтобы разместить все войска для завоевания мира!;x
RULER_FEAT_it_is_how_you_use_it_PROGRESS;Размер гарнизонов в домене;x
####
RULER_FEAT_dragons_fire_NAME;Пламя дракона;x
RULER_FEAT_princes_of_wales_NAME;Уэльские принцы;x
RULER_FEAT_love_spoons_NAME;Ложки любви;x
RULER_FEAT_dragons_fire_DESC;Завоюйте Уэльс и получите контроль над следующими округами: \n * Англси \n * Рос \n * Перфеддулад \n * Поуис \n * Кередигион \n * Биэллт \n * Дивед \n * Гуир \n * Бреконшир \n * Гливисинг \n * Гуэнт\n * Прогресс засчитывается пока Вы играете династией "Интересного правителя".;x
RULER_FEAT_dragons_fire_PROGRESS;Округов под контролем;x
#RULER_FEAT_princes_of_wales_DESC;Включите герцогства Англии в де-юре состав Уэльса;x
#RULER_FEAT_princes_of_wales_PROGRESS;Герцогства Англии теперь входят в состав Уэльса;x
RULER_FEAT_time_bending_NAME;Изгиб времени;x
RULER_FEAT_gloves_come_off_NAME;Перчатки сброшены!;x
RULER_FEAT_preemtive_selfdefense_NAME;Превентивная самооборона;x
