#CODE;RUSSIAN;x
freedmen_group;Вольноотпущенники;x
freedmen_group_opinion;Мнение вольноотпущенников;x
astapori_freedmen;Астапорские вольноотпущенники;x
astapori_freedmen_FEATURES;§Y*§! Тридиционно против рабства;x
astapori_freedmen_opinion;Мнение астапорских вольноотпущенников;x
ghiscari_freedmen;Гискарские вольноотпущенники;x
ghiscari_freedmen_FEATURES;§Y*§! Тридиционно против рабства;x
ghiscari_freedmen_opinion;Мнение гискарских вольноотпущенников;x
yunkaii_freedmen;Юнкайские вольноотпущенники;x
yunkaii_freedmen_FEATURES;§Y*§! Тридиционно против рабства;x
yunkaii_freedmen_opinion;Мнение юнкайских вольноотпущенников;x
meereenese_freedmen;Миэринские вольноотпущенники;x
meereenese_freedmen_FEATURES;§Y*§! Тридиционно против рабства;x
meereenese_freedmen_opinion;Мнение миэринских вольноотпущенников;x
summer_islander_freedmen;Островные вольноотпущенники;x
summer_islander_freedmen_FEATURES;§Y*§! Тридиционно против рабства;x
summer_islander_freedmen_opinion;Мнение островных вольноотпущенников;x
basilisk_islander_freedmen;Василисковы вольноотпущенники;x
basilisk_islander_FEATURES;§Y*§! Тридиционно против рабства;x
basilisk_islander_opinion;Мнение василисковых вольноотпущенников;x
naathi_freedmen;Наатийские вольноотпущенники;x
naathi_freedmen_FEATURES;§Y*§! Тридиционно против рабства;x
naathi_freedmen_opinion;Мнение наатийских вольноотпущенников;x
pentosi_freedmen;Пентошийские вольноотпущенники;x
pentosi_freedmen_FEATURES;§Y*§! Тридиционно против рабства;x
pentosi_freedmen_opinion;Мнение пентошийских вольноотпущенников;x
lysene_freedmen;Лисенийские вольноотпущенники;x
lysene_freedmen_FEATURES;§Y*§! Тридиционно против рабства;x
lysene_freedmen_opinion;Мнение лисенийских вольноотпущенников;x
volantene_freedmen;Волантийские вольноотпущенники;x
volantene_freedmen_FEATURES;§Y*§! Тридиционно против рабства;x
volantene_freedmen_opinion;Мнение волантийских вольноотпущенников;x
