#CODE;RUSSIAN;x
nick_the_black_prince;Чёрный Принц;x
nick_the_desired;Желанн[This.GetAyaYy];x
nick_the_dragon_princess;Принцесса Драконов;x
nick_the_red_prince;Красный Принц;x
nick_the_stark_fyre;Старкфайр;x
nick_the_lann_fyre;Ланфайр;x
nick_the_falcon_fyre;Ранфайр;x
nick_the_tully_fyre;Таллфайр;x
nick_the_sand_dragon;Песчаный Дракон;x
nick_the_iron_dragon;Железный Дракон;x
nick_the_storm_dragon;Штормовой Дракон;x
nick_the_last_dragon;Последний Дракон;x
nick_the_winter_princess;Принцесса Зимы;x
nick_the_winter_prince;Принц Зимы;x
nick_the_ghis_fyre;Гисфайр;x
nick_the_eastern_dragon;Дракон Востока;x
nick_the_summer_lord;Лорд Лета;x
nick_the_shavepate;Бритвоголов[This.GetAyaYy];x
nick_the_scribe;Писея;x
nick_the_andal;Андал;x
nick_the_emancipated;Освобождённ[This.GetAyaYy];x
nick_the_perfumed_seneschal;Надушенный Сенешаль;x
