####Starter Event####
EVTTITLEdote_conqueror.1;Дракон Востока;x
EVTDESCAdote_conqueror.1;После победы над Триархией на Ступенях Корлис Веларион возложил корону на голову Деймона Таргариена и провозгласил его Королём Ступеней и Узкого Моря. Теперь Деймон сидит на своём троне в Бладстоуне, размышляя о следующем шаге. \n\nС одной стороны — Вестерос, где король Визерис I отодвигает Деймона всё дальше в линии престолонаследия с каждым ребёнком, рождённым от дочери сэра Отто Хайтауэра. \n\nС другой — Эссос, где драконьи лорды Старой Валирии правили величайшей империей, которую когда-либо знал мир. Второй сын не наследует ничего. Он должен создать своё собственное наследие.;x
EVTDESCBdote_conqueror.1;Среди вассалов и придворных короля Дейрона II растёт недовольство из-за того, что он окружает себя слабаками и дорнийцами. Некоторые даже шепчут, что он сам бастард и узурпатор. \n\nМногие друзья и последователи Деймона призывают его заявить о своих правах на Железный Трон. Но если он и вправду новый Эйгон Завоеватель, как многие утверждают, разве его судьба не в его руках? Он смотрит на карты, его взгляд медленно переходит с Вестероса на Вольные Города, и он задумывается...;x
EVTDESCCdote_conqueror.1;;x
EVTDESCDdote_conqueror.1;С тех пор, как Узурпатор захватил трон, Визерис Таргариен и его сестра Дейнерис бегут за свою жизнь. Таргариенам не на кого положиться. Однако один человек, кажется, знает своё место верного слуги — Иллирио Мопатис, магистр Пентоса. \n\nСегодня Иллирио пришёл к истинному королю Вестероса с предложением: выдать Дейнерис за дотракийского кхала в обмен на орду варваров, которая пересечёт Узкое море и свергнет Узурпатора.;x

EVTOPTAdote_conqueror.1;Создать собственную Империю.;x
EVTOPTBdote_conqueror.1;Моя судьба — в Вестеросе.;x
EVTOPTdote_rogue_prince;Посмотрим, что уготовила судьба...;x
EVTOPTAdote_beggar_king;Блестящая идея!;x
EVTOPTBdote_beggar_king;Дейнерис выйдет за меня. Как и положено по традициям Таргариенов.;x
EVTOPTCdote_beggar_king;Мы найдём лучшие варианты.;x

TOOLTIPBdote_rogue_prince;[Root.GetDynName] отрекается от притязаний на линию Таргариенов и сосредоточится на Эссосе.;x
TOOLTIPdote_black_dragon;Деймон Блэкфайр продаёт свои земли и титулы в Вестеросе, собирает друзей и последователей и отправляется в Тирош.;x
TOOLTIPdote_conqueror.1;[Root.GetDynName] останется сосредоточен на Вестеросе.;x

####The Rogue Prince####
EVTTITLEdote_conqueror.2;Порочный Принц;x
EVTDESCdote_conqueror.2;Во времена правления короля Джейхериса I Деймон был женат на леди Рее Ройс из Рунного Камня. Хотя под властью Железного Трона Деймон продолжал этот брак с «Бронзовой Сукой». Сегодня пришло известие о падении леди Рейи с лошади. Она прожила девять дней, прежде чем скончалась от травм. Теперь Рунному Камню нужен наследник.;x

EVTOPTAdote_conqueror.2;Прощай, Бронзовая Сука! Я заберу Рунный Камень себе!;x
EVTOPTBdote_conqueror.2;Останусь на Ступенях.;x

EVTDESCdote_conqueror.20;Смерть бывшего морского лорда Браавоса заставила вас пытаться остановить проклятую свадьбу его легкомысленного и глупого сына с вашей дочерью Лэной. Ничто не помогло... если бы только не нашёлся недавно овдовевший мужчина с великим мастерством меча, который не понесёт наказания за устранение назойливой помехи...;x
EVTOPTAdote_conqueror.20;Подожди! Я знаю, кто!;x
TOOLTIPdote_conqueror.20;Корлис Веларион устроит пир и пригласит Деймона Таргариена в надежде, что Порочный Принц... решит эту проблему.;x
EVTOPTBdote_conqueror.20;Нет подходящих кандидатов...;x

EVTDESCdote_conqueror.21;Сегодня из Приливья пришло письмо. Лорд Корлис Веларион устраивает пир и приглашает Деймона... с просьбой. \n\nДесять лет назад Лейна была обручена с сыном браавосского морского лорда, который скончался. Теперь этот ничтожный сын живёт в Дрифтмарке, пьёт вино Морского Змея и ест его еду. Лорд Корлис хочет решить эту проблему... в обмен на руку леди Лейны.;x
EVTOPTAdote_conqueror.21;Валирийский союз.;x
EVTOPTBdote_conqueror.21;Нет, у меня другие планы.;x

EVTDESCdote_conqueror.210;Порочный Принц ответил на ваше письмо и согласился! Он прибудет на пир через неделю.;x
EVTOPTAdote_conqueror.210;Потрясающе!;x

EVTDESCdote_conqueror.211;Деймон Таргариен отверг ваше приглашение и предложение.;x
EVTOPTAdote_conqueror.211;Чёрт!;x

