EVTTITLEfmu.0;Мерзости кровосмешения;x
EVTDESCfmu.0;По приказу Верховного Септона и Благочестивейших вальрийские завоеватели объявлены мерзостью за их практики кровосмешения и многожёнства. Семеро в Одном наказали Вальрийскую Республику, наслав на них Гибель. Теперь благочестивые рыцари и лорды Вестероса исполнят волю Семерых.;x

EVTTITLEfmu.1;Доктрина исключительности;x
EVTDESCfmu.1;Вера в Семерых родилась в холмах Андалоса и пересекла Узкое море вместе с андалами. Законы Семерых, изложенные в священных текстах и преподаваемые септами и септонами в послушании Отцу, гласят, что брат не должен ложиться с сестрой, а плоды таких союзов — мерзость, омерзительная в очах богов. \n\nВсё это подтверждают сторонники исключительности, но с оговоркой: Таргариены иные. Их корни не в Андалосе, а в древней Валирии. \n\nЛишь они из всех людей в мире получили власть укрощать ужасных драконов, после того как Гибель обрушилась на Валирию.;x
EVTOPTAfmu.1;Мы — кровь древней Валирии!;x
EVTOPTAfmu.10;Драконы — весомый аргумент для исключительности.;x
EVTOPTBfmu.10;Они всё равно мерзость.;x

EVTTITLEfmu.21;Победить словами, а не мечами;x
EVTDESCfmu.21;Благочестивейшие желают мирно разрешить конфликт между Верой и вальрийскими практиками кровосмешения и многожёнства. Это, без сомнения, вызвало недовольство в королевстве.;x
EVTOPTAfmu.21;Чтобы стать королём кроликов, лучше надеть пару длинных ушей.;x
EVTOPTBfmu.21;Королевство должно понять, что наша кровь божественна.;x

EVTTITLEfmu.210;Никаких исключений;x
EVTDESCfmu.210;Чтобы избежать дальнейшего кровопролития, мы должны склониться перед властью Веры. Если мы хотим править андалами, мы должны соблюдать их законы. Бедные Собратья и Сыны Воина согласились сложить оружие в обмен на наше подчинение Семерым в Одном.;x
EVTOPTAfmu.210;Да будет так.;x

EVTTITLEfmu.22;Восстание Воинствующей Веры;x
EVTDESCfmu.22;Воинствующая Вера и Благочестивейшие объявили вальрийские практики кровосмешения и многожёнства мерзостью. Они маршируют к нашей столице, чтобы свергнуть нас с престола! И, вероятно, отделить наши головы от тел.;x
EVTOPTAfmu.22;Предатели!;x

WAR_NAME_FAITH_UPRISING;Восстание Воинствующей Веры;x
