#CODE;RUSSIAN;x
send_on_quest;Отправить на Миссию;x
send_on_quest_desc;Отправить [Root.GetTitledFirstName] на благородную миссию чтобы [Root.GetSheHe] смог проявить [Root.GetHerselfHimself] истинным рыцарем Королевской Гвардии;x
questing;Рыцарская Миссия;x
questing_desc;Этот персонаж на Миссии;x
kingswood_traderoad;Торговый путь Королевского леса;x

EVTDESCkotstglory0;Вы решили дать [From.GetTitledFirstName] шанс проявить [From.GetHerselfHimself] истинным рыцарем Королевской Гвардии. С этим, вы даете [From.GetHerHim] официальный приказ найти славный подвиг для свершения и готовиться к предстоящему путешествию.;x
EVTOPTAkotstglory0;Желаю вам наилучших успехов;x
EVTDESCkotstglory1;После нескольких недель и долгих размышлений, [From.GetTitledFirstName] решил[From.GetEndA] двинуться к группе беспокойных разбойников, чье логово где-то в Королевском лесу. \nВы искренне желаете [From.GetHerHim] удачи и предлагаете...;x
EVTOPTAkotstglory1;Толпу злых крестьян;x
EVTOPTBkotstglory1;Скромную стражу из тренированных солдат;x
EVTOPTCkotstglory1;Полный отряд закаленных воинов;x
EVTOPTDkotstglory1;Армию с лучшими рыцарями;x
EVTDESCkotstglory3;Один из ваших гонцов сообщает вам, что на пути к Королевскому лесу, [From.GetTitledFirstName] и его люди решили поставить лагерь возле кристально чистого ручья. Вода казалась пригодной для употребления, но увы, не была такой. На следующий день люди ужасно себя чувствовали, замедлили продвижение, а некоторые умерли от поноса.;x
EVTOPTAkotstglory3;В самом деле, плохие новости;x
EVTDESCkotstglory4;Вас достигают новости: [From.GetTitledFirstName] расположился лагерем рядом с одной из деревень, атакованных несколько месяцев назад разбойниками, за которыми он охотитсяю. Деревенские собрали немного ополченцев чтобы присоединиться к [From.GetTitledFirstName].;x
EVTOPTAkotstglory4;Это точно поможет;x
EVTDESCkotstglory5;Вы слышали, что встав лагерем возле одной таверны, [From.GetTitledFirstName] вступил в связь с тамошней девкой. Будучи в подпитии, он, видимо, признался ей в своей вечной любви. Никто не знает правда это или просто слух.;x
EVTOPTAkotstglory5;Будем надеяться что последнее;x
EVTDESCkotstglory7;Вы получаете сообщения, что [From.GetTitledFirstName] достиг бандитского логова и последовала большая битва. [From.GetSheHeCap] храбро сражался и, с особым тщанием, разгромил разбойников и положил конец их злым намерениям.;x
EVTOPTAkotstglory7;Отлично сработано!;x
EVTDESCkotstglory8;Вы получаете сообщения, что [From.GetTitledFirstName] достиг бандитского логова и последовала большая битва. К сожалению, всё прошло не очень хорошо. Силы [From.GetTitledFirstName] попались в западню и были быстро окружены. Их боевой дух оказался сломлен и они побежали, оставив [From.GetTitledFirstName] истекать кровью.;x
EVTOPTAkotstglory8;Какая трагедия!;x
EVTDESCkotstglory9;Устранений разбойников из Королевского леса привело к неожиданному возрождению торговли. Грязные бандиты исчезли, и честные торговцы больше не бояться их нападок, что позволило большему количеству товаров течь в столицу.;x
EVTOPTAkotstglory9;Прекрасные новости!;x

