#CODE;RUSSIAN;x
open_white_book;Открыть Белую книгу;x
open_white_book_desc;Открыть страницу в Белой книге на имени [Root.GetTitledFirstName];x
EVTOPTAkotstwhitebook1;Закрыть Белую книгу;x
EVTNAMEkotstwhitebookname;Сир [From.GetFullName];x
EVTDESCkotstwhitebook1;[From.GetSonDaughterCap] [From.Father.GetTitledName] из дома [From.GetOnlyDynastyName]. За [From.GetHerHis] деяния прозван [From.GetFirstNameWithNick].[From.wb_tourney_grand_1.GetName][From.wb_tourney_grand_2.GetName][From.wb_tourney_grand_3.GetName][From.wb_tourney_grand_4.GetName][From.wb_mw_1.GetName][From.wb_mw_2.GetName][From.wb_mw_3.GetName][From.wb_mw_4.GetName][From.kotst_sc.GetName][From.kotst_kind11.GetName][From.kotst_brave11.GetName][From.kotst_brave12.GetName][From.kotst_humble21.GetName][From.kotst_just11.GetName][From.kotst_just12.GetName][From.kotst_lust11.GetName][From.kotst_lust12.GetName][From.kotst_wroth11.GetName][From.kotst_wroth12.GetName][From.kotst_wroth21.GetName][From.kotst_wroth22.GetName][From.kotst_wroth23.GetName][From.kotst_greed11.GetName][From.kotst_greed12.GetName][From.prot1_succ.GetName][From.prot1_fail.GetName][From.prot2_succ.GetName][From.prot2_fail.GetName][From.prot3_succ.GetName][From.prot3_fail.GetName][From.prot4_succ.GetName][From.prot4_fail.GetName][From.glory1_succ.GetName][From.glory1_fail.GetName][From.glory2_succ.GetName][From.glory2_fail.GetName];x

EVTDESCkotstwhitebook2;[From.GetSonDaughterCap] [From.Father.GetTitledName] из дома [From.GetOnlyDynastyName].[From.wb_tourney_grand_1.GetName][From.wb_tourney_grand_2.GetName][From.wb_tourney_grand_3.GetName][From.wb_tourney_grand_4.GetName][From.wb_mw_1.GetName][From.wb_mw_2.GetName][From.wb_mw_3.GetName][From.wb_mw_4.GetName][From.kotst_sc.GetName][From.kotst_kind11.GetName][From.kotst_brave11.GetName][From.kotst_brave12.GetName][From.kotst_humble21.GetName][From.kotst_just11.GetName][From.kotst_just12.GetName][From.kotst_lust11.GetName][From.kotst_lust12.GetName][From.kotst_wroth11.GetName][From.kotst_wroth12.GetName][From.kotst_wroth21.GetName][From.kotst_wroth22.GetName][From.kotst_wroth23.GetName][From.kotst_greed11.GetName][From.kotst_greed12.GetName][From.prot1_succ.GetName][From.prot1_fail.GetName][From.prot2_succ.GetName][From.prot2_fail.GetName][From.prot3_succ.GetName][From.prot3_fail.GetName][From.prot4_succ.GetName][From.prot4_fail.GetName][From.glory1_succ.GetName][From.glory1_fail.GetName][From.glory2_succ.GetName][From.glory2_fail.GetName];x

wb_tourney_grand_1; Показал большую храбрость приняв участие в великом турнире против самых закалённых всадников, заняв первое место.;x
wb_tourney_grand_2; Заслужил народное признание и получил множество почестей за доблестное выступление на великом турнире.;x
wb_tourney_grand_3; С большой лёгкостью и мастерством, выбил из седла всех противников в великом турнире и добился бесспорной победы.;x
wb_tourney_grand_4; Стал знаменит за доблестное выступление на великом турнире где, несмотря ни на что, защитил титул чемпиона.;x
wb_mw_1; Неоспоримый мастер меча и ветеран многих битв.;x
wb_mw_2; Признан одним из лучших мечников в государстве, мало кто мог бросить ему вызов.;x
wb_mw_3; Несравненный в боевом мастерстве, показал себя непростым соперником в бою.;x
wb_mw_4; Умелый с мечом, стал известен за резкие выпады, от которых мало кто мог защититься.;x
kotst_sc; За крепкую верность и усердие был сделан членом малого совета.;x

kotst_lust11; Был заключен под стражу за прелюбодеяние с женой короля.;x
kotst_lust12; Нарушил свой обет целомудрия незаконно вступив в связь с женой короля.;x
kotst_wroth11; Был взят под стражу и брошен в темницу за поднятие меча против своего господина, которого клялся защищать.;x
kotst_wroth12; Нарушил свою клятву защищать короля подняв свой меч против него. Преступление прощено.;x
kotst_wroth21; Опозорил себя убив королевского придворного.;x
kotst_wroth22; Взят под стражу за отнятие жизни невинного придворного.;x
kotst_wroth23; Признан виновным за убийство королевского придворного, но был прощен своим господином.;x
kotst_greed11; Не смог сдержать клятву тайны начав шантажировать своего господина за деньги.;x
kotst_greed12; Брошен в темницу за попытку шантажа своего короля.;x
kotst_kind11;  Известен за свои щедрые и добрые деяния по отношению к беднякам и нуждающимся.;x
kotst_brave11; Рискуя своей жизнью и показав невероятную храбрость, он защитил королевскую семью сразив смертоносного белого тигра.;x
kotst_brave12; Без малейших сомнений встал на защиту королевской семьи сразив смертоносного белого тигра.;x
kotst_humble21; Был любим народом за свою работу с бедняками и нуждающимися детьми нашего государства. Как учитель он дал дорогу многим молодым воинам и школярам.;x
kotst_just11; За вершение справедливости для тех, кто не мог вершить её сам он стал известен как Защитник Народа.;x
kotst_just12; Был заключен под стражу за незаконное вершение правосудия своими руками.;x

#PROTECTION ENTRIES
prot1_succ; Окруженный разъяренной толпой, он не оступился и защитил своего господина от опасности.;x
prot1_fail; Несмотря на свою смелость в бою, он потерпел поражение от простолюдина, оказавшись неспособным защитить своего господина от опасности.;x
prot2_succ; Он защитил своего господина от когтей умелого убийцы закрыв господина своим телом.;x
prot2_fail; Он был обхитрен обычным убийцей. Потеряв из виду своего господина, он позволил ему получить смертельную рану.;x
prot3_succ; Он храбро, и легко, разобрался с группой вооруженных разбойников, разрезав пятерых как кинжал сыр.;x
prot3_fail; Он обесчестил себя, позволив группе мелких разбойников одолеть себя.;x
prot4_succ; Разобрался с разъяренным безумцем, который угрожал жизни его господина.;x
prot4_fail; Был ослеплен разъяренным безумцем защищая жизнь своего господина.;x

#GLORY EVENTS
glory1_succ; Будучи отправленным в поход против разбойников Королевского он вышел победителем, доказав свою доблесть командира.;x
glory1_fail; Он был побежден разбойниками Королевского леса, перенеся тяжелые потери и покалечив себя.;x
glory2_succ; Возвратил бесценную священную чашу добрым братьям септрия святого Лорена.;x
glory2_fail; Отправился на бессмысленную миссию по поиску священной чаши, якобы украденной, но на самом деле попросту забытой рядом.;x
