EVTOPTmbs_queen_daughter_rejection;Отказ.;;;;;;;;;;;;;x
EVTOPTmbs_queen_daughter_accepted;Мощный союз.;;;;;;;;;;;;;x

### Роза и Волк ###
EVTTITLEmbs_queen_daughter.1;Роза и Волк;;;;;;;;;;;;;x
EVTDESCmbs_queen_daughter.1;Пока продолжается Война Пяти Королей, Маргери Тирелл всё ещё не замужем и не увенчана короной. Ланнистеры в Королевской Гавани обречены, и, вероятно, скоро потеряют свои головы. В это же время Станнис Баратеон — озлобленный старик, который уже женат и не имеет наследника мужского пола. \n\nНо на Севере сын лорда Эддарда Старка был провозглашён Королём. Хотя он сражается за независимость от Железного Трона, возможно, его можно склонить к большему...;;;;;;;;;;;;;x
EVTOPTAmbs_queen_daughter.1;Поддержать Юного Волка;;;;;;;;;;;;;x
EVTOPTBmbs_queen_daughter.1;Мы пока сохраним нейтралитет.;;;;;;;;;;;;;x

EVTDESCmbs_queen_daughter.10;Прибыли послания с предложением от лорда Мейса Тирелла. Он предлагает руку своей дочери, Маргери Тирелл, и союз против Ланнистеров. Армия и богатства Простора существенно склонят чашу весов войны в пользу нашего дела, однако неизвестно, можно ли доверять Тиреллам.;;;;;;;;;;;;;x
EVTOPTAmbs_queen_daughter.10;Я принимаю предложение о союзе.;;;;;;;;;;;;;x
EVTOPTBmbs_queen_daughter.10;Я могу найти другие партии.;;;;;;;;;;;;;x
EVTOPTCmbs_queen_daughter.10;Как насчёт моего дяди Эдмура?;;;;;;;;;;;;;x

EVTDESCmbs_queen_daughter.11;Король Робб Старк согласился на брак с Маргери! Теперь она Королева бесплодных земель Севера, но всё же Королева. Надеемся, её влияние сделает этого Юного Волка более алчущим.;;;;;;;;;;;;;x
EVTDESCmbs_queen_daughter.12;Юный Волк отказался от руки вашей дочери.;;;;;;;;;;;;;x

### Роза и Форель ###
EVTTITLEmbs_queen_daughter.13;Роза и Форель;;;;;;;;;;;;;x
EVTDESCmbs_queen_daughter.13;Юный Волк отказался от руки вашей дочери. Вместо этого он предлагает брак с лордом Эдмуром Талли из Речных земель.;;;;;;;;;;;;;x
EVTOPTAmbs_queen_daughter.13;Верховный лорд — достаточно хорошо.;;;;;;;;;;;;;x
EVTOPTBmbs_queen_daughter.13;Какое нелепое предложение.;;;;;;;;;;;;;x

EVTDESCmbs_queen_daughter.130;Лорд Мейс Тирелл принял предложение выдать свою дочь за лорда Талли! Простор вступил в войну на стороне нашего дела.;;;;;;;;;;;;;x
EVTDESCmbs_queen_daughter.131;Лорд Мейс Тирелл отклонил предложение выдать свою дочь за лорда Талли.;;;;;;;;;;;;;x

### Роза и Кракен ###
EVTTITLEmbs_queen_daughter.2;Роза и Кракен;;;;;;;;;;;;;x
EVTDESCmbs_queen_daughter.2;Очевидно, лорд Мейс Тирелл из Хайгардена ищет королевскую партию для своей дочери, Маргери Тирелл. Он получил отказ от Глупого Волка на Севере, но вы пока не получали предложения.;;;;;;;;;;;;;x
EVTOPTAmbs_queen_daughter.2;Я тоже Король! Мой сын должен быть женихом.;;;;;;;;;;;;;x
EVTOPTBmbs_queen_daughter.2;Нам не нужна помощь зелёных земель!;;;;;;;;;;;;;x

EVTDESCmbs_queen_daughter.20;Поступило предложение от Бейлона Грейджоя, «Железного Короля». Он предлагает женить своего сына и наследника, Теона, на Маргери и просит поддержки в своей войне.;;;;;;;;;;;;;x
EVTOPTAmbs_queen_daughter.20;Хм... а почему бы и нет?;;;;;;;;;;;;;x
EVTOPTBmbs_queen_daughter.20;Железнорождённые? ХА!;;;;;;;;;;;;;x

EVTDESCmbs_queen_daughter.200;Мейс Тирелл принял ваше брачное предложение! Теперь они присоединяются к железнорождённым в их войне!;;;;;;;;;;;;;x
EVTDESCmbs_queen_daughter.201;Мейс Тирелл отклонил ваше предложение о браке Теона с его дочерью.;;;;;;;;;;;;;x

### Роза и Дракон ###
EVTTITLEmbs_queen_daughter.3;Роза и Дракон;;;;;;;;;;;;;x
EVTDESCmbs_queen_daughter.3;Маргери всё ещё не имеет короны, которой она так отчаянно заслуживает. С появлением «Эйгона» представляется новая возможность сделать Маргери Королевой и получить кровь Тиреллов на Железном Троне.;;;;;;;;;;;;;x
EVTOPTAmbs_queen_daughter.3;Отправить предложение Дракону!;;;;;;;;;;;;;x
EVTOPTBmbs_queen_daughter.3;Выждать.;;;;;;;;;;;;;x

EVTDESCmbs_queen_daughter.30;Поступило предложение из Хайгардена: лорд Мейс Тирелл предложил руку своей дочери в обмен на поддержку армий Простора в войне Эйгона за возвращение его права по рождению.;;;;;;;;;;;;;x
EVTOPTAmbs_queen_daughter.30;Тиреллы станут сильными союзниками.;;;;;;;;;;;;;x
EVTOPTBmbs_queen_daughter.30;Я найду других союзников.;;;;;;;;;;;;;x

EVTDESCmbs_queen_daughter.31;Король Эйегон VI из дома Таргариенов согласился взять Маргери Тирелл в качестве своей Королевы. Вскоре они воссядут на Железном Троне!;;;;;;;;;;;;;x
EVTDESCmbs_queen_daughter.32;Фальшивый дракон лишил Маргери её короны. Вероятно, он падёт без союзников.;;;;;;;;;;;;;x
