BM_CROWNED_DRAGON;Коронованный Дракон;x
BM_CROWNED_DRAGON_DESC;После победы в своей Войне Завоевания Эйгон Таргариен, Первый его имени, был коронован королем на Железном троне, который будет править из своей недавно основанной столицы - Королевской Гавани. Останется ли он Королем всего Вестероса или ему не помогут даже его могучие драконы?;x
EVTDESCcrowned_dragon_scenario;После победы в своей Войне Завоевания Эйгон Таргариен, Первый его имени, был коронован королем на Железном троне, который будет править из своей недавно основанной столицы - Королевской Гавани.;x
EVTOPTAcrowned_dragon_scenario;Да здравствует король-дракон!;x
EVTOPTBcrowned_dragon_scenario;Проклятые захватчики и еретики;x

BM_TARGARYEN_RULE;Власть Таргариенов;x
BM_TARGARYEN_RULE_DESC;Прошло уже больше десяти лет с тех пор, как Эйгон Завоеватель и его сестры поставили Вестерос на колени с помощью своих могучих драконов. После очередного неудачного вторжения в Дорн король наконец решил сосредоточиться на укреплении своего государства. Но многие все еще недовольны властью Таргариенов, преуспеет ли Эйгон?;x
EVTDESCtargaryen_rule_scenario;Прошло уже больше десяти лет с тех пор, как Эйгон Завоеватель и его сестры поставили Вестерос на колени с помощью своих могучих драконов. После очередного неудачного вторжения в Дорн король наконец решил сосредоточиться на укреплении своего государства. Но многие все еще недовольны властью Таргариенов, преуспеет ли Эйгон?;x
EVTOPTAtargaryen_rule_scenario;Таргариены принесли мир и единство!;x
EVTOPTBtargaryen_rule_scenario;Это не может и не будет продолжаться;x

BM_DEATH_OF_THE_CONQUEROR;Смерть Завоевателя;x
BM_DEATH_OF_THE_CONQUEROR_DESC;После долгих лет правления первый король-Таргариен, Эйгон Завоеватель, скончался. Королевство не будет страшиться нового правителя так же как старого. Удастся ли новому королю сохранить равновесие или пришло время Железному трону пасть, а Семи Королевствам возродиться?;x
EVTDESCdeath_of_the_conqueror_scenario;После долгих лет правления первый король-Таргариен, Эйгон Завоеватель, скончался. Королевство не будет страшиться нового правителя так же как старого. Удастся ли новому королю сохранить равновесие или пришло время Железному трону пасть, а Семи Королевствам возродиться?;x
EVTOPTAdeath_of_the_conqueror_scenario;Король умер, да здравствует король;x
EVTOPTBdeath_of_the_conqueror_scenario;Пришло время восстать;x

BM_CROWNING_OF_THE_CONCILIATOR;Коронация Миротворца;x
BM_CROWNING_OF_THE_CONCILIATOR_DESC;Прошло несколько лет с ужасной смерти Мейгора. Недавно коронованный Джейхейрис I Таргариен, мальчик-король, выглядит многообещающе. Достигнув совершеннолетия, он женился на своей сестре Алисанне. Тем временем, его мать, Алисса Веларион, вышла замуж за лорда Рогара Баратеона на пышной Золотой Свадьбе. Мать и десница не одобрили кровосмесительный брак Джейхейриса, опасаясь еще одного восстания Веры. Удастся ли новому королю сохранить Вестерос единым после всего, что сделал его дядя?;x
EVTDESCcrowning_of_the_conciliator_scenario;Новый Таргариен сел на Железный трон - мальчик-король Джейхейрис. Его брак с любимой сестрой Алисанной вызвал разногласия. Алисса Веларион, его мать, и Рогар Баратеон, его десница, не одобряют кровосмесительный брак, опасаясь еще одного восстания Веры. Будучи под давлением со всех сторон, достанет ли Джейхейрису того что нужно чтобы удержать королевство?;x
EVTOPTAcrowning_of_the_conciliator_scenario;Поживем - увидим...;x

BM_FALL_OF_THREE_DAUGHTERS;Падение Трёх Дочерей;x
BM_FALL_OF_THREE_DAUGHTERS_DESC;Королевство Трёх Дочерей подверглось нападению объединенных сил Пентоса, Браавоса и Лората. Удастся ли альяну Лиса, Мира и Тироша выстоять перед этой атакой или они падут, а их альянс снова обратится в прах?;x
EVTDESCfall_of_three_daughters_scenario;Королевство Трех Дочерей подверглось нападению объединенных сил Пентоса, Браавоса и Лората. Удастся ли альяну Лиса, Мира и Тироша выстоять перед этой атакой или они падут, а их альянс снова обратится в прах?;x
EVTOPTAfall_of_three_daughters_scenario;Прекращение торговли хорошим не закончится;x
EVTOPTBfall_of_three_daughters_scenario;Наконец этот зверь будет уничтожен;x

BM_HOLY_KING;Святой Король;x
BM_HOLY_KING_DESC;Король Бейлор Благословенный правит как король-Таргариен на Железном троне, глубоко благочестивый человек, который принял обет безбрачия и стал септоном. Принесет ли верующий король мир людям Вестероса или он будет слабым правителем, полагающимся на помощь Богов?;x
EVTDESCholy_king_scenario;Король Бейлор Благословенный правит как король-Таргариен на Железном троне, глубоко благочестивый человек, который принял обет безбрачия и стал септоном. Принесет ли верующий король мир людям Вестероса или он будет слабым правителем, полагающимся на помощь Богов?;x
EVTOPTAholy_king_scenario;Король воистину благословлен;x
EVTOPTBholy_king_scenario;Он прячет свою слабость за верой;x

BM_THIRD_GREAT_COUNCIL;Великий Совет 233 года;x
BM_THIRD_GREAT_COUNCIL_DESC;После смерти короля Мейкара Таргариена в восстании Пика был созван Великий Совет. Линия дяди Эйгона - Бейлора - угасла, двое его старших братьев мертвы, а еще один, Эймон, отказался от трона, поэтому Эйгон был избран высокими лордами королем. Жестокая казнь Эйниса Блэкфайра Кровавым Вороном только подтвердила выбор Великого Совета. Несмотря на это, Эгга все еще недолюбливают. Его приключения по Вестеросу с межевым рыцарем Дунканом Высоким вызывают недоверие у многих лордов. Что станет с Вестеросом под этим невероятным королем?;x
EVTDESCthird_great_council_scenario;Эйгон V Таргариен сел на Железный трон. Смерть двух его старших братьев, отказ Эймона от трона, и жестокая казнь Эйниса Блэкфайра Кровавым Вороном заставили лордов выбрать Эйгона наследником Мейкара. Скитания Эйгона с Дунком по Семи Королевствам, однако, вызывают недоверие у многих лордов - они видят, что Эйгон провел немалую часть своей жизни с простолюдинами. Сможет ли этот невероятный король править мудро, со всех сторон окруженный презрением?;x
EVTOPTAthird_great_council_scenario;Его скитания сделали его наполовину простолюдином;x
EVTOPTBthird_great_council_scenario;Защитник простого народа - то что нам нужно;x

BM_REYNE_REBELLION;Восстание Рейнов;x
