#CODE;RUSSIAN;x
religion_papal_head;Иерархия Септонов;x
tooltip_religion_feature_papal_head;§GДуховный Лидер избирается из числа жрецов среди царств, подобно Вере Семерых§!;x
religion_papal_head_desc;Вера Семерых - иерархическая категория септонов - служит примером реорганизации веры. Духовный Лидер избирается за них и получает контроль над верой.;x
religion_feature_sarnor;Единый Сарнор;x
religion_feature_sarnor_desc;Разрушение Валирии придало силы всему Эссосу. Поскольку новые угрозы нависают над нашими границами, мелкие ссоры между королями должны закончиться! Боги считают, что только объединённый Сарнор, под руководством Верховного Короля может обеспечить выживание нашего народа.;x
tooltip_sea_religion_feature_opinion_boost;§GМнение со всеми иностранными религиозными группами морского происхождения увеличено на +15§!;x
SEA_RELIGIONS;Почитающие море религии;x
religion_feature_harpy;Легионерские традиции;x
religion_feature_harpy_desc;Натренированные сражаться копьем, мечом и щитом, легионеры снова станут основой господства и стабильности Гарпии на континенте.;x
tooltip_religion_feature_harpy;§GПоследователи этой религии имеют возможность строить легионерские казармы в Гискарском регионе независимо от культуры§!;x
religion_feature_bone;Боги Гиркуна;x
religion_feature_bone_desc;На протяжении веков наши города сталкивались с бесчисленными нападениями кочевых народов, которые окружают наши горы, отправляя тысячи наших жителей в рабство, а мы, в свою очередь, принесли в жертву нашим богам многих из их воинов.;x
