#CODE;RUSSIAN;x
title_old_gods_reformed_cardinal;Верный;x
title_beyond_wall_old_gods_reformed_cardinal;Верный;x
title_drowned_god_reformed_cardinal;Утонувший;x
title_black_goat_reformed_cardinal;Решительный;x
title_gods_lorath_reformed_cardinal;Истинный;x
title_moonsingers_reformed_cardinal;Обожаемый;x
title_trios_reformed_cardinal;Преданный;x
title_father_of_waters_reformed_cardinal;Преданный;x
title_rhoynar_pagan_reformed_cardinal;Искренний;x
title_boash_reformed_cardinal;Фанатичный;x
title_weeping_lady_reformed_cardinal;Честный;x
title_valyrian_rel_reformed_cardinal;Благочестивый;x
title_gods_sarnor_reformed_cardinal;Глубинный;x
title_harpy_reformed_cardinal;Пылкий;x
title_yiti_gods_reformed_cardinal;Покорный;x
title_lion_night_reformed_cardinal;Добросовестный;x
title_shadowbinders_reformed_cardinal;Почтительный;x
title_gods_bone_mountains_reformed_cardinal;Ревностный;x
title_gods_nghai_reformed_cardinal;Сосредоточенный;x
title_stone_cow_reformed_cardinal;Умеренный;x
title_jogos_pagan_reformed_cardinal;Обожаемый;x
title_great_shepherd_reformed_cardinal;Серьёзный;x
title_summer_rel_reformed_cardinal;Почитаемый;x
title_nath_pagan_reformed_cardinal;Праведный;x
title_lady_of_the_waves_reformed_cardinal;Почтительный;x
#;;x
#Old_Gods;;x
best_candidate_title_old_gods_reformed_cardinal;Мой лучший Верный кандидат;x
expected_next_title_old_gods_reformed_cardinal;Ожидаемый следующий глава;x
OLD_GODS_PREFERATI;Ожидаемый преемник;x
OLD_GODS_PREFERATI_TOOLTIP;Является членом Верных Старым Богам и, вероятно, займет место Верховного Жреца.;x
OLD_GODS_HEAD_PRIEST;Верховный Жрец;x
COLLEGE_OF_OLD_GODS_CARDINALS;Верные Старым Богам;x
#;;x
#Beyond_Wall_Gods;;x
best_candidate_title_beyond_wall_old_gods_reformed_cardinal;Мой лучший Верный кандидат;x
expected_next_title_beyond_wall_old_gods_reformed_cardinal;Ожидаемый следующий глава;x
BWOG_PREFERATI;Ожидаемый преемник;x
BWOG_PREFERATI_TOOLTIP;Является членом Истинного обряда Старых Богов и, вероятно, займет место Верховного Жреца.;x
BWOG_HEAD_PRIEST;Верховный Жрец;x
COLLEGE_OF_BWOG_CARDINALS;Истинный обряд Старых Богов;x
#;;x
#Drowned_God;;x
best_candidate_title_drowned_reformed_cardinal;Мой лучший Утонувший кандидат;x
expected_next_title_drowned_reformed_cardinal;Ожидаемый следующий глава;x
DROWNED_PREFERATI;Ожидаемый преемник;x
DROWNED_PREFERATI_TOOLTIP;Является членом Утопленников и, вероятно, займет место Утонувшего Лорда.;x
DROWNED_HEAD_PRIEST;Утонувший Лорд;x
COLLEGE_OF_DROWNED_CARDINALS;Утопленники;x
#;;x
#Black_Goat;;x
best_candidate_title_bgoat_reformed_cardinal;Мой лучший Решительный кандидат;x
expected_next_title_bgoat_reformed_cardinal;Ожидаемый следующий глава;x
BGOAT_PREFERATI;Ожидаемый преемник;x
BGOAT_PREFERATI_TOOLTIP;Является членом Жрецов Чёрного Козла и, вероятно, займет место Верховного Жреца.;x
BGOAT_HEAD_PRIEST;Верховный Жрец;x
COLLEGE_OF_BGOAT_CARDINALS;Жрецы Чёрного Козла;x
#;;x
#Gods_Lorath;;x
best_candidate_title_gods_lorath_reformed_cardinal;Мой лучший Истинный кандидат;x
expected_next_title_gods_lorath_reformed_cardinal;Ожидаемый следующий глава;x
LORATH_PREFERATI;Ожидаемый преемник;x
LORATH_PREFERATI_TOOLTIP;Является членом Жрецов Лората и, вероятно, займет место Верховного Жреца.;x
LORATH_HEAD_PRIEST;Верховный Жрец;x
COLLEGE_OF_LORATH_CARDINALS;Жрецы Лората;x
#;;x
#Moonsingers;;x
best_candidate_title_moonsingers_reformed_cardinal;Мой лучший Обожаемый кандидат;x
expected_next_title_moonsingers_reformed_cardinal;Ожидаемый следующий глава;x
MOONSINGER_PREFERATI;Ожидаемый преемник;x
MOONSINGER_PREFERATI_TOOLTIP;Является членом Лунных певцов и, вероятно, займет место Верховного Лунного певца.;x
MOONSINGER_HEAD_PRIEST;Верховный Лунный певец;x
COLLEGE_OF_MOONSINGER_CARDINALS;Лунные певцы;x
#;;x
#Trios;;x
best_candidate_title_trios_reformed_cardinal;Мой лучший Преданны кандидат;x
expected_next_title_trios_reformed_cardinal;Ожидаемый следующий глава;x
TRIOS_PREFERATI;Ожидаемый преемник;x
TRIOS_PREFERATI_TOOLTIP;Является членом Жрецов Лората и, вероятно, займет место Верховного Жреца.;x
TRIOS_HEAD_PRIEST;Верховный Жрец;x
COLLEGE_OF_TRIOS_CARDINALS;Жрецы Лората;x
#;;x
#Father_of_Waters;;x
best_candidate_title_father_of_waters_reformed_cardinal;Мой лучший Преданный кандидат;x
expected_next_title_father_of_waters_reformed_cardinal;Ожидаемый следующий глава;x
FOW_PREFERATI;Ожидаемый преемник;x
FOW_PREFERATI_TOOLTIP;Является членом Жрецов Воды и, вероятно, займет место Верховного Жреца.;x
FOW_HEAD_PRIEST;Верховный Жрец;x
COLLEGE_OF_FOW_CARDINALS;Жрецы Воды;x
#;;x
#Rhoynar;;x
best_candidate_title_rhoynar_pagan_reformed_cardinal;Мой лучший Искренний кандидат;x
expected_next_title_rhoynar_pagan_reformed_cardinal;Ожидаемый следующий глава;x
RHOYNAR_PREFERATI;Ожидаемый преемник;x
RHOYNAR_PREFERATI_TOOLTIP;Является членом Жрецов Ройны и, вероятно, займет место Верховного Жреца.;x
RHOYNAR_HEAD_PRIEST;Верховный Жрец;x
COLLEGE_OF_RHOYNAR_CARDINALS;Жрецы Ройны;x
#;;x
#Boash;;x
best_candidate_title_boash_reformed_cardinal;Мой лучший Фанатичный кандидат;x
expected_next_title_boash_reformed_cardinal;Ожидаемый следующий глава;x
BOASH_PREFERATI;Ожидаемый преемник;x
BOASH_PREFERATI_TOOLTIP;Является членом Жрецов Боаш и, вероятно, займет место Верховного Жреца.;x
BOASH_HEAD_PRIEST;Верховный Жрец;x
COLLEGE_OF_BOASH_CARDINALS;Жрецы Боаш;x
#;;x
#Weeping_Lady;;x
best_candidate_title_weeping_lady_reformed_cardinal;Мой лучший Честный кандидат;x
expected_next_title_weeping_lady_reformed_cardinal;Ожидаемый следующий глава;x
WEEPING_PREFERATI;Ожидаемый преемник;x
WEEPING_PREFERATI_TOOLTIP;Является членом Плачущих жрецов и, вероятно, займет место Верховного Жреца.;x
WEEPING_HEAD_PRIEST;Верховный Жрец;x
COLLEGE_OF_WEEPING_CARDINALS;Плачущие жрецы;x
#;;x
#Valyrian;;x
best_candidate_title_valyrian_rel_reformed_cardinal;Мой лучший Благочестивый кандидат;x
expected_next_title_valyrian_rel_reformed_cardinal;Ожидаемый следующий глава;x
VALYRIAN_PREFERATI;Ожидаемый преемник;x
VALYRIAN_PREFERATI_TOOLTIP;Является членом Штормовых певцов и, вероятно, займет место Верховного Штормового Певца.;x
VALYRIAN_HEAD_PRIEST;Верховный Штормовой Певец;x
COLLEGE_OF_VALYRIAN_CARDINALS;Штормовые певцы;x
#;;x
#Gods_Sarnor;;x
best_candidate_title_gods_sarnor_reformed_cardinal;Мой лучший Глубинный кандидат;x
expected_next_title_gods_sarnor_reformed_cardinal;Ожидаемый следующий глава;x
SARNOR_PREFERATI;Ожидаемый преемник;x
SARNOR_PREFERATI_TOOLTIP;Является членом Жрецов Сарнора и, вероятно, займет место Верховного Жреца.;x
SARNOR_HEAD_PRIEST;Верховный Жрец;x
COLLEGE_OF_SARNOR_CARDINALS;Жрецы Сарнора;x
#;;x
#Harpy;;x
