#CODE;RUSSIAN;x
String_GAIN_Fallback;Получит;x
String_GAIN_You;Вы получите;x
String_LOSE_Fallback;Потеряет;x
String_LOSE_You;Вы потеряете;x
string_po_imeni_; по имени ;x
EVTOPTA_MNM_1414_TT;§Y[From.GetTitledFirstNameWithNick]§! перестанет быть §Yучеником§! и получит §G+2§! к §Yобразованности§!;x
FROM_GAIN100W_TT;§Y[From.GetTitledFirstNameWithNick]§! §Gполучит§! Ваши §Y100§!¤;x
ALT_RESTORE_DEFAULT_ADJ;[This.GetAdjective];x
string_RFullName_random;[This.Religion.GetFullName]изм;x
string_RFullName_default;[This.Religion.GetFullName];x
string_TRFullName_random;[This.TrueReligion.GetFullName]изм;x
string_TRFullName_default;[This.TrueReligion.GetFullName];x
string_SRFullName_random;[This.SecretReligion.GetFullName]изм;x
string_SRFullName_default;[This.SecretReligion.GetFullName];x
string_RGFullName_random;[This.Religion.GetGroupName]изм;x
string_RGFullName_default;[This.Religion.GetGroupName];x
string_TRGFullName_random;[This.TrueReligion.GetGroupName]изм;x
string_TRGFullName_default;[This.TrueReligion.GetGroupName];x
string_SRGFullName_random;[This.SecretReligion.GetGroupName]изм;x
string_SRGFullName_default;[This.SecretReligion.GetGroupName];x
START_REQ_LIST_TOOLTIP;§YУбедитесь, что:§!\n;x
EV_HER;eй;x #OBJ_PRONOUN_FEM
equine_opinion;Мнение лошадей;x
String_SETTLEMENT_LOOTED_LOG1;Войска, которые ведёт ;x
String_SETTLEMENT_LOOTED_LOG2; ограбил[From.GetEndA];x
String_SETTLEMENT_LOOTED_LOG_FALLBACK;, ограбили;x
TOTAL;Всего;x
TRIBAL_UNION;Племенной союз ;x
is_capital_title_tt;§Y[This.GetName]§! - столичный титул;x
String_GetMerCapitalAdjective_Default;[This.MercRepCapital.County.GetAdjective];x
String_GetMerCapitalAdjective_Liege;[This.Liege.MercRepCapital.County.GetAdjective];x
String_GetMerCapitalAdjective_Liege2;[This.Liege.Liege.MercRepCapital.County.GetAdjective];x
String_GetMerCapitalAdjective_Liege3;[This.Liege.Liege.Liege.MercRepCapital.County.GetAdjective];x
DUCHY_NOVGOROD_SEVERSK;Новгород-Северский;x
DUCHY_NOVGOROD_SEVERSK_ADJ;Новгород-Север;x
pattern_vastly_over_duchies_tooltip;Слишком много герцогств\n;x
is_feminist_religion_tt;Феминистская религия;x
can_be_nomadic_title_tt;Может оказаться так, что титул §Y[This.GetName]§! принадлежит кочевнику.;x
is_renamed_culture_tt;§Y[This.GetCultureAdj]§Yая§! культура переименована;x
is_renamed_religion_tt;Религия §Y[This.GetReligionFullName]§! переименована;x
is_renamed_true_religion_tt;Истинная религия §Y[This.GetTrueReligionFullName]§! переименована;x
is_renamed_secret_religion_tt;Тайная религия §Y[This.GetSecretReligionFullName]§! переименована;x
CULTURE_SHORT_ADJ_FALLBACK;[This.Culture.GetName];x #§z§x
CULTURE_ADJ_FALLBACK;[This.Culture.GetName]ск;x #§z§x
CULTURE_GROUP_ADJ_ALT;[This.Culture.GetGroupName]ская;x
CULTURE_GROUP_ADJ_DEFAULT;[This.Culture.GetGroupName];x
CULTURE_GROUP_ADJ_ALT_SHORT;[This.Culture.GetGroupName];x
CULTURE_GROUP_PLU_ALT;[This.Culture.GetGroupName]цы;x
CULTURE_GROUP_PLU_ALT_GEN;[This.Culture.GetGroupName]цев;x
CULTURE_GROUP_ADJ_DEFAULT_MAGYAR;Мадьярская;x
CULTURE_GROUP_ADJ_DEFAULT_MESOAMERICAN;Мезоамериканская;x
CULTURE_GROUP_ADJ_DEFAULT_CHINESE_GROUP;Китайская;x
CULTURE_GROUP_ADJ_DEFAULT_HORSE;Лошадиная;x
CULTURE_GROUP_ADJ_DEFAULT_CAT;Кошачья;x
CULTURE_GROUP_ADJ_DEFAULT_BEAR;Медвежья;x
CULTURE_GROUP_ADJ_DEFAULT_HEDGEHOG;Ежовая;x
CULTURE_GROUP_ADJ_DEFAULT_DUCK;Утиная;x
CULTURE_GROUP_ADJ_DEFAULT_DOG;Собачья;x
CULTURE_GROUP_ADJ_DEFAULT_ELEPHANT;Слоновая;x
CULTURE_GROUP_ADJ_DEFAULT_DRAGON;Драконья;x
CULTURE_GROUP_ADJ_DEFAULT_PANDA;Пандовая;x
GetChamberOpening_DoorGEN;двери;x
GetChamberOpening_TentOpeningGEN;входа в палатку;x
cgsadj_panda_group;Панд;x
cgsadj_horse_group;Лошадин;x
cgsadj_cat_group;Кошкин;x
cgsadj_bear_group;Ошкуй;x
cgsadj_hedgehog_group;Ежов;x
cgsadj_duck_group;Утин;x
cgsadj_dog_group;Собак;x
cgsadj_elephant_group;Слонов;x
cgsadj_dragon_group;Дракон;x
cgsadj_north_germanic;Северогерман;x
cgsadj_central_germanic;Центральногерман;x
cgsadj_west_germanic;Западногерман;x
cgsadj_latin;Латин;x
cgsadj_latin_nocap;латин;x
cgsadj_iberian;Иберий;x
cgsadj_byzantine;Византий;x
cgsadj_celtic;Кельт;x
cgsadj_finno_ugric;Финно-угор;x
cgsadj_baltic;Балт;x
cgsadj_altaic;Алтай;x
cgsadj_arabic;Араб;x
cgsadj_east_slavic;Восточнославян;x
cgsadj_west_slavic;Западнославян;x
cgsadj_south_slavic;Южнославян;x
cgsadj_magyar;Мадьяр;x
cgsadj_iranian;Иран;x
cgsadj_east_african;Восточно-африкан;x
cgsadj_central_african;Центрально-африкан;x
cgsadj_west_african;Западно-африкан;x
cgsadj_mesoamerican;Мезоамерикан;x
cgsadj_israelite;Еврей;x
cgsadj_indo_aryan_group;Индоарий;x
cgsadj_dravidian_group;Дравидий;x
cgsadj_tibetan_group;Тибето-бирман;x
cgsadj_chinese_group;Китай;x
