#CODE;RUSSIAN;x
SUB_MESSAGES_HEADER;Акции и подарки;x
SUB_MESSAGES_CLOSE;Закрыть;x
SUB_MESSAGES_OPEN;Открыть;x
SUB_MESSAGES_TOOLTIP;§YАкции и подарки§!;x
SUB_MESSAGES_TOOLTIP_DELAYED;Предыдущие предложения и подарки, которые Вы получали за подписку.;x
DISCOUNT_MESSAGE_TITLE;Эксклюзивная скидка подписчика;x
DISCOUNT_HEADER;Но есть кое-что ещё...;x
DISCOUNT_TEXT;Знаете ли Вы, что подписчики Crusader Kings II получают скидку на другие игры от Paradox?\n\nНапример: эксклюзивная скидка 24% на Age of Wonders III!;x
DISCOUNT_DISMISS;Закрыть;x
GIFT1_MESSAGE_TITLE;Один месяц подписки;x
GIFT_SCREEN1_HEADER;Спасибо!;x
GIFT_SCREEN1_TEXT;Вы с нами уже целый месяц!\n\nВ качестве благодарности мы приготовили Вам подарок на память. Библиотеку ранее не выпущенных обоев для рабочего стола. Поделитесь ими с друзьями!;x
GIFT_SCREEN1_OPEN;Получить доступ;x
GIFT_SCREEN1_DISMISS;Закрыть;x
GIFT2_MESSAGE_TITLE;Два месяца подписки;x
GIFT_SCREEN2_HEADER;Спасибо!;x
GIFT_SCREEN2_TEXT;Вы с нами уже два месяца!\n\nВ качестве благодарности мы приготовили Вам подарок на память. Плейлист Spotify с лучшими саундтреками из Crusader Kings II. Поделитесь ими с друзьями!;x
GIFT_SCREEN2_OPEN;Получить доступ;x
GIFT_SCREEN2_DISMISS;Закрыть;x
DLC_ATTENTION_SCREEN_HEADER;Вы уже сыграли?;x
DLC_ATTENTION_SCREEN_TEXT;Как Вам известно, Crusader Kings II содержит массу разнообразных DLC. Вы уже попробовали всё?\n\nЭто любимое среди фанатов:\n\n$LEADER_TEXT$;x
DLC_ATTENTION_SCREEN_DISMISS;Закрыть;x
SUGGESTED_CHARACTER_194004;Сигурд Кольцо, 769г - Создайте Шведское Конунгство и предложите вассалитет всем независимым скандинавским правителям! Фантастическое начало империи викингов.;x
SUGGESTED_CHARACTER_70012;Аурелио Астурийский, 769г - Поиграйте за испанских визиготов и верните Испанию на сцену Раннего Средневековья!;x
SUGGESTED_CHARACTER_194074;Безпрым Вилкс Прусский, 769г (Holy Fury) - Начните игру в роли балтских варваров и разоряйте всё на своём пути. Подчините Литву, поклянитесь в верности Карлу Великому и примите католичество. Пруссия станет Вашей!;x
SUGGESTED_CHARACTER_6392;Карл Великий, 769г - Насладитесь игрой за культового персонажа, потомка Карла Мартелла. Завоюйте Саксонию, Ломбардию и другие германские земли, чтобы стать правителем Священной Римской Империи!;x
SUGGESTED_CHARACTER_159123;Крум Булгарский, 769г - Не отступайте и положите конец правлению византийских императоров!;x
SUGGESTED_CHARACTER_73679;Абд-аль-Рахман I, 769г - Сбежав из Сирии от Аббасидов, Абд-аль-Рахман вернулся на Восток и отомстил. Оставьте свой след в истории Испании и установите правление его династии на века.;x
SUGGESTED_CHARACTER_6878;Хастейн, 867 - Поиграйте за истинного викинга и сделайте себя великим правителем на чужих землях!;x
SUGGESTED_CHARACTER_159529;Критский Эмират Хафсидов 867г или 936г - Отличная предыстория и могучий плацдарм для будущих завоеваний!;x
SUGGESTED_CHARACTER_112600;Отто фон Нортхейм Баварский, 1066г - Проведите множество славных битв ради своего народа! Пусть Ваше наследие запомнится на века.;x
SUGGESTED_CHARACTER_205730;Элианора Аквитанская, 1066г или 1138г - Поиграйте за графиню Бордо и станьте одной из самых влиятельных женщин Средневековья!;x
SUGGESTED_CHARACTER_7757;Матильда Тосканская, 1066г - Сможете ли Вы сделать Матильду матерью независимой Италии, или итальянская культура будет уничтожена немцами раз и навсегда?;x
