k_rebel_dragon_host;Повстанческая армия;x
b_rebel_camp;Лагерь повстанцев;x


EVTTITLEtdp_anti_dragon.132;Танец Драконов;x

### Описания Танца ###
#Нединастический
EVTDESCAtdp_anti_dragon.132;По сравнению с днями Старой Валирии, драконы всё ближе к вымиранию. Во время Рока сорок семей правили Валирийским Свободным государством, и большинство из них было уничтожено пламенем. \n\nТеперь два драконьих дома, Дом [crown_dragon.GetOnlyDynastyName] и Дом [rebel_dragon.GetOnlyDynastyName], борются за контроль над [crown_dragon.PrimaryTitle.GetName] и судьбу королевства, ведь [rebel_dragon.GetFirstNameWithNick] из Дома [rebel_dragon.GetOnlyDynastyName] собрал армию, чтобы начать войну против [rebel_dragon.GetFirstNameWithNick] и Дома [crown_dragon.GetOnlyDynastyName]. \n\nОстаётся лишь надеяться, что королевство не повторит судьбу Валирии...;x

#Брат/Сестра
EVTDESCBtdp_anti_dragon.132;По сравнению с днями Старой Валирии, драконы всё ближе к вымиранию. Во время Рока сорок семей правили Валирийским Свободным государством, и большинство из них было уничтожено пламенем. \n\nТеперь [crown_dragon.PrimaryTitle.GetName] стал ареной раскола драконьего дома. Дом [crown_dragon.GetOnlyDynastyName] охвачен гражданской войной между [crown_dragon.GetTitledFirstNameWithNick] и [rebel_dragon.GetFirstNameWithNick]. Королевство наблюдает, как [crown_dragon.GetBrotherSister] сражается с [rebel_dragon.GetBrotherSister] за контроль над [crown_dragon.PrimaryTitle.GetName] и судьбу королевства. \n\nОстаётся лишь надеяться, что королевство не повторит судьбу Валирии...;x

#Дядя/Тётя
EVTDESCCtdp_anti_dragon.132;По сравнению с днями Старой Валирии, драконы всё ближе к вымиранию. Во время Рока сорок семей правили Валирийским Свободным государством, и большинство из них было уничтожено пламенем. \n\nТеперь [crown_dragon.PrimaryTitle.GetName] стал ареной раскола драконьего дома. Дом [crown_dragon.GetOnlyDynastyName] охвачен гражданской войной между [crown_dragon.GetTitledFirstNameWithNick] и [rebel_dragon.GetFirstNameWithNick]. Королевство наблюдает, как [crown_dragon.GetUncleAunt] защищает [crown_dragon.GetHerHis] корону, чтобы сохранить контроль над [crown_dragon.PrimaryTitle.GetName] и судьбу королевства. \n\nОстаётся лишь надеяться, что королевство не повторит судьбу Валирии...;x

#Племянник/Племянница
EVTDESCDtdp_anti_dragon.132;По сравнению с днями Старой Валирии, драконы всё ближе к вымиранию. Во время Рока сорок семей правили Валирийским Свободным государством, и большинство из них было уничтожено пламенем. \n\nТеперь [crown_dragon.PrimaryTitle.GetName] стал ареной раскола драконьего дома. Дом [crown_dragon.GetOnlyDynastyName] охвачен гражданской войной между [crown_dragon.GetTitledFirstNameWithNick] и [rebel_dragon.GetFirstNameWithNick]. Королевство наблюдает, как [rebel_dragon.GetUncleAunt] ведёт войну за корону [crown_dragon.PrimaryTitle.GetName] и судьбу королевства. \n\nОстаётся лишь надеяться, что королевство не повторит судьбу Валирии...;x

#Двоюродный родственник
EVTDESCEtdp_anti_dragon.132;По сравнению с днями Старой Валирии, драконы всё ближе к вымиранию. Во время Рока сорок семей правили Валирийским Свободным государством, и большинство из них было уничтожено пламенем. \n\nТеперь [crown_dragon.PrimaryTitle.GetName] стал ареной раскола драконьего дома. Дом [crown_dragon.GetOnlyDynastyName] охвачен гражданской войной между [crown_dragon.GetTitledFirstNameWithNick] и [rebel_dragon.GetFirstNameWithNick]. Двоюродные родственники сталкиваются за контроль над [crown_dragon.PrimaryTitle.GetName] и судьбу королевства. \n\nОстаётся лишь надеяться, что королевство не повторит судьбу Валирии...;x

#Дальний родственник
