###Dragon Traits pop up###
#Food
EVTDESCAdragon.860;[FromFrom.GetFirstName] явно предпочитает крупный рогатый скот на ужин вместо других видов скота.;x
EVTDESCBdragon.860;[FromFrom.GetFirstName] явно предпочитает свиней на ужин вместо других видов скота.;x
EVTDESCCdragon.860;[FromFrom.GetFirstName] явно предпочитает овец на ужин вместо других видов скота.;x

EVTDESCdragon_personality.131;[From.GetFirstName] такой любознательный дракон! [From.GetSheHeCap] постоянно исследует новые места и любит наблюдать за людьми или другими драконами, пока они заняты делами.;x
EVTOPTAdragon_personality.131;Как мило!;x
EVTOPTBdragon_personality.131;Хватит подглядывать!;x

EVTDESCdragon_personality.132;[From.GetFirstName] никогда не останавливается. [From.GetSheHeCap] то бродит по территории замка, то летает по воздуху. Единственное время, когда [From.GetSheHe] останавливается — это чтобы поспать.;x
EVTOPTAdragon_personality.132;Столько энергии.;x
EVTOPTBdragon_personality.132;Ты меня выматываешь!;x
EVTOPTDdragon_personality.132;Я научу [From.GetFirstName] успокаиваться.;x

EVTDESCdragon_personality.133;[From.GetFirstName] невероятно разговорчивый дракон. [From.GetSheHe] будет объяснять вам что-то на своем драконьем языке. Все, что вам остается — кивать в знак согласия.;x
EVTOPTAdragon_personality.133;Мне нравятся наши беседы.;x
EVTOPTBdragon_personality.133;Заткнись! Заткнись!;x
EVTOPTDdragon_personality.133;[From.GetSheHeCap] должен научиться вовремя молчать.;x

EVTDESCdragon_personality.134;[From.GetFirstName] отказывается слушать команды и часто уходит, чтобы заниматься своими делами. Контролировать [From.GetFirstName] сложно, и иногда кажется, что [From.GetSheHe] огрызается в ответ на приказы.;x
EVTOPTAdragon_personality.134;Настоящий бунтарь!;x
EVTOPTBdragon_personality.134;Ты будешь меня слушать!;x
EVTOPTDdragon_personality.134;Мы найдем способ научить [From.GetHerHim].;x

EVTDESCdragon_personality.137;[From.GetFirstName] — агрессивный дракон. [From.GetSheHeCap] не осознает своих размеров и играет слишком грубо с другими драконами. Эта черта может быть опасной для всадника, и ее нужно исправить.;x
EVTOPTAdragon_personality.137;Хорошо! Мне нравится, когда мой дракон сильный!;x
EVTOPTBdragon_personality.137;Будь потише, черт возьми!;x
EVTOPTDdragon_personality.137;Научить [From.GetFirstName] быть менее агрессивным.;x

EVTDESCdragon_personality.1360;[From.GetFirstName] был избалован и изнежен. Несмотря на то, что это дракон, в бою от [From.GetSheHe] будет мало толку.;x
