#Events
EVTTITLEtdp_dragonkeepers.100;Орден Хранителей Драконов;x
EVTDESCtdp_dragonkeepers.100;Чтобы защищать и обучать драконов в вашем королевстве, необходимо основать орден, который продолжит традиции старой Валирии. Это поможет уберечь этих могущественных существ от попадания в чужие руки.;x

EVTDESCtdp_dragonkeepers.101;По вашему приказу глава Хранителей Драконов прибыл в тронный зал. Он ждёт ваших указаний.;x
EVTOPTAtdp_dragonkeepers.101;Информация о Хранителях Драконов;x
TOOLTIPAdragonkeepers;Хранители Драконов — элитный орден высококвалифицированных стражей. Их задача — охранять драконов и их яйца, чтобы их сила не попала в чужие руки. Яйца драконов безопаснее в инвентаре Хранителей. Команды для вашего Хранителя доступны по клику на него.;x
EVTOPTBtdp_dragonkeepers.101;Драконмонт;x
TOOLTIPBdragonkeepers;Вулканы — естественная среда обитания драконов. Если яйцо находится в провинции с вулканом (например, Драконмонт на Драконьем Камне), есть шанс его естественного вылупления без вмешательства. Драконы любят жар, который даёт им силу. Для роста популяции драконов вы можете передать яйца Хранителю у вулкана.;x
EVTOPTCtdp_dragonkeepers.101;Драконы в моей Яме;x

EVTDESCtdp_dragonkeepers.20;По вашему приказу Хранители подготовили ещё одно яйцо к вылуплению. [new_dragon.GetSheHeCap] будет обучен, чтобы стать подходящим скакуном для династии.;x

EVTDESCtdp_dragonkeepers.40;Новости от Хранителей! Дракон [dragon_friend.GetFirstName] атаковал наш инкубатор и съел несколько драконьих яиц!;x
EVTOPTtdp_dragonkeepers.40;Проклятье!;x

#Other
title_dragonkeeper_tdp;Глава Хранителей Драконов;x
title_dragonkeeper;Хранитель Драконов;x

dragonkeeper;Хранитель Драконов;x
dragonkeeper_desc;Этот персонаж охраняет и обучает драконов для своего сюзерена. Хранители Драконов — исключительно подготовленные воины, знающие, как обучать драконов для королевской семьи.;x

b_dragon_pit;Драконья Яма;x
b_dragonmont;Драконмонт;x

#Decisions
tdp_take_eggs_dragonkeeper;Забрать Драконье Яйцо;x
tdp_take_eggs_dragonkeeper_desc;Получить драконье яйцо из инвентаря Хранителя.;x

tdp_establish_dragonkeeper;Основать Хранителей Драконов;x
tdp_establish_dragonkeeper_desc;Создать группу Хранителей Драконов для защиты ваших драконов. Они также помогут в их приручении.;x

tdp_hatch_egg_dragonkeeper;Вылупить Дракона;x
tdp_hatch_egg_dragonkeeper_desc;Поручите Хранителям подготовить вылупление нового дракона в Драконьей Яме.;x

tdp_summon_dragonkeeper;Призвать Хранителя Драконов;x
tdp_summon_dragonkeeper_desc;Вызвать Хранителя Драконов ко двору.;x
