#Events
EVTTITLEtdp_dragonseeds.0;Посев Семян;x
EVTDESCtdp_dragonseeds.0;Хотя у нас нет недостатка в драконах, нам не хватает достойных членов нашей династии, чтобы оседлать их. Однако кровь дракона течёт не только в наших жилах. Простолюдины и знатные дома королевства столетиями смешивались с нашим родом. Несомненно, некоторые из них сохранили достаточно драконьей крови, чтобы управлять драконами! Это ослабит наш контроль над драконами и королевством, но нам нужны всадники, чтобы выиграть войну.\n\nЭти «семена» рискуют жизнью ради шанса укротить дракона... возможно, стоит предложить им дополнительную награду?;x

EVTOPTAtdp_dragonseeds.0;Разве драконы — не награда сама по себе?;x
TOOLTIPAdragonseeds.0;Единственная награда для всадников — честь оседлать дракона.;x
EVTOPTBtdp_dragonseeds.0;Золото, земли и рыцарские титулы привлекут их.;x
TOOLTIPBdragonseeds.0;Всадники получат рыцарские титулы после укрощения дракона. По окончании войны они потребуют золото и земли.;x
EVTOPTCtdp_dragonseeds.0;Им будут дарованы великие награды.;x
TOOLTIPCdragonseeds.0;Всадники получат рыцарские титулы после укрощения дракона. По окончании войны они потребуют обширные земли, высокие титулы и много золота.;x
EVTOPTDtdp_dragonseeds.0;Вообще-то, это ужасная идея.;x

EVTDESCtdp_dragonseeds.101;[dragonseed_rider_looking.GetDynName] обрёл связь с драконом! Похоже, в жилах [dragonseed_rider_looking.GetHerHis] течёт драконья кровь.;x
EVTDESCtdp_dragonseeds.100;[dragonseed_rider_looking.GetDynName] укротил дракона! [dragonseed_rider_looking.GetSheHeCap] смог приручить его, подкармливая скотом, тогда как другие пытались оседлать силой.;x
EVTOPTtdp_dragonseeds.102;Любопытно.;x

EVTDESCtdp_dragonseeds.1030;[dragonseed_rider_looking.GetDynName] попытался укротить дракона [the_dragon.GetFirstName], но стал его обедом. Видимо, глупец вообразил, что в [dragonseed_rider_looking.GetHerHis] жилах течёт валирийская кровь.;x

EVTDESCtdp_dragonseeds.120;[From.GetDynName] требует увеличить обещанную награду за призыв к укротителям драконов. [From.GetSheHeCap] утверждает, что драконы — символ королевской власти, и вознаграждение должно соответствовать этому статусу.;x
EVTOPTAtdp_dragonseeds.120;Довольствуйся тем, что обещано!;x
EVTOPTBtdp_dragonseeds.120;Пожалуй, повышенная награда справедлива.;x

EVTDESCtdp_dragonseeds.30;Война окончена, и теперь [From.GetDynName] требует [From.GetHerHis] награду за помощь в победе. [From.GetSheHeCap] был обещан титул, земли и золото за поддержку вашего дела.;x
EVTDESCBtdp_dragonseeds.30;Война окончена, и теперь [From.GetDynName] требует [From.GetHerHis] награду за помощь в победе. [From.GetSheHeCap] был обещан золото, титул и целое королевство за поддержку вашего дела.;x
EVTOPTAtdp_dragonseeds.30;Золото, земли и титул за вашу верность.;x
TOOLTIPAdragonseeds.30;«Семя дракона» ожидает обещанных титулов в течение 30 дней. Если награда была умеренной — достаточно мелкого владения. Если же обещано больше — потребуется титул Верховного Лорда.;x
EVTOPTBtdp_dragonseeds.30;Ты не получишь ничего!;x
TOOLTIPBdragonseeds.30;«Семя дракона» сочтёт ваш отказ предательством.;x


#Decisions
tdp_stop_calling_for_riders;Прекратить поиск всадников;x
tdp_stop_calling_for_riders_desc;Прекратить призыв к укрощению драконов в ваших землях.;x
