###Dothraki Reclamation###
EVTTITLEtdp_valyrian_empire.2;Дотракийское Проклятие;x
EVTDESCtdp_valyrian_empire.2;После Рока Валирии в Эссосе образовался вакуум власти, который многие пытались заполнить. \n\nПока Вольные Города воевали друг с другом на западе, Дотракийская Орда поднялась, чтобы опустошить восток. Они вырезали Высоких Людей Сарнора и превратили некогда великую валирийскую колонию Эссарию в Мёртвый Город, известный как Город Трупов. \n\nРаньше дотракийцы могли расширять свои владения беспрепятственно, ибо не было драконов. Теперь пришло время вернуть земли, уничтоженные дотракийскими варварами.;x
EVTOPTAtdp_valyrian_empire.2;Мы должны вернуть наши границы!;x
EVTOPTBtdp_valyrian_empire.2;Оставить всё как есть.;x

tdp_dothraki_reclamation;Вернуть земли у дотракийцев;x
tdp_dothraki_reclamation_desc;Начать возвращение утраченных земель, захваченных Дотракийской Ордой.;x



###Force Conversion###
tdp_force_convert_empire;Навязать религию Империи;x
tdp_force_convert_empire_desc;Империя должна объединиться под властью одной веры.;x

EVTTITLEtdp_valyrian_empire.30;Все под Единым;x
EVTDESCtdp_valyrian_empire.30;Мы должны привести все королевство под власть истинной веры.;x
EVTTOOLTIPtdp_valyrian_empire.30;Все вассалы, не следующие истинной вере, получат требование отречься от своих заблуждений.;x
