### События ###
EVTTITLEtdp_three_daughters.1;Восход Триархии;x
EVTDESCtdp_three_daughters.1;Три Дочери Валирии объединились. \n\nМир, Лис и Тирош теперь господствуют на юге Эссоса, занимая выгодную позицию для контроля над Узким морем. Мы защищены от амбиций Волантиса и атак Пентоса. Теперь мы можем сосредоточиться на захвате Ступеней и контроле над эссосской торговлей! \n\nГлаза соперничающих держав Эссоса и других земель пристально следят за нами, готовые испытать силу и единство Триархии.;x
EVTDESCtdp_three_daughters.11;Со времён Рока Валирии Вольные Города соперничают за богатство и власть в Эссосе. Особенно выделяются три города: Мир, Лис и Тирош, десятилетиями боровшиеся за контроль над Узким морем и Спорными Землями. \n\nТеперь эти три дочери Валирии объединились в Триархию, чтобы укрепить свои позиции. Многие сомневаются, что этот союз продержится из-за истории вражды между городами. Но другие видят в этом начало новой угрозы.;x
EVTOPTtdp_three_daughters.11;Тревожные вести.;x

EVTTITLEtdp_three_daughters.2;Вторжение на Ступени;x
EVTDESCtdp_three_daughters.2;Ступени были пристанищем пиратов и воров со времён Века Крови. Из-за прошлых конфликтов между Тирошем, Лисом и Миром ни один город не смог уничтожить эту угрозу. \n\nНо объединённая Триархия имеет средства для этого. Наши объединённые флоты способны удержать Ступени и начать контролировать торговлю через Узкое море.;x

EVTTITLEtdp_three_daughters.3;Рейдеры из Лиса;x
EVTDESCtdp_three_daughters.3;Под защитой Триархии лисенийцы начали грабить корабли в Узком море. Они нападают без разбора, захватывая женщин и красивых мужчин для своих печально известных домов утех. Это наверняка привлечёт внимание Вестероса и других Вольных Городов.;x
EVTOPTAtdp_three_daughters.3;Прикажи им немедленно остановиться!;x
EVTOPTBtdp_three_daughters.3;Какая разница? Мы контролируем Узкое море.;x

EVTDESCtdp_three_daughters.301;Хотя пираты Ступеней подавлены, возникла новая проблема. Триархия, используя своё положение властителя Узкого моря и хозяина Ступеней, захватывает женщин и юношей для домов утех! Они похитили кого-то из нашего двора!;x
EVTOPTAtdp_three_daughters.301;Как король, я обязан действовать!;x
EVTOPTBtdp_three_daughters.301;Я бессилен.;x
EVTDESCtdp_three_daughters.302;[From.GetDynName] предстал перед вами с мольбой. [From.GetSheHe] сообщает, что лисенийские рейдеры Триархии похитили [kidnapped_person.GetDynName] и требуют войны, чтобы остановить Триархию и её набеги.;x
EVTOPTAtdp_three_daughters.302;Это акт войны!;x
EVTOPTBtdp_three_daughters.302;Сожалею, но мы не станем воевать из-за этого.;x

EVTDESCtdp_three_daughters.40;Контролируя часть Ступеней, мы можем взимать пошлину с торговли через Узкое море. Мы предлагаем безопасный проход как альтернативу пиратам, что принесёт нам богатства. Умелая стратегия позволит увеличить прибыль.;x

EVTDESCtdp_three_daughters.400;Кто-то установил частичный контроль над Ступенями и ввёл пошлину за торговлю в Узком море. Из-за нашего положения эта пошлина коснулась и нас. \n\nНадеемся, они не разорят наших купцов.;x

EVTDESCtdp_three_daughters.41;Контроль над Узким морем даёт нам, как хозяевам Ступеней, возможность обогащаться. Повышение пошлины всё ещё оставляет купцам безопасный путь — лучше, чем пираты. Разве они посмеют жаловаться?;x

EVTDESCtdp_three_daughters.410;Хозяева Ступеней подняли пошлину за безопасный проход через Узкое море. Хотя это безопаснее пиратов, вопрос, стоит ли это таких затрат, остаётся открытым.;x

EVTDESCtdp_three_daughters.5;Союз Трёх Дочерей установил контроль над Узким морем и ввёл высокую пошлину. Будучи их соседями, мы могли бы договориться об отмене пошлины в обмен на военную поддержку.;x
EVTOPTAtdp_three_daughters.5;Заключить союз с Триархией.;x
EVTOPTBtdp_three_daughters.5;Мы должны сокрушить их власть над Ступенями.;x

EVTDESCtdp_three_daughters.50;Наши соседи за Узким морем предложили сделку: снизить пошлину за их защиту Ступеней в обмен на военную помощь. Имея стольких врагов, союз с Дорном может быть верным шагом.;x
EVTOPTtdp_three_daughters.50;Заключить союз с Дорном.;x

EVTDESCtdp_three_daughters.500;Пришло известие о союзе мятежного Дорна и Триархии. Это ставит королевство в сложное положение.;x
EVTOPTtdp_three_daughters.500;Мрачные вести.;x


### Решения ###
form_three_daughters;Создать Триархию;x
form_three_daughters_desc;Заключить вечный союз между Тирошем, Лисом и Миром!;x

split_stepstones;Разделить Ступени;x
split_stepstones_desc;Разделить Ступени между Тремя Дочерями.;x

begin_partial_stepstones_toll;Ввести частичную пошлину в Узком море;x
begin_partial_stepstones_toll_desc;Имея прочный контроль над Ступенями, можно начать взимать пошлину с торговли через Узкое море!;x

begin_full_stepstones_toll;Ввести полную пошлину в Узком море;x
begin_full_stepstones_toll_desc;Полный контроль над Ступенями позволяет ввести полную пошлину за торговлю через Узкое море!;x

### Модификаторы ###
full_tolling_narrow_sea;Полная пошлина в Узком море;x
partial_tolling_narrow_sea;Частичная пошлина в Узком море;x

full_tolled_in_narrow_sea;Полная пошлина в Узком море;x
full_tolled_in_narrow_sea_desc;Хозяева Ступеней взимают высокую пошлину за торговлю через Узкое море.;x
partial_tolled_in_narrow_sea;Частичная пошлина в Узком море;x
partial_tolled_in_narrow_sea_desc;Хозяева Ступеней взимают пошлину за торговлю через Узкое море.;x

foothold_in_stepstones_1;Опора в Ступенях 1;x
foothold_in_stepstones_1_desc;У этого персонажа есть небольшой опорный пункт в Ступенях.;x
foothold_in_stepstones_2;Опора в Ступенях 2;x
foothold_in_stepstones_2_desc;У этого персонажа есть небольшой опорный пункт в Ступенях.;x
foothold_in_stepstones_3;Опора в Ступенях 3;x
foothold_in_stepstones_3_desc;У этого персонажа есть значительный опорный пункт в Ступенях.;x
foothold_in_stepstones_4;Опора в Ступенях 4;x
foothold_in_stepstones_4_desc;У этого персонажа есть значительный опорный пункт в Ступенях.;x
foothold_in_stepstones_5;Опора в Ступенях 5;x
foothold_in_stepstones_5_desc;У этого персонажа есть мощный опорный пункт в Ступенях.;x
foothold_in_stepstones_6;Опора в Ступенях 6;x
foothold_in_stepstones_6_desc;У этого персонажа есть мощный опорный пункт в Ступенях.;x

form_three_sons;Создать Триархию;x
form_three_sons_desc;Заключить вечный союз между Норвосом, Квохором и Лоратом!;x

EVTTITLEmbs_three_sons.1;Восход Триархии;x
EVTDESCtdp_three_daughters.1;Три Дочери Валирии объединились. \n\nНорвос, Квохор и Лорат теперь господствуют на севере Эссоса, контролируя восточные торговые пути. Мы защищены от амбиций Волантиса и атак Пентоса. Теперь мы можем сосредоточиться на захвате истоков Ройны и контроле над торговлей! \n\nГлаза соперников в Эссосе и за его пределами пристально следят за нами.;x
EVTDESCmbs_three_sons.11;Со времён Рока Валирии Вольные Города борются за влияние. Особенно выделяются Норвос, Квохор и Лорат, соперничавшие за контроль над восточной торговлей и Дрожащим морем. \n\nТеперь они объединились в Триархию. Многие сомневаются в прочности этого союза, но другие видят угрозу.;x
EVTOPTmbs_three_sons.11;Тревожные вести.;x

EVTTITLEmbs_hyrkoon.1;Возрождение Вотчины;x
EVTDESCmbs_hyrkoon.1;Крепости Костяных Гор — последние наследники древней Вотчины Гиркуна. Слишком долго мы были раздроблены, борясь за торговые пути. Пора объединиться! \n\nМы провозгласим возрождение Вотчины! Примем титул Патриарха и объединим все земли под нашим знаменем!;x
EVTOPTmbs_hyrkoon.1;Да здравствует Вотчины!;x
EVTTITLEmbs_hyrkoon.2;Возрождение Вотчины;x
EVTDESCmbs_hyrkoon.2;Крепости Костяных Гор — последние осколки Вотчины Гиркуна, некогда могучей державы к востоку от гор. \n\nТеперь Вотчина возрождается: [From.GetTitledFirstNameWithDynasty] провозгласил[From.GetHerHim] себя Патриархом и требует от других Отцов Гиркуна принести клятву в [From.Capital.GetName]!;x
EVTOPTAmbs_hyrkoon.2;Тревожные вести.;x
EVTTITLEmbs_hyrkoon.3;Возрождение Вотчины;x
EVTDESCmbs_hyrkoon.3;Мы, жители Костяных Гор, — последние наследники Вотчины Гиркуна. Веками мы были раздроблены. Теперь всё изменилось: [From.GetTitledFirstNameWithDynasty] провозгласил[From.GetHerHim] себя Патриархом и требует нашей покорности в [From.Capital.GetName]! С объединённой Вотчиной мир содрогнётся. Стоит ли склонить колени перед [From.GetTitledFirstName]?;x
EVTOPTAmbs_hyrkoon.3;Да объединится Вотчина!;x
EVTOPTBmbs_hyrkoon.3;Мы пойдём своим путём.;x
