#CODE;RUSSIAN;x
INTERACTION_CANNOT_INVITE_MARRIED;Убедитесь, что [Recipient.GetTitledFirstName] НЕ состоит в браке;x
#INTERACTION_CANNOT_INVITE_CONSORT;Убедитесь, что [Recipient.GetTitledFirstName] НЕ является наложницей;x
AIREASON_LOVER;§Y[GetTitledFirstName]§! - м[GetOyaOy] любовни[GetTsaK];x
AIREASON_FRIEND;§Y[GetTitledFirstName]§! - м[GetOyaOy] [GetFriendMF];x
AIREASON_WITH_LOVER;Хочу быть ближе к св[GetHerHim] любовни[GetTseKu] по имени §Y[GetTitledFirstName]§!;x
PV_FORT;Форт;x
PV_TRADE_POST;Торговое поселение;x
adopt_wolf_child;Ребёнок будет принят и воспитан, как собственный с полными правами на наследование.;x
EVTTOOLTIP89008;Узнает о покушении.;x
claim_on_vassal_plot_desc;§Y$CLAIMANT$§! попытается отозвать земельный титул §Y$TITLE$§!, из-за чего §Y$TARGET$§! пойдёт на вооружённый конфликт.;x
EVTOPTC63011;Подозрительно. Предупрежу предпологаемого "заговорщика".;x
werewolf_howling_tooltip;Вы воете на луну всю ночь.;x
werewolf_swimming_tooltip;Вы спите снаружи, в холоде и сырости...;x
SENTIMENT;Настроение:;x
GRAZING_LAND;Нужно больше пастбищ;x
CLAN_OPINION;Настроение клана;x
MARRIAGE_TIES;Узы брака;x
WEAK;Слабость;x
TOO_MUCH_COMPETITION;Слишком много конкурентов;x
CREATE_FEUD;$ACTOR$ и $RECIPIENT$ будут втянуты во вражду;x
opinion_built_temple;Построил[___] храм;x #[From.GetEndA]
FORM_BLOOD_OATH_INTERACTION_TITLE;Кровная клятва;x
INTERACTION_NO_BLOOD_BROTHER;Убедитесь, что §Y$CLAN$§! НЕ является "кровным братом" кому-либо;x
HAS_BLOOD_OATH_WITH;Связан кровной клятвой с кланом §Y$CLAN$§!;x
NOT_HAS_BLOOD_OATH_WITH;НЕ связан кровной клятвой с кланом §Y$CLAN$§!;x
declare_feud;Начать вражду;x
opinion_feud;Вражда;x
BLOOD_BROTHER;Кровные братья;x
EVTDESC505;Принимая эту клятву, мы теперь связаны кровью!;x
EVTDESC506;Я не приму твоё предложение и не стану клясться на крови.;x
INTERACTION_CANT_DOW_BLOOD_BROTHER;Должен НЕ являться кровным братом;x
EVTNAMEHL6;Kлановая вражда;x #From.Clan.GetName]
EVTDESCHL6;[From.GetBestName] и [From.GetHersHis] люди охотятся на наших землях, крадут наш скот и женщин, зная, что нарушают границы кланов! Эти презренные собаки предадут нас при первой возможности.;x
EVTOPTAHL6;Проклятые [From.Clan.GetName]! У них нет чести.;x
SHOW_OPINION;§YПоказать настроение клана§!;x
TOTAL_POPULATION;Всего населения:;x
FEUD;Вражда;x
FEUD_BLOOD_BROTHER;Вражда с кровными братьями;x
CLAN_LEADER_HAS_NO_JOB;НЕ заседает в совете;x
PRESTIGE;Престиж;x
FEUD_CLAN_LEADER_HAS_JOB; заседает в совете;x
EVTNAMEHL10;Cмерть брата;x
EVTDESCHL10;[From.GetBestName] навсегда покинул[From.GetEndA] нас. С [From.GetHersHis] смертью наша кровная клятва потеряла силу, и мы больше ничем не обязаны, ни [From.GetHersHis] семье, ни [From.GetHersHis] народу.;x
EVTOPTAHL10;Печальный день для всех нас...;x #[Root.Clan.GetName]
EVTDESC_HL_10700;[From.GetFirstName] тратит немало золота на привлечение и вербовку солдат для своей банды наёмников.;x
EVTOPTA_HL_10700;Полагаю, весьма выгодное предприятие.;x
EVTDESC_HL_10701;[From.GetFirstName] тратит массу денег на пирушки с друзьями, вино и женщин.;x
EVTOPTA_HL_10701;Ну это... семейная традиция.;x
alert_inefficent_land_management_instant;§YНеэффективное распределение земель§!;x
alert_inefficent_land_management_delayed;У Вас слишком много личных владений. Как кочевник, Вы можете владеть лишь одним поселением без штрафов. Однако, не забывайте, что можно разрушать поселения, опустошая и грабя их, если Вы не хотите делиться ими с кем-либо...$LIST$;x
plot_gain_title_short;Завладеть титулом;x
plot_gain_vassal_title_short;Отозвать титул;x
plot_kill_character_short;Покушение на жизнь;x
plot_kill_spouse_short;Покушение на жизнь;x
plot_gain_liege_title_short;Завладеть титулом;x
plot_gain_fellow_vassal_title_short;Завладеть титулом;x
MAKE_PRIMARY;Сделать основным;x
WAR_INVALID_LIEGE_JOINS_ENEMY;\n($LIEGE$ вступает в войну того, кого зовут $OTHER$);x
WAR_INVALID_ELECTED_REL_HEAD;\n($CHAR$ теперь $TITLE$ после избрания);x
INTERACTION_HAS_TITLES_TO_REVOKE;Убедитесь, что есть титулы, которые можно отозвать;x
REL_UNCLE_HUSBAND;муж;x
REL_NEPHEW_HUSBAND;муж;x
REL_COUSIN_HUSBAND;муж;x
REL_COUSIN_WIFE;жена;x
