#CODE;RUSSIAN;x
congenital_crown_1;Корона Дюррандонов;x
congenital_crown_1_desc;Изящная золотая корона, украшенная маленькими золотыми рогами с закрепленным на них крупным овальным цитрином;x
congenital_crown_2;Корона Дюррандонов;x
congenital_crown_2_desc;Корона из двух полос золота, скрепленных золотыми рогами, которые украшены жемчугом и крупным желтым сапфиром;x
congenital_crown_3;Корона Дюррандонов;x
congenital_crown_3_desc;Тонкая золотой обруч с тремя зубцами, один из которых украшен головой оленя;x
congenital_crown_4;Корона Рейнов;x
congenital_crown_4_desc;Великолепная корона из красного золота с серебряными львами, которые держат кресты, украшенные рубинами и жемчугом;x
congenital_crown_5;Корона Талли;x
congenital_crown_5_desc;Тонкий золотой обруч, украшенный серебряной форелью, четырями трезубцами и сапфирами;x
congenital_crown_6;Корона Ланнистеров;x
congenital_crown_6_desc;Великолепная золотая корона с золотыми львами, которые держат кресты, украшенные рубинами и жемчугом;x
congenital_crown_7;Корона Арренов;x
congenital_crown_7_desc;Тонкий обруч из белого золота в форме сокола, который держит алмаз.;x
congenital_crown_8;Корона Тиреллов;x
congenital_crown_8_desc;Великолепная корона из переплетенных золотых лоз, украшенных золотыми розами;x
congenital_crown_9;Корона Дейнов;x
congenital_crown_9_desc;Бледная серебряная корона, украшенная аметистом;x
congenital_crown_10;Корона Тартов;x
congenital_crown_10_desc;Серебряная корона, украшенная крупным серебряным солнцем над золотой горой;x
congenital_crown_11;Корона Фреев;x
congenital_crown_11_desc;Серебряная корона, украшенная сапфирами с золотыми зубцами;x
congenital_crown_12;Корона Хайтауэров;x
congenital_crown_12_desc;Тонкий золотой обруч с зубцами в виде высоких башен;x
