#CODE;RUSSIAN;x
EVTOPTAvaly_colony.2;Я очень надеюсь, что не подцеплю это;x
EVTDESCvaly_colony.2;Земли [From.Kingdom.GetName] изобилуют болезнями, и одна особо опасная из них, Серая чума, достигла [From.GetName]!;x
EVTDESCvaly_colony.3;Вспышка серой чумы полностью разрушила колонию в [Root.GetName]. У девяти мужчин из числа каждых десяти - кожа превратилась в камень, и они умерли медленной и мучительной смертью. В результате этого, попытка колонизации потерпела неудачу.;x
EVTOPTAvaly_colony.3;Похоже, здешняя колонизация закончится только ужасом;x
EVTDESCvaly_colony.4;Посетив [Root.Location.GetName], вы заразились Серой Хворью! Эта мучительная болезнь может привести к тому, что ваша кожа превратится в камень.;x
EVTOPTAvaly_colony.4;Это не будет приятным;x
EVTDESCvaly_colony.5;К счастью, вы не страдали смертельными симптомами, заболев Серой Хворью. Вы выздоровели после вспышки легкой болезненной сыпи.;x
EVTOPTAvaly_colony.5;Хвала [Root.Religion.GetHighGodName];x
EVTDESCvaly_colony.15A;Пробираясь через [Root.Location.GetName], глубоко в пустошах Валирии вы проходите через пещеру. Тут свирепый старый огненный змей, длиной тридцать футов, внезапно вылетает и атакует вас! Огромный красно-черный зверь страдает ненасытным голодом и тянется к вам своим жестоким клювом, пытаясь сожрать вас!;x
EVTDESCvaly_colony.15B;Люди, которые занимались своими делами недалеко от вас в [Root.Location.GetName], думали, что они в безопасности, но это было до того, как напала стая Огненных змеев! Сотни этих зверей, что размером с обезьяну проникли в поселение, охотясь за легкой добычей, клюют их своими жестокими клювами и душат бесчисленными кожистыми крыльями. Затем, их группа выбирает вас...;x
EVTDESCvaly_colony.15C;В глубокой глуши в [Root.Location.GetName] вы разбили лагерь между камнями, где, как вы думали, будете находится в безопасности от хищников. Однако страшный Огненный змей с Теневыми крыльями нападает на вас ночью! Огромный зверь с черной чешуей похож на дракона без огня, но гораздо более свирепый, и пытается разорвать вас на части!;x
OPTAvaly_colony.15;Мне нужно защищаться!;x
TOOLTIPvaly_colony.16;Вы убиваете Огненного змея;x
TOOLTIPvaly_colony.17;Огненный змей терзает вас!;x
EVTDESCvaly_colony.16;Вам удалось уклониться от атаки Огненного Змея и в процессе убить этого тиранического зверя. Его труп теперь лежит перед вами.;x
EVTOPTAvaly_colony.16;Я не боюсь Огненных змеев;x
nick_firewyrmsbane;Бич Огненных змеев;x
EVTDESCvaly_colony.17;Вы пытаетесь отразить свирепую атаку Огненного змея, но уже слишком поздно. Вы растерзаны его жестоким клювом, и теперь стали добычей этого монстра...;x
EVTOPTAvaly_colony.17;Помогите!;x
EVTDESCvaly_colony.20A;Путешествуя по пустошам [Root.Location.GetName], вы наткнулись на закопанный сундук. Похоже, что он не изучен. И, открыв его, обнаруживается, что в нем есть сокровища!;x
EVTDESCvaly_colony.20B;Путешествие в дебри диких пустошей [Root.Location.GetName] может быть опасным, но вы были вознаграждены за храбрость, проявленную в этом путешествии. Вы нашли разрушенное здание, а внутри обнаружили много сокровищ!;x
EVTDESCvaly_colony.20C;В пустошах Валирии и [Root.Location.GetName] бывает трудно ориентироваться, но путешествия могут привести к случайным открытиям. На отдаленной поляне вы находите останки того, кто выглядит как дворянин из давно прошедшей эпохи, и у него все еще есть свои сокровища!;x
OPTAvaly_colony.20;Среди руин действительно спрятаны богатства!;x
grey_plague_valy;Серая чума;x
