#CODE;NAME;x
#CODE_desc;DESCRIPTION;x

show_top_artifact_val;(SCMR) Показать артефакты из валирийской стали;x
show_top_artifact_val_desc;Показать артефакты из валирийской стали;x

hide_top_artifact_val;(SCMR) Скрыть артефакты из валирийской стали;x
hide_top_artifact_val_desc;Скрыть артефакты из валирийской стали;x

scmr_valyrian_armour;(SCMR) Получить валирийские доспехи;x
scmr_valyrian_armour_desc;Получить валирийские доспехи;x

scmr_valyrian_steel;(SCMR) Получить валирийский меч;x
scmr_valyrian_steel_desc;Получить валирийский меч;x

scmr_dawn;--------Get Dawn;x
scmr_dawn_desc;Obtain it;x

scmr_ice;--------Get Ice;x
scmr_ice_desc;Obtain it;x

scmr_longclaw;--------Get Longclaw;x
scmr_longclaw_desc;Obtain it;x

scmr_blackfyre;--------Get Blackfyre;x
scmr_blackfyre_desc;Obtain it;x

scmr_darksister;--------Get Dark Sister;x
scmr_darksister_desc;Obtain it;x

scmr_lightbringer;--------Get Lightbringer;x
scmr_lightbringer_desc;Obtain it;x

scmr_brightroar;--------Get Brightroar;x
scmr_brightroar_desc;Obtain it;x

scmr_heartsbane;--------Get Heartsbane;x
scmr_heartsbane_desc;Obtain it;x

scmr_nightfall;--------Get Nightfall;x
scmr_nightfall_desc;Obtain it;x

scmr_ladyforlorn;--------Get Lady Forlorn;x
scmr_ladyforlorn_desc;Obtain it;x

scmr_redrain;--------Get Red Rain;x
scmr_redrain_desc;Obtain it;x

scmr_vigilance;--------Get Vigilance;x
scmr_vigilance_desc;Obtain it;x

scmr_orphan_maker;--------Get Orphan Maker;x
scmr_orphan_maker_desc;Obtain it;x

scmr_crabspincer;--------Get Crab's Pincer;x
scmr_crabspincer_desc;Obtain it;x

scmr_strangers_mercy;--------Get Stranger's Mercy;x
scmr_strangers_mercy_desc;Obtain it;x

scmr_truth;--------Get Truth;x
scmr_truth_desc;Obtain it;x

scmr_lamentation;--------Get Lamentation;x
scmr_lamentation_desc;Obtain it;x

scmr_poison;--------Get Poison;x
scmr_poison_desc;Obtain it;x

scmr_valyrian_steel_arakh;--------Get Valyrian Steel Arakh;x
scmr_valyrian_steel_arakh_desc;Obtain it;x

scmr_valyrian_dagger;--------Get Valyrian Steel Dagger;x
scmr_valyrian_dagger_desc;Obtain it;x

scmr_seafoam;--------Get Seafoam;x
scmr_seafoam_desc;Obtain it;x

scmr_widowswail;--------Get Widow's Wail;x
scmr_widowswail_desc;Obtain it;x

scmr_oathkeeper;--------Get Oathkeeper;x
scmr_oathkeeper_desc;Obtain it;x

scmr_dragon_egg;--------Get Dragon Egg;x
scmr_dragon_egg_desc;Obtain it;x

scmr_glass_candle;--------Get Glass Candle;x
scmr_glass_candle_desc;Obtain it;x

scmr_dragonbone_weapon;--------Get Dragonbone Weapons;x
scmr_dragonbone_weapon_desc;Obtain it;x

scmr_dragonbone_artifact;--------Get Dragonbone Artifacts;x
scmr_dragonbone_artifact_desc;Obtain it;x

scmr_winterhorn;--------Get The Horn of Winter;x
scmr_winterhorn_desc;Obtain it;x

scmr_dragon_binder;--------Get Dragonbinder;x
scmr_dragon_binder_desc;Obtain it;x

scmr_dragon_horn;--------Get Dragon Horn;x
scmr_dragon_horn_desc;Obtain it;x

scmr_mel_ruby;--------Get Melisandre's Ruby;x
scmr_mel_ruby_desc;Obtain it;x
