#CODE;NAME;x
#CODE_desc;DESCRIPTION;x

mind_cheat_enable;(SCMR) Контроль разума: Показать чит-меню;x
mind_cheat_enable_desc;Показать чит-меню решений для взятого под ваш контроль персонажа;x

mind_cheat_disable;(SCMR) Контроль разума: Скрыть чит-меню;x
mind_cheat_disable_desc;Скрыть чит-меню решений для взятого под ваш контроль персонажа;x

show_common_mind;(SCMR) Контроль разума: Показать обычное чит-меню;x
show_common_mind_desc;Показать обычное чит-меню решений для взятого под ваш контроль персонажа;x

hide_common_mind;(SCMR) Контроль разума: Скрыть обычное чит-меню;x
hide_common_mind_desc;Скрыть обычное чит-меню решений для взятого под ваш контроль персонажа;x

show_religion_culture_mind;(SCMR) Контроль разума: Показать регилиозное и культурное чит-меню;x
show_religion_culture_mind_desc;Показать регилиозное и культурное чит-меню;x

hide_religion_culture_mind;(SCMR) Контроль разума: Скрыть регилиозное и культурное чит-меню;x
hide_religion_culture_mind_desc;Скрыть регилиозное и культурное чит-меню;x

show_building_modifier_mind;(SCMR) Контроль разума: Показать чит-меню строительства;x
show_building_modifier_mind_desc;Показать чит-меню строительства;x

hide_building_modifier_mind;(SCMR) Контроль разума: Скрыть чит-меню строительства;x
hide_building_modifier_mind_desc;Скрыть чит-меню строительства;x

end_offensive_war_mind;(SCMR) Контроль разума: Закончить наступательные войны;x
end_offensive_war_mind_desc;Закончить наступательные войны;x

end_defensive_war_mind;(SCMR) Контроль разума: Закончить оборонительные войны;x
end_defensive_war_mind_desc;Закончить оборонительные войны;x

win_offensive_war_mind;(SCMR) Контроль разума: Победить в наступательных войнах;x
win_offensive_war_mind_desc;Победить в наступательных войнах;x

win_defensive_war_mind;(SCMR) Контроль разума: Победить в оборонительных войнах;x
win_defensive_war_mind_desc;Победить в оборонительных войнах;x

add_gold_mind;(SCMR) Контроль разума: Добавить 10k богатства;x
add_gold_mind_desc;Добавить взятому под ваш контроль персонажу 10000 богатсва;x

add_gold_vassal_mind;(SCMR) Контроль разума: Вассалы: Добавить 10k богатства;x
