#CODE;NAME;x
#CODE_desc;DESCRIPTION;x

realm_cheat_enable;(SCMR)Показать чит-меню владений;x
realm_cheat_enable_desc;Показать чит-меню владений;x

realm_cheat_disable;(SCMR) Скрыть чит-меню владений;x
realm_cheat_disable_desc;Скрыть чит-меню владений;x

show_religion_culture;(SCMR) Показать религиозное и культурное чит-меню;x
show_religion_culture_desc;Показать религиозное и культурное чит-меню;x

hide_religion_culture;(SCMR) Скрыть религиозное и культурное чит-меню;x
hide_religion_culture_desc;Скрыть религиозное и культурное чит-меню;x

show_building_modifier;(SCMR) Показать чит-меню строительства;x
show_building_modifier_desc;Показать чит-меню строительства;x

hide_building_modifier;(SCMR) Скрыть чит-меню строительства;x
hide_building_modifier_desc;Скрыть чит-меню строительства;x

convert_demesne_culture;(SCMR) Обратить владения в свою культуру;x
convert_demesne_culture_desc;Обратить все округа в вашем владении в вашу культуру;x

convert_demesne_religion;(SCMR) Обратить владения в свою религию;x
convert_demesne_religion_desc;Обратить все округа в вашем владении в вашу религию;x

convert_vassal_culture;(SCMR) Обратить вассалов в свою культуру;x
convert_vassal_culture_desc;Обратить всех вассалов в вашу культуру;x

convert_vassal_religion;(SCMR) Обратить вассалов в свою религию;x
convert_vassal_religion_desc;Обратить всех вассалов в вашу религию;x

convert_courtier_culture;(SCMR) Обратить придворных в свою культуру;x
convert_courtier_culture_desc;Обратить придворных в вашу культуру;x

convert_courtier_religion;(SCMR) Обратить придворных в свою религию;x
convert_courtier_religion_desc;Обратить придворных в вашу религию;x

convert_realm_culture;(SCMR) Обратить страну в свою культуру;x
convert_realm_culture_desc;Обратить всех придворных, правителей и владения вашей страны в вашу культуру;x

convert_realm_religion;(SCMR) Обратить страну в свою религию;x
convert_realm_religion_desc;Обратить всех придворных, правителей и владения вашей страны в вашу религию;x

convert_realm_ethnicity;(SCMR) Обратить страну в свой этнос;x
convert_realm_ethnicity_desc;Обратить всех персонажей в вашей стране в ваш этнос;x

world_religion;(SCMR) Мировая Религия;x
world_religion_desc;Обратить всех персонажей и владения в вашу религию;x

world_culture;(SCMR) Мировая Культура;x
world_culture_desc;Обратить всех персонажей и владения в вашу культуру;x

world_ethnicity;(SCMR) Мировой Этнос;x
world_ethnicity_desc;Обратить всех персонажей в ваш этнос;x

build_demesne_hold;(SCMR) Улучшить строения во владениях;x
build_demesne_hold_desc;Улучшить все строения в ваших владениях;x

build_realm_hold;(SCMR) Улучшить строения в стране;x
build_realm_hold_desc;Улучшить все строения в вашей стране;x

build_demesne_hospital;(SCMR) Построить госпитали во владениях;x
build_demesne_hospital_desc;Построить госпитали в ваших владениях;x

build_demesne_hospital_up;(SCMR) Построить и улучшить госпитали во владениях;x
build_demesne_hospital_up_desc;Построить и улучшить госпитали в ваших владениях;x

build_realm_hospital;(SCMR) Построить госпитали в стране;x
build_realm_hospital_desc;Построить госпитали по всей вашей стране;x

build_realm_hospital_up;(SCMR) Построить и улучшить госпитали в стране;x
build_realm_hospital_up_desc;Построить и улучшить госпитали по всей вашей стране;x

build_family_palace;(SCMR) Улучшить семейный дворец;x
build_family_palace_desc;Улучшить семейный дворец;x

dismantle_demesne_hold;(SCMR) Уничтожить строения во владениях;x
dismantle_demesne_hold_desc;Уничтожить все строения в ваших владениях;x

dismantle_realm_hold;(SCMR) Уничтожить строения в стране;x
dismantle_realm_hold_desc;Уничтожить все строения в вашей стране;x

destroy_demesne_hospital;(SCMR) Уничтожить госпитали во владениях;x
destroy_demesne_hospital_desc;Уничтожить госпитали в ваших владениях;x

dismantle_demesne_hospital_up;(SCMR) Уничтожить госпитали во владениях;x
dismantle_demesne_hospital_up_desc;Уничтожить госпитали в ваших владениях;x

destroy_realm_hospital;(SCMR) Destroy Realm Hospital;x
destroy_realm_hospital_desc;Destroy hospitals in your realm;x

dismantle_realm_hospital_up;(SCMR) Уничтожить госпитали в стране;x
dismantle_realm_hospital_up_desc;Уничтожить госпитали в вашей стране;x

dismantle_family_palace;(SCMR) Уничтожить строения семейного дворца;x
dismantle_family_palace_desc;Уничтожить строения семейного дворца;x

charge_demesne_soldier;(SCMR) Восстановить ополчение во владениях;x
charge_demesne_soldier_desc;Восстановить все ополчение в ваших владениях;x

charge_realm_soldier;(SCMR) Восстановить ополчение в стране;x
charge_realm_soldier_desc;Восстановить все ополчение в вашей стране;x

remove_demesne_modifier;(SCMR) Удалить отрицательные модификаторы во владениях;x
remove_demesne_modifier_desc;Удалить отрицательные модификаторы в ваших владениях;x

remove_realm_modifier;(SCMR) Удалить отрицательные модификаторы в стране;x
remove_realm_modifier_desc;Удалить отрицательные модификаторы в вашей стране;x

enable_quick_move;(SCMR) Включить быстрое передвижение;x
enable_quick_move_desc;Все войска будут передвигаться по округу 1 день;x

disable_quick_move;(SCMR) Отключить быстрое передвижение;x
disable_quick_move_desc;Отключить быстрое передвижение;x

