#CODE;NAME;x
#CODE_desc;DESCRIPTION;x


cspawn_enable;(SCMR)Показать меню создания персонажей;x
cspawn_enable_desc;Показать меню создания персонажей;x

cspawn_disable;(SCMR) Скрыть меню создания персонажей;x
cspawn_disable_desc;Скрыть меню создания персонажей;x

hide_cspawn_child;(SCMR) Скрыть меню детей;x
hide_cspawn_child_desc;Скрыть меню детей;x

show_cspawn_child;(SCMR) Показать меню детей;x
show_cspawn_child_desc;Показать меню детей;x

hide_cspawn_sibling;(SCMR) Скрыть меню сиблингов;x
hide_cspawn_sibling_desc;Скрыть меню сиблингов;x

show_cspawn_sibling;(SCMR) Показать меню сиблингов;x
show_cspawn_sibling_desc;Показать меню сиблингов;x

hide_cspawn_courtier;(SCMR) Скрыть меню придворных;x
hide_cspawn_courtier_desc;Скрыть меню придворных;x

show_cspawn_courtier;(SCMR) Показать меню придворных;x
show_cspawn_courtier_desc;Показать меню придворных;x

cspawn_female_child_0;(SCMR) Создать дочь (Возраст 0);x
cspawn_female_child_0_desc;Создать новорожденную дочь;x

cspawn_male_child_0;(SCMR) Создать сына (Возраст 0);x
cspawn_male_child_0_desc;Создать новорожденного сына;x

cspawn_female_child_6;(SCMR) Создать дочь (Возраст 6);x
cspawn_female_child_6_desc;Создать дочь возрастом 6 лет;x

cspawn_male_child_6;(SCMR) Создать сына (Возраст 6);x
cspawn_male_child_6_desc;Создать сына возрастом 6 лет;x

cspawn_female_child_16;(SCMR) Создать дочь (Возраст 16);x
cspawn_female_child_16_desc;Создать дочь возрастом 16 лет;x

cspawn_male_child_16;(SCMR) Создать сына (Возраст 16);x
cspawn_male_child_16_desc;Создать сына возрастом 16 лет;x

cspawn_male_sibling_6;(SCMR) Создать брата (Возраст 6);x
cspawn_male_sibling_6_desc;Создать брата возрастом 6 лет;x

cspawn_male_sibling_16;(SCMR) Создать брата (Возраст 16);x
cspawn_male_sibling_16_desc;Создать брата возрастом 16 лет;x

cspawn_male_sibling_24;(SCMR) Создать брата (Возраст 24);x
cspawn_male_sibling_24_desc;Создать брата возрастом 24 года;x

cspawn_male_sibling_30;(SCMR) Создать брата (Возраст 30);x
cspawn_male_sibling_30_desc;Создать брата возрастом 30 лет;x

cspawn_male_sibling_40;(SCMR) Создать брата (Возраст 40);x
cspawn_male_sibling_40_desc;Создать брата возрастом 40 лет;x

cspawn_female_sibling_6;(SCMR) Создать сестру (Возраст 6);x
cspawn_female_sibling_6_desc;Создать сестру возрастом 6 лет;x

cspawn_female_sibling_16;(SCMR) Создать сестру (Возраст 16);x
cspawn_female_sibling_16_desc;Создать сестру возрастом 16 лет;x

cspawn_female_sibling_24;(SCMR) Создать сестру (Возраст 24);x
cspawn_female_sibling_24_desc;Создать сестру возрастом 24 года;x

cspawn_female_sibling_30;(SCMR) Создать сестру (Возраст 30);x
cspawn_female_sibling_30_desc;Создать сестру возрастом 30 лет;x

cspawn_female_sibling_40;(SCMR) Создать сестру (Возраст 40);x
cspawn_female_sibling_40_desc;Создать сестру возрастом 40 лет;x

cspawn_marshal;(SCMR) Создать опытного маршала;x
cspawn_marshal_desc;Создать опытного маршала;x

cspawn_steward;(SCMR) Создать опытного управленца;x
cspawn_steward_desc;Create a skilled steward;x

cspawn_chancellor;(SCMR) Создать опытного дипломата;x
cspawn_chancellor_desc;Создать опытного дипломата;x

cspawn_spymaster;(SCMR) Создать опытного тайного советника;x
cspawn_spymaster_desc;Создать опытного тайного советника;x

cspawn_priest;(SCMR) Создать опытного жреца;x
cspawn_priest_desc;Создать опытного жреца;x

cspawn_vassal;(SCMR) Создать верного вассала;x
cspawn_vassal_desc;Создать верного вассала;x

cspawn_wife;(SCMR) Создать дебютантку;x
cspawn_wife_desc;Создать дебютантку;x

cspawn_commander;(SCMR) Создать опытного полководца;x
cspawn_commander_desc;Создать опытного полководца;x

cspawn_doctor;(SCMR) Создать опытного врача;x
cspawn_doctor_desc;Создать опытного врача;x
